Organisational Unit,Payment Date,Amount,Benificiary Name
Central & Corporate,2016-04-11,85.51,A & A Electrical Distributors Ltd
Central & Corporate,2016-04-11,128.10,A & A Electrical Distributors Ltd
City Development,2016-04-28,120.00,A B Jones
Childrens Services,2016-04-20,756.60,A Clarkson
Strategic Landlord,2016-04-20,26.00,REDACTED PERSONAL DATA
Environment & Housing,2016-04-22,1289.52,REDACTED COMMERCIAL CONFIDENTIALITY
Environment & Housing,2016-04-28,5740.55,REDACTED COMMERCIAL CONFIDENTIALITY
Childrens Services,2016-04-20,3329.04,A E Speight
Childrens Services,2016-04-22,14227.20,A E Speight
Childrens Services,2016-04-22,434.72,A Foley
Childrens Services,2016-04-20,1513.20,A Green
Childrens Services,2016-04-22,1185.60,A Green
Childrens Services,2016-04-22,829.92,A Hayes
Childrens Services,2016-04-22,1185.60,A Hodgson
Central & Corporate,2016-04-05,15.00,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-04-08,139.25,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-11,71.08,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-11,57.78,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-11,91.50,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-11,10.50,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-11,7.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-11,129.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-11,149.90,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-11,71.08,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-12,708.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-12,121.45,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-12,178.80,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-12,457.55,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-12,465.30,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-12,104.11,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-12,185.75,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-12,732.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-12,43.85,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-12,57.90,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-12,60.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-12,183.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-12,305.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-12,124.50,A J H  Pump Supply & Repair Ltd
Central & Corporate,2016-04-14,152.40,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-15,57.78,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-19,200.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-20,220.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-20,998.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-28,967.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-29,112.95,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-29,42.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-29,1279.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-29,96.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-29,95.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-29,186.87,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-29,125.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-29,255.00,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-29,23.40,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-29,30.46,A J H  Pump Supply & Repair Ltd
Environment & Housing,2016-04-29,70.45,A J H  Pump Supply & Repair Ltd
