Organisational Unit,Payment Date,Amount,Benificiary Name
East - North East,2012-02-15,570.40,A Andrews & Sons (Marbles & Tiles)
City Development,2012-02-08,423.33,A C Entertainment Technologies Ltd
Adult Social Care,2012-02-24,490.00,A D G Engineering Ltd
Adult Social Care,2012-02-24,850.00,A D G Engineering Ltd
East - North East,2012-02-17,2316.26,A D Simpson Construction Ltd
East - North East,2012-02-17,1009.54,A D Simpson Construction Ltd
East - North East,2012-02-17,707.65,A D Simpson Construction Ltd
Childrens Services,2012-02-28,921.00,A E Speight
Central & Corporate Functions,2012-02-17,442.00,A J H  Pump Supply & Repair Ltd
Central & Corporate Functions,2012-02-22,5250.00,A J H  Pump Supply & Repair Ltd
Central & Corporate Functions,2012-02-24,420.00,A J H  Pump Supply & Repair Ltd
Central & Corporate Functions,2012-02-24,1727.00,A J H  Pump Supply & Repair Ltd
Central & Corporate Functions,2012-02-27,515.00,A J H  Pump Supply & Repair Ltd
City Development,2012-02-13,525.00,A J Promotions
Childrens Services,2012-02-03,13000.00,A Lowrie Care Service Limited
Childrens Services,2012-02-03,14000.00,A Lowrie Care Service Limited
Childrens Services,2012-02-29,13000.00,A Lowrie Care Service Limited
Childrens Services,2012-02-29,14000.00,A Lowrie Care Service Limited
Environment & Neighbourhoods,2012-02-09,455.00,A Zoom Taxis
Aire Valley Homes Leeds,2012-02-02,655.00,Aaa Training Co Ltd
Adult Social Care,2012-02-15,1170.76,Abbey Lea Residential Care Home
Adult Social Care,2012-02-15,1163.80,Abbeydale Care Home
Childrens Services,2012-02-06,8214.00,Abc Nursery At Lufc
Childrens Services,2012-02-28,599.00,Abc Nursery At Lufc
Adult Social Care,2012-02-15,18813.77,Aberford Hall
Adult Social Care,2012-02-15,1146.36,Aberford Hall
City Development,2012-02-14,1400.00,Abi Bliss
Central & Corporate Functions,2012-02-22,495.00,Abi Garage Doors Ltd
Environment & Neighbourhoods,2012-02-03,2890.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-03,5405.46,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-03,5149.90,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-03,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-03,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-03,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-08,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-08,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-08,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-09,4370.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-09,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-09,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-16,1500.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-16,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-20,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-20,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-20,2865.87,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-20,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-20,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-20,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-20,4377.05,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-24,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-24,4150.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-24,4380.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-24,2890.00,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-24,5048.50,Able Bathing & Building Contractors Ltd
Environment & Neighbourhoods,2012-02-24,4990.00,Able Bathing & Building Contractors Ltd
Childrens Services,2012-02-02,444.00,Academic Appointments Ltd
Childrens Services,2012-02-02,444.00,Academic Appointments Ltd
Childrens Services,2012-02-13,600.00,Academic Appointments Ltd
Childrens Services,2012-02-16,444.00,Academic Appointments Ltd
Adult Social Care,2012-02-08,546.00,Accent Foundation
Environment & Neighbourhoods,2012-02-16,1560.60,Accent Homes Ltd
East - North East,2012-02-03,549.50,Access Locksmiths (Leeds) Limited
East - North East,2012-02-17,550.00,Access Maintenance Solutions Ltd
East - North East,2012-02-17,450.00,Access Maintenance Solutions Ltd
East - North East,2012-02-23,580.00,Access Maintenance Solutions Ltd
East - North East,2012-02-23,460.00,Access Maintenance Solutions Ltd
City Development,2012-02-03,1397.28,Acclaimed Security Services
City Development,2012-02-09,1146.36,Acclaimed Security Services
City Development,2012-02-17,1702.32,Acclaimed Security Services
City Development,2012-02-17,1210.32,Acclaimed Security Services
Adult Social Care,2012-02-24,1115.00,Accora
Childrens Services,2012-02-01,560.00,Ache Community & Young Peoples Centre
Central & Corporate Functions,2012-02-21,480.00,Acm
Central & Corporate Functions,2012-02-21,480.00,Acm
Central & Corporate Functions,2012-02-21,590.00,Acm
Central & Corporate Functions,2012-02-21,1800.00,Acm
Central & Corporate Functions,2012-02-21,3300.00,Acm
Adult Social Care,2012-02-15,18955.84,Acre Green
Adult Social Care,2012-02-15,1645.08,Acre Green
Adult Social Care,2012-02-15,1824.68,Acre Green
Adult Social Care,2012-02-15,1718.12,Acre Green
Adult Social Care,2012-02-15,17263.81,Acre Green
Adult Social Care,2012-02-15,1259.12,Acre Green
Childrens Services,2012-02-06,11322.00,Acre Wood Childrens Nursery
Childrens Services,2012-02-28,632.00,Acre Wood Childrens Nursery
City Development,2012-02-16,495.00,Act Travelwise
Childrens Services,2012-02-03,4774.00,Action For Children
Childrens Services,2012-02-03,2559.20,Action For Children
Childrens Services,2012-02-06,1194.00,Action For Children
