Organisational Unit,Payment Date,Benificiary Name,Amount
Adult and Culture,2011-10-24,ALBANY OFFICE FURNITURE SOLUTIONS,828.00
Adult and Culture,2011-10-05,IMAGE VISUAL COMMUNICATIONS,941.00
Adult and Culture,2011-10-28,N POWER NORTHERN LTD,485.47
Adult and Culture,2011-10-03,PURCHASE POWER,506.84
Adult and Culture,2011-10-31,FACE RECORDING & MEASUREMENT SYSTEMS LTD,6200.00
Adult and Culture,2011-10-26,FOCUS ON TRAINING,620.00
Adult and Culture,2011-10-24,TYNE METROPOLITAN COLLEGE,800.00
Adult and Culture,2011-10-31,UNIVERSITY OF NORTHUMBRIA,1500.00
Adult and Culture,2011-10-31,UNIVERSITY OF NORTHUMBRIA,1950.00
Adult and Culture,2011-10-26,IMAGE VISUAL COMMUNICATIONS,595.00
Adult and Culture,2011-10-14,N POWER NORTHERN LTD,1767.70
Adult and Culture,2011-10-31,N POWER NORTHERN LTD,1747.29
Adult and Culture,2011-10-05,NALESTAR LTD,906.50
Adult and Culture,2011-10-26,N POWER NORTHERN LTD,1032.15
Adult and Culture,2011-10-10,N POWER NORTHERN LTD,1038.83
Adult and Culture,2011-10-24,ON-PROPERTY,5750.00
Adult and Culture,2011-10-10,AGE UK NEWCASTLE,1460.48
Adult and Culture,2011-10-10,AGE UK NEWCASTLE,1141.00
Adult and Culture,2011-10-24,AGE UK NEWCASTLE,7131.25
Adult and Culture,2011-10-14,AGE UK NEWCASTLE,696.01
Adult and Culture,2011-10-13,AGE UK NEWCASTLE,570.50
Adult and Culture,2011-10-13,AGE UK NEWCASTLE,958.45
Adult and Culture,2011-10-13,AGE UK NEWCASTLE,1523.26
Adult and Culture,2011-10-11,AGE UK NEWCASTLE,1842.75
Adult and Culture,2011-10-11,AGE UK NEWCASTLE,6572.17
Adult and Culture,2011-10-19,ALLIED HEALTHCARE GROUP LTD,4576.55
Adult and Culture,2011-10-10,ARK HOUSE TREATMENT CENTRE,2755.95
Adult and Culture,2011-10-24,AZURE,769.92
Adult and Culture,2011-10-24,AZURE,1227.04
Adult and Culture,2011-10-14,AZURE,2261.64
Adult and Culture,2011-10-14,AZURE,962.40
Adult and Culture,2011-10-12,AZURE,529.32
Adult and Culture,2011-10-21,AZURE,818.04
Adult and Culture,2011-10-21,AZURE,577.44
Adult and Culture,2011-10-21,AZURE,895.82
Adult and Culture,2011-10-25,AZURE,559.39
Adult and Culture,2011-10-25,AZURE,866.16
Adult and Culture,2011-10-27,AZURE,625.56
Adult and Culture,2011-10-27,AZURE,625.56
Adult and Culture,2011-10-27,AZURE,601.50
Adult and Culture,2011-10-27,AZURE,721.80
Adult and Culture,2011-10-28,AZURE,962.40
Adult and Culture,2011-10-28,AZURE,1130.84
Adult and Culture,2011-10-28,AZURE,1130.80
Adult and Culture,2011-10-07,AZURE,1876.68
Adult and Culture,2011-10-07,AZURE,962.40
Adult and Culture,2011-10-20,AZURE,986.40
Adult and Culture,2011-10-20,AZURE,1407.51
Adult and Culture,2011-10-20,AZURE,866.16
Adult and Culture,2011-10-25,CAMPHILL VILLAGE TRUST,3178.76
Adult and Culture,2011-10-21,CARE UK HOMECARE,2877.93
Adult and Culture,2011-10-12,CARE UK LEARNING DISABILITIES SERVICES,1556.24
Adult and Culture,2011-10-19,CARE UK LEARNING DISABILITIES SERVICES,1122.88
Adult and Culture,2011-10-11,CARE UK LEARNING DISABILITIES SERVICES,744.00
Adult and Culture,2011-10-11,CARE UK LEARNING DISABILITIES SERVICES,1556.24
Adult and Culture,2011-10-20,CARE UK LEARNING DISABILITIES SERVICES,586.96
Adult and Culture,2011-10-17,CARE UK LEARNING DISABILITIES SERVICES,1556.24
Adult and Culture,2011-10-24,CARELINE HOMECARE LTD,679.76
Adult and Culture,2011-10-24,CARELINE HOMECARE LTD,586.00
Adult and Culture,2011-10-13,CARELINE HOMECARE LTD,518.96
Adult and Culture,2011-10-17,CARELINE HOMECARE LTD,669.00
Adult and Culture,2011-10-14,CAREWATCH (NEWCASTLE UPON TYNE),1860.48
Adult and Culture,2011-10-13,CAREWATCH (NEWCASTLE UPON TYNE),656.56
Adult and Culture,2011-10-13,CAREWATCH (NEWCASTLE UPON TYNE),486.76
Adult and Culture,2011-10-13,CAREWATCH (NEWCASTLE UPON TYNE),452.80
Adult and Culture,2011-10-13,CAREWATCH (NEWCASTLE UPON TYNE),1727.87
Adult and Culture,2011-10-27,CAREWATCH (NEWCASTLE UPON TYNE),815.04
Adult and Culture,2011-10-27,CAREWATCH (NEWCASTLE UPON TYNE),543.36
Adult and Culture,2011-10-27,CAREWATCH (NEWCASTLE UPON TYNE),849.00
Adult and Culture,2011-10-12,CHIRMARN LTD,990.00
Adult and Culture,2011-10-10,CK21 CONSULTANTS LLP,1250.00
Adult and Culture,2011-10-14,CK21 CONSULTANTS LLP,500.00
Adult and Culture,2011-10-21,DEMENTIA CARE PARTNERSHIP,1274.28
Adult and Culture,2011-10-17,DEMENTIA CARE PARTNERSHIP,1517.17
Adult and Culture,2011-10-17,DIMENSIONS (UK) LTD,7151.18
Adult and Culture,2011-10-27,ESPA LTD - EUROPEAN SERVICES FOR,14583.33
Adult and Culture,2011-10-07,EVERSHED PRODUCTS,660.00
Adult and Culture,2011-10-07,GS TRANSPORT,1260.00
Adult and Culture,2011-10-24,GUARDIAN HOMECARE & NURSING (NCLE) LTD,1735.02
Adult and Culture,2011-10-13,GUARDIAN HOMECARE & NURSING (NCLE) LTD,712.20
Adult and Culture,2011-10-19,GUARDIAN HOMECARE & NURSING (NCLE) LTD,529.48
Adult and Culture,2011-10-19,GUARDIAN HOMECARE & NURSING (NCLE) LTD,3260.16
Adult and Culture,2011-10-07,GUARDIAN HOMECARE & NURSING (NCLE) LTD,10119.47
Adult and Culture,2011-10-07,GUARDIAN HOMECARE & NURSING (NCLE) LTD,2533.99
Adult and Culture,2011-10-07,GUARDIAN HOMECARE & NURSING (NCLE) LTD,6857.33
Adult and Culture,2011-10-07,GUARDIAN HOMECARE & NURSING (NCLE) LTD,1208.04
Adult and Culture,2011-10-17,GUARDIAN HOMECARE & NURSING (NCLE) LTD,514.80
Adult and Culture,2011-10-17,GUARDIAN HOMECARE & NURSING (NCLE) LTD,7766.60
Adult and Culture,2011-10-10,GUSTHARTS,888.10
Adult and Culture,2011-10-07,GVA GRIMLEY LLP,9937.50
Adult and Culture,2011-10-14,ID SUPPORT LTD,2165.03
Adult and Culture,2011-10-14,ID SUPPORT LTD,626.18
Adult and Culture,2011-10-14,ID SUPPORT LTD,968.00
Adult and Culture,2011-10-21,ID SUPPORT LTD,5614.20
Adult and Culture,2011-10-05,JB SKILLCARE LTD,4032.00
Adult and Culture,2011-10-05,JB SKILLCARE LTD,7283.63
Adult and Culture,2011-10-05,JB SKILLCARE LTD,6897.20
Adult and Culture,2011-10-03,JB SKILLCARE LTD,4032.00
Adult and Culture,2011-10-10,JOHN MONK & CO,3950.00
Adult and Culture,2011-10-10,KAFFEL & NEWTON,3060.80
Adult and Culture,2011-10-24,KEY ENTERPRISES (1983) LTD,1069.98
Adult and Culture,2011-10-28,KEY ENTERPRISES (1983) LTD,1888.20
Adult and Culture,2011-10-24,LEONARD CHESHIRE DISABILITY,650.44
Adult and Culture,2011-10-17,LEONARD CHESHIRE DISABILITY,526.00
Adult and Culture,2011-10-21,LIFEWAYS COMMUNITY CARE,2856.00
Adult and Culture,2011-10-21,LIFEWAYS COMMUNITY CARE,1077.38
Adult and Culture,2011-10-21,LIFEWAYS COMMUNITY CARE,11543.00
Adult and Culture,2011-10-21,LIFEWAYS COMMUNITY CARE,956.25
Adult and Culture,2011-10-21,LIFEWAYS COMMUNITY CARE,561.00
Adult and Culture,2011-10-21,LIFEWAYS COMMUNITY CARE,949.88
Adult and Culture,2011-10-21,LIFEWAYS COMMUNITY CARE,6545.00
Adult and Culture,2011-10-20,LIFEWAYS COMMUNITY CARE,803.25
Adult and Culture,2011-10-10,LS CARE LTD,2534.23
Adult and Culture,2011-10-10,LS CARE LTD,678.06
Adult and Culture,2011-10-10,LS CARE LTD,646.66
Adult and Culture,2011-10-25,LS CARE LTD,2534.23
Adult and Culture,2011-10-27,LS CARE LTD,2534.23
Adult and Culture,2011-10-27,LS CARE LTD,646.66
Adult and Culture,2011-10-19,LS CARE LTD,2534.23
Adult and Culture,2011-10-19,LS CARE LTD,2534.23
Adult and Culture,2011-10-19,LS CARE LTD,2685.64
