Organisational Unit,Payment Date,Benificiary Name,Amount
Adult and Culture,2011-09-14,Redacted Personal Data,3595
Adult and Culture,2011-09-30,Redacted Personal Data,3000
Adult and Culture,2011-09-09,FIRSTLINK I.T. SOLUTIONS LTD,1500
Adult and Culture,2011-09-16,N POWER NORTHERN LTD,1720.84
Adult and Culture,2011-09-14,SANDRA ELLINGTON & ASSOCIATES,1400
Adult and Culture,2011-09-26,SUPPLIES TEAM LTD,615.67
Adult and Culture,2011-09-26,BUNZL CLEANING & HYGIENE SUPPLIES,419.67
Adult and Culture,2011-09-05,G M PACKAGING,428.13
Adult and Culture,2011-09-26,ASTOR-BANNERMAN (MEDICAL) LTD,4193
Adult and Culture,2011-09-16,NORTHUMBRIA PROBATION BOARD,16275
Adult and Culture,2011-09-01,AGE UK NEWCASTLE,6301.18
Adult and Culture,2011-09-26,AGE UK NEWCASTLE,1220.89
Adult and Culture,2011-09-26,AGE UK NEWCASTLE,673.19
Adult and Culture,2011-09-26,AGE UK NEWCASTLE,544.83
Adult and Culture,2011-09-26,AGE UK NEWCASTLE,547.68
Adult and Culture,2011-09-26,AGE UK NEWCASTLE,1780
Adult and Culture,2011-09-26,AGE UK NEWCASTLE,6846
Adult and Culture,2011-09-26,AGE UK NEWCASTLE,6304.03
Adult and Culture,2011-09-26,AGE UK NEWCASTLE,502.04
Adult and Culture,2011-09-26,AGE UK NEWCASTLE,1369.2
Adult and Culture,2011-09-26,AGE UK NEWCASTLE,1780
Adult and Culture,2011-09-26,AGE UK NEWCASTLE,1095.36
Adult and Culture,2011-09-06,AGE UK NEWCASTLE,684.6
Adult and Culture,2011-09-06,AGE UK NEWCASTLE,867.17
Adult and Culture,2011-09-06,AGE UK NEWCASTLE,513.45
Adult and Culture,2011-09-02,AGE UK NEWCASTLE,1049.72
Adult and Culture,2011-09-02,AGE UK NEWCASTLE,1780
Adult and Culture,2011-09-02,AGE UK NEWCASTLE,502.04
Adult and Culture,2011-09-26,ALLIED HEALTHCARE GROUP LTD,2482.56
Adult and Culture,2011-09-26,ALLIED HEALTHCARE GROUP LTD,2482.56
