Newcastle City Council Invoices over 500 paid in August 2010
Directorate,Service Area,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Grand Total
Adult and Culture,Social Services-Carefirst,2010-08-02,ALEXANDRA HOUSE,4762584,Revenue,2688.71
Adult and Culture,Social Services-Carefirst,2010-08-30,ALEXANDRA HOUSE,4791243,Revenue,1209.04
Adult and Culture,Social Services-Carefirst,2010-08-18,ALLAN COURT RESIDENTIAL HOME,4779880,Revenue,68655.83
Adult and Culture,Social Services-Carefirst,2010-08-18,ALLAN COURT RESIDENTIAL HOME,4779881,Revenue,4570.86
Adult and Culture,Social Services-Carefirst,2010-08-09,ALLIED HEALTHCARE GROUP,4769979,Revenue,70939.85
Adult and Culture,Social Services-Carefirst,2010-08-09,ALMA CARE NEWCASTLE LTD,4769982,Revenue,25625.33
Adult and Culture,Social Services-Carefirst,2010-08-01,ALZHEIMERS SOCIETY,4760181,Revenue,28593.28
Adult and Culture,Social Services-Carefirst,2010-08-02,AMBER HOUSE RESIDENTIAL HOME (IN ADMIN),4762712,Revenue,3423.15
Adult and Culture,Social Services-Carefirst,2010-08-30,AMBER HOUSE RESIDENTIAL HOME (IN ADMIN),4791364,Revenue,2621.86
Adult and Culture,Social Services-Carefirst,2010-08-02,APPLEBY CARE HOME,4762608,Revenue,1258.04
Adult and Culture,Social Services-Carefirst,2010-08-30,APPLEBY CARE HOME,4791268,Revenue,1258.04
Adult and Culture,Social Services-Carefirst,2010-08-18,ASCOT HOUSE CARE HOME LTD,4779820,Revenue,52497.34
Adult and Culture,Social Services-Carefirst,2010-08-02,ASHBOURNE  LODGE CARE CENTRE,4762657,Revenue,1068.26
Adult and Culture,Social Services-Carefirst,2010-08-30,ASHBOURNE  LODGE CARE CENTRE,4791313,Revenue,1078.40
Adult and Culture,Social Services-Carefirst,2010-08-18,ASHFIELD COURT,4779832,Revenue,7665.17
Adult and Culture,Social Services-Carefirst,2010-08-18,ASHTON COURT,4779833,Revenue,10943.52
Adult and Culture,Social Services-Carefirst,2010-08-09,AT HOME IN THE COMMUNITY LTD,4769959,Revenue,50534.06
Adult and Culture,Social Services-Carefirst,2010-08-02,AUTISM INITIATIVES,4762696,Revenue,5827.92
Adult and Culture,Social Services-Carefirst,2010-08-09,AUTISM INITIATIVES,4769960,Revenue,18077.36
Adult and Culture,Social Services-Carefirst,2010-08-18,AVENUE COMMUNITY NH LTD,4779871,Revenue,1958.80
Adult and Culture,Social Services-Carefirst,2010-08-09,AZURE,4769958,Revenue,38992.80
Adult and Culture,Social Services-Carefirst,2010-08-02,BAILIFFGATE,4762616,Revenue,1859.12
Adult and Culture,Social Services-Carefirst,2010-08-30,BAILIFFGATE,4791275,Revenue,1859.12
Adult and Culture,Social Services-Carefirst,2010-08-18,BALMORAL COURT,4779812,Revenue,68635.92
Adult and Culture,Social Services-Carefirst,2010-08-02,BEACON FARM CARE CENTRE,4762693,Revenue,7911.90
Adult and Culture,Social Services-Carefirst,2010-08-30,BEACON FARM CARE CENTRE,4791348,Revenue,5988.56
Adult and Culture,Social Services-Carefirst,2010-08-02,BEECHWOOD HOUSE CARE HOME,4762621,Revenue,1783.00
Adult and Culture,Social Services-Carefirst,2010-08-18,BELLE VUE HOUSE,4779818,Revenue,40685.09
Adult and Culture,Social Services-Carefirst,2010-08-18,BELLE VUE HOUSE,4779898,Revenue,5708.40
Adult and Culture,Social Services-Carefirst,2010-08-18,BEWICK LODGE,4779808,Revenue,41777.64
Adult and Culture,Social Services-Carefirst,2010-08-18,BEWICK LODGE,4779894,Revenue,1033.20
Adult and Culture,Social Services-Carefirst,2010-08-02,BILLINGHAM GRANGE,4762643,Revenue,7961.08
Adult and Culture,Social Services-Carefirst,2010-08-30,BILLINGHAM GRANGE,4791301,Revenue,7961.08
Adult and Culture,Social Services-Carefirst,2010-08-02,BIRCHDALE CARE HOME,4762609,Revenue,1222.99
Adult and Culture,Social Services-Carefirst,2010-08-30,BIRCHDALE CARE HOME,4791269,Revenue,1246.76
Adult and Culture,Social Services-Carefirst,2010-08-02,BOTHWELLS LTD T/A PARK VIEW NURSING HOME,4762687,Revenue,5102.23
Adult and Culture,Social Services-Carefirst,2010-08-30,BOTHWELLS LTD T/A PARK VIEW NURSING HOME,4791342,Revenue,1407.88
Adult and Culture,Social Services-Carefirst,2010-08-18,BOWLAND LODGE,4779835,Revenue,39766.87
Adult and Culture,Social Services-Carefirst,2010-08-02,BRACKENBRAE,4762645,Revenue,1238.88
Adult and Culture,Social Services-Carefirst,2010-08-30,BRACKENBRAE,4791303,Revenue,1238.88
Adult and Culture,Social Services-Carefirst,2010-08-02,BRAMPTON COURT,4762583,Revenue,42466.29
Adult and Culture,Social Services-Carefirst,2010-08-02,BRAMPTON COURT,4762723,Revenue,869.60
Adult and Culture,Social Services-Carefirst,2010-08-30,BRAMPTON COURT,4791242,Revenue,37104.34
Adult and Culture,Social Services-Carefirst,2010-08-30,BRAMPTON COURT,4791368,Revenue,807.49
Adult and Culture,Social Services-Carefirst,2010-08-18,BRIARDENE MH,4779860,Revenue,44416.21
Adult and Culture,Social Services-Carefirst,2010-08-18,BRIARDENE MH,4779904,Revenue,2546.69
Adult and Culture,Social Services-Carefirst,2010-08-02,BRIDGE VIEW CARE HOME,4762635,Revenue,1337.20
Adult and Culture,Social Services-Carefirst,2010-08-30,BRIDGE VIEW CARE HOME,4791293,Revenue,1337.20
Adult and Culture,Social Services-Carefirst,2010-08-02,BROCKWELL COURT,4762658,Revenue,1377.64
Adult and Culture,Social Services-Carefirst,2010-08-30,BROCKWELL COURT,4791314,Revenue,1377.64
Adult and Culture,Social Services-Carefirst,2010-08-02,BURLAM ROAD,4762602,Revenue,1777.72
Adult and Culture,Social Services-Carefirst,2010-08-30,BURLAM ROAD,4791262,Revenue,1777.72
Adult and Culture,Social Services-Carefirst,2010-08-02,BURN BRAE LODGE,4762662,Revenue,1024.10
Adult and Culture,Social Services-Carefirst,2010-08-30,BURN BRAE LODGE,4791321,Revenue,1063.36
Adult and Culture,Social Services-Carefirst,2010-08-02,BYKER HALL,4762599,Revenue,41118.40
Adult and Culture,Social Services-Carefirst,2010-08-02,BYKER HALL,4762726,Revenue,1304.40
Adult and Culture,Social Services-Carefirst,2010-08-30,BYKER HALL,4791258,Revenue,32110.12
Adult and Culture,Social Services-Carefirst,2010-08-30,CAMBORNE LODGE,4791319,Revenue,2639.64
Adult and Culture,Social Services-Carefirst,2010-08-30,CAMBORNE LODGE,4791320,Revenue,2639.64
Adult and Culture,Social Services-Carefirst,2010-08-02,CARE PONTELAND,4762585,Revenue,17220.70
Adult and Culture,Social Services-Carefirst,2010-08-30,CARE PONTELAND,4791244,Revenue,16875.60
Adult and Culture,Social Services-Carefirst,2010-08-09,CARE SOLUTIONS LTD,4769947,Revenue,151055.86
Adult and Culture,Social Services-Carefirst,2010-08-09,CARE SOLUTIONS LTD,4769984,Revenue,36755.60
Adult and Culture,Social Services-Carefirst,2010-08-09,CARE UK HOMECARE,4769973,Revenue,62203.04
Adult and Culture,Social Services-Carefirst,2010-08-09,CARELINE HOMECARE LTD,4769976,Revenue,183056.67
Adult and Culture,Social Services-Carefirst,2010-08-02,CARELINE LIFESTYLES LTD,4762653,Revenue,13878.80
Adult and Culture,Social Services-Carefirst,2010-08-30,CARELINE LIFESTYLES LTD,4791310,Revenue,13878.80
Adult and Culture,Social Services-Carefirst,2010-08-09,CAREWATCH (NEWCASTLE UPON TYNE),4769945,Revenue,6885.52
Adult and Culture,Social Services-Carefirst,2010-08-09,CAREWATCH (NEWCASTLE UPON TYNE),4769974,Revenue,43496.61
Adult and Culture,Social Services-Carefirst,2010-08-02,CASTLEBECK CARE (TEESDALE) LTD,4762667,Revenue,13221.00
Adult and Culture,Social Services-Carefirst,2010-08-30,CASTLEBECK CARE (TEESDALE) LTD,4791326,Revenue,13221.00
Adult and Culture,Social Services-Carefirst,2010-08-18,CASTLEVIEW NURSING & RES. CARE HOME,4779876,Revenue,4885.50
Adult and Culture,Social Services-Carefirst,2010-08-02,CAVE RESIDENTIAL HOME,4762612,Revenue,1363.80
Adult and Culture,Social Services-Carefirst,2010-08-02,CESTRIA HOUSE,4762564,Revenue,12432.09
Adult and Culture,Social Services-Carefirst,2010-08-30,CESTRIA HOUSE,4791222,Revenue,11128.26
Adult and Culture,Social Services-Carefirst,2010-08-02,CHARLTON COURT,4762573,Revenue,10941.58
Adult and Culture,Social Services-Carefirst,2010-08-30,CHARLTON COURT,4791230,Revenue,7329.23
Adult and Culture,Social Services-Carefirst,2010-08-02,CHESTER COURT HOME,4762605,Revenue,2418.04
Adult and Culture,Social Services-Carefirst,2010-08-30,CHESTER COURT HOME,4791265,Revenue,2459.12
Adult and Culture,Social Services-Carefirst,2010-08-02,CHESTERHOLME,4762634,Revenue,28615.80
Adult and Culture,Social Services-Carefirst,2010-08-30,CHESTERHOLME,4791292,Revenue,27415.80
Adult and Culture,Social Services-Carefirst,2010-08-09,CIC,4769956,Revenue,74393.12
Adult and Culture,Social Services-Carefirst,2010-08-02,COLLINGWOOD COURT,4762641,Revenue,3873.13
Adult and Culture,Social Services-Carefirst,2010-08-30,COLLINGWOOD COURT,4791299,Revenue,3902.64
Adult and Culture,Social Services-Carefirst,2010-08-02,COMFORT HOUSE,4762577,Revenue,29528.58
Adult and Culture,Social Services-Carefirst,2010-08-02,COMFORT HOUSE,4762578,Revenue,551.97
Adult and Culture,Social Services-Carefirst,2010-08-30,COMFORT HOUSE,4791235,Revenue,13617.57
Adult and Culture,Social Services-Carefirst,2010-08-02,COMMUNITY INTEGRATED CARE,4762570,Revenue,2220.84
Adult and Culture,Social Services-Carefirst,2010-08-30,COMMUNITY INTEGRATED CARE,4791227,Revenue,2220.84
Adult and Culture,Social Services-Carefirst,2010-08-18,COMMUNITY INTERGRATED CARE,4779865,Revenue,1523.92
Adult and Culture,Social Services-Carefirst,2010-08-18,CONISCLIFFE,4779814,Revenue,28285.38
Adult and Culture,Social Services-Carefirst,2010-08-09,COQUET TRUST,4769962,Revenue,169965.90
Adult and Culture,Social Services-Carefirst,2010-08-02,CORDINGLEY HOUSE,4762644,Revenue,5713.92
Adult and Culture,Social Services-Carefirst,2010-08-30,CORDINGLEY HOUSE,4791302,Revenue,5713.92
Adult and Culture,Social Services-Carefirst,2010-08-02,COTSWOLD SPA RETIREMENT HOTELS,4762601,Revenue,3277.56
Adult and Culture,Social Services-Carefirst,2010-08-30,COTSWOLD SPA RETIREMENT HOTELS,4791260,Revenue,3189.48
Adult and Culture,Social Services-Carefirst,2010-08-18,CRAGHALL,4779809,Revenue,7815.69
Adult and Culture,Social Services-Carefirst,2010-08-18,CRAGSTON COURT,4779836,Revenue,28109.68
Adult and Culture,Social Services-Carefirst,2010-08-02,CRAIGIELEA LODGE,4762576,Revenue,897.68
Adult and Culture,Social Services-Carefirst,2010-08-02,CRANLEA N H,4762702,Revenue,26277.48
Adult and Culture,Social Services-Carefirst,2010-08-02,CRANLEA N H,4762703,Revenue,1801.83
Adult and Culture,Social Services-Carefirst,2010-08-30,CRANLEA N H,4791356,Revenue,31275.84
Adult and Culture,Social Services-Carefirst,2010-08-02,DE BALIOL NURSING HOME,4762610,Revenue,1339.92
Adult and Culture,Social Services-Carefirst,2010-08-30,DE BALIOL NURSING HOME,4791270,Revenue,1339.92
Adult and Culture,Social Services-Carefirst,2010-08-01,DEMENTIA CARE PARTNERSHIP,4760184,Revenue,30246.16
Adult and Culture,Social Services-Carefirst,2010-08-09,DEMENTIA CARE PARTNERSHIP,4769968,Revenue,61194.24
Adult and Culture,Social Services-Carefirst,2010-08-09,DEMENTIA CARE PARTNERSHIP,4769980,Revenue,26914.24
Adult and Culture,Social Services-Carefirst,2010-08-09,DEMENTIA CARE PARTNERSHIP,4769985,Revenue,22228.54
Adult and Culture,Social Services-Carefirst,2010-08-18,DENE PARK HOUSE,4779837,Revenue,29153.48
Adult and Culture,Social Services-Carefirst,2010-08-18,DENE PARK HOUSE,4779901,Revenue,5482.69
Adult and Culture,Social Services-Carefirst,2010-08-18,DENECROFT,4779819,Revenue,12770.63
Adult and Culture,Social Services-Carefirst,2010-08-09,DIMENSIONS,4769948,Revenue,76457.44
Adult and Culture,Social Services-Carefirst,2010-08-17,DISABILITY NORTH DIRECT PAYMENTS,4778487,Revenue,37734.82
Adult and Culture,Social Services-Carefirst,2010-08-02,DOLPHIN PROPERTY CO LTD,4762663,Revenue,3496.80
Adult and Culture,Social Services-Carefirst,2010-08-30,DOLPHIN PROPERTY CO LTD,4791322,Revenue,3496.80
Adult and Culture,Social Services-Carefirst,2010-08-02,DONWELL HOUSE,4762682,Revenue,1182.80
Adult and Culture,Social Services-Carefirst,2010-08-30,DONWELL HOUSE,4791338,Revenue,1182.80
Adult and Culture,Social Services-Carefirst,2010-08-18,DOVECOTE,4779838,Revenue,4020.57
Adult and Culture,Social Services-Carefirst,2010-08-02,EIGHTON LODGE,4762586,Revenue,6176.22
Adult and Culture,Social Services-Carefirst,2010-08-30,EIGHTON LODGE,4791245,Revenue,6259.68
Adult and Culture,Social Services-Carefirst,2010-08-02,ELIZABETH FITZROY SUPPORT,4762707,Revenue,5614.17
Adult and Culture,Social Services-Carefirst,2010-08-30,ELIZABETH FITZROY SUPPORT,4791359,Revenue,5490.80
Adult and Culture,Social Services-Carefirst,2010-08-02,ELSWICK HALL NDC,4762685,Revenue,39143.00
Adult and Culture,Social Services-Carefirst,2010-08-30,ELSWICK HALL NDC,4791340,Revenue,39560.02
Adult and Culture,Social Services-Carefirst,2010-08-02,ELSWICK HALL NURSING HOME,4762698,Revenue,44039.14
Adult and Culture,Social Services-Carefirst,2010-08-30,ELSWICK HALL NURSING HOME,4791352,Revenue,33895.10
Adult and Culture,Social Services-Carefirst,2010-08-02,EOTHEN HOMES LTD,4762708,Revenue,8879.32
Adult and Culture,Social Services-Carefirst,2010-08-30,EOTHEN HOMES LTD,4791360,Revenue,8879.32
Adult and Culture,Social Services-Carefirst,2010-08-02,EXECUTIVE CARE GROUP,4762670,Revenue,2164.00
Adult and Culture,Social Services-Carefirst,2010-08-30,EXECUTIVE CARE GROUP,4791329,Revenue,2164.00
Adult and Culture,Social Services-Carefirst,2010-08-18,FAIRFIELD HOUSE,4779839,Revenue,13011.32
Adult and Culture,Social Services-Carefirst,2010-08-02,FALMOUTH HOUSE,4762637,Revenue,4600.08
Adult and Culture,Social Services-Carefirst,2010-08-30,FALMOUTH HOUSE,4791295,Revenue,4600.08
Adult and Culture,Social Services-Carefirst,2010-08-18,FERGUSON LODGE,4779813,Revenue,53742.48
Adult and Culture,Social Services-Carefirst,2010-08-02,FLEXIBLE SUPPORT OPTIONS UK ( DOMICILIAR,4762615,Revenue,3302.40
Adult and Culture,Social Services-Carefirst,2010-08-30,FLEXIBLE SUPPORT OPTIONS UK ( DOMICILIAR,4791274,Revenue,3302.40
Adult and Culture,Social Services-Carefirst,2010-08-02,FORESIGHT RESIDENTIAL LTD,4762628,Revenue,2576.48
Adult and Culture,Social Services-Carefirst,2010-08-30,FORESIGHT RESIDENTIAL LTD,4791286,Revenue,2576.48
Adult and Culture,Social Services-Carefirst,2010-08-18,GABLES NURSING HOME,4779857,Revenue,25863.00
Adult and Culture,Social Services-Carefirst,2010-08-18,GABLES NURSING HOME,4779858,Revenue,16232.89
Adult and Culture,Social Services-Carefirst,2010-08-02,GAILEY LODGE,4762580,Revenue,12595.89
Adult and Culture,Social Services-Carefirst,2010-08-30,GAILEY LODGE,4791239,Revenue,12645.02
Adult and Culture,Social Services-Carefirst,2010-08-02,GAINFORD CARE HOMES,4762669,Revenue,1905.76
Adult and Culture,Social Services-Carefirst,2010-08-30,GAINFORD CARE HOMES,4791328,Revenue,1905.76
Adult and Culture,Social Services-Carefirst,2010-08-18,GARDEN LODGE,4779823,Revenue,61426.00
Adult and Culture,Social Services-Carefirst,2010-08-01,GRANGE DAY CENTRE,4760180,Revenue,16560.18
Adult and Culture,Social Services-Carefirst,2010-08-02,HADRIAN HEALTHCARE GROUP,4762650,Revenue,950.66
Adult and Culture,Social Services-Carefirst,2010-08-30,HADRIAN HEALTHCARE GROUP,4791307,Revenue,5417.96
Adult and Culture,Social Services-Carefirst,2010-08-02,HARTFORD COURT,4762672,Revenue,9717.89
Adult and Culture,Social Services-Carefirst,2010-08-30,HARTFORD COURT,4791331,Revenue,5073.20
Adult and Culture,Social Services-Carefirst,2010-08-02,HARTON GRANGE,4762665,Revenue,2239.24
Adult and Culture,Social Services-Carefirst,2010-08-30,HARTON GRANGE,4791324,Revenue,2239.24
Adult and Culture,Social Services-Carefirst,2010-08-02,HARWOOD COURT,4762587,Revenue,2563.40
Adult and Culture,Social Services-Carefirst,2010-08-30,HARWOOD COURT,4791246,Revenue,1565.25
Adult and Culture,Social Services-Carefirst,2010-08-02,HEATHDALE CARE LTD,4762572,Revenue,3155.40
Adult and Culture,Social Services-Carefirst,2010-08-30,HEATHDALE CARE LTD,4791229,Revenue,3155.40
Adult and Culture,Social Services-Carefirst,2010-08-02,HEATHERDALE NURSING HOME (WELLBURN),4762606,Revenue,1337.20
Adult and Culture,Social Services-Carefirst,2010-08-30,HEATHERDALE NURSING HOME (WELLBURN),4791266,Revenue,1337.20
Adult and Culture,Social Services-Carefirst,2010-08-02,HEATHERFIELD,4762649,Revenue,12920.94
Adult and Culture,Social Services-Carefirst,2010-08-02,HENSHAWS SOCIETY FOR BLIND PEOPLE,4762618,Revenue,2827.60
Adult and Culture,Social Services-Carefirst,2010-08-30,HENSHAWS SOCIETY FOR BLIND PEOPLE,4791277,Revenue,2827.60
Adult and Culture,Social Services-Carefirst,2010-08-02,HIGHCLIFFE CARE CENTRE,4762679,Revenue,1127.88
Adult and Culture,Social Services-Carefirst,2010-08-02,HIGHCLIFFE CARE CENTRE,4762680,Revenue,1127.88
Adult and Culture,Social Services-Carefirst,2010-08-30,HIGHCLIFFE CARE CENTRE,4791336,Revenue,877.98
Adult and Culture,Social Services-Carefirst,2010-08-18,HILLCREST LTD,4779862,Revenue,2876.40
Adult and Culture,Social Services-Carefirst,2010-08-02,HILLFIELD NURSING HOME,4762582,Revenue,24090.61
Adult and Culture,Social Services-Carefirst,2010-08-30,HILLFIELD NURSING HOME,4791241,Revenue,23850.66
Adult and Culture,Social Services-Carefirst,2010-08-02,HILLSIDE GRANGE,4762588,Revenue,599.19
Adult and Culture,Social Services-Carefirst,2010-08-30,HILLSIDE GRANGE,4791247,Revenue,2222.76
Adult and Culture,Social Services-Carefirst,2010-08-18,HOLYWELL DENE CARE HOME,4779841,Revenue,3753.47
Adult and Culture,Social Services-Carefirst,2010-08-02,HUNTER HALL RESIDENTS POCKET MONEY A/C,4762563,Revenue,3146.36
Adult and Culture,Social Services-Carefirst,2010-08-30,HUNTER HALL RESIDENTS POCKET MONEY A/C,4791219,Revenue,992.52
Adult and Culture,Social Services-Carefirst,2010-08-02,INTEGRATED SUPPORT LTD,4762683,Revenue,4688.00
Adult and Culture,Social Services-Carefirst,2010-08-02,INTEGRATED SUPPORT LTD,4762684,Revenue,4688.00
Adult and Culture,Social Services-Carefirst,2010-08-30,INTEGRATED SUPPORT LTD,4791339,Revenue,4688.00
Adult and Culture,Social Services-Carefirst,2010-08-09,INTERACTIVE SUPPORT LTD,4769951,Revenue,22401.96
Adult and Culture,Social Services-Carefirst,2010-08-18,JUBILEE MEWS,4779842,Revenue,22564.28
Adult and Culture,Social Services-Carefirst,2010-08-18,KENSINGTON RESIDENTIAL HOME,4779822,Revenue,44463.81
Adult and Culture,Social Services-Carefirst,2010-08-18,KENSINGTON RESIDENTIAL HOME,4779899,Revenue,3937.49
Adult and Culture,Social Services-Carefirst,2010-08-02,KENTON HALL N H,4762695,Revenue,116357.76
Adult and Culture,Social Services-Carefirst,2010-08-02,KENTON HALL N H,4762727,Revenue,796.35
Adult and Culture,Social Services-Carefirst,2010-08-30,KENTON HALL N H,4791350,Revenue,50205.71
Adult and Culture,Social Services-Carefirst,2010-08-30,KENTON HALL N H,4791372,Revenue,5388.42
Adult and Culture,Social Services-Carefirst,2010-08-02,KINGS COTTAGE RESIDENTIAL HOME LTD,4762686,Revenue,1252.72
Adult and Culture,Social Services-Carefirst,2010-08-30,KINGS COTTAGE RESIDENTIAL HOME LTD,4791341,Revenue,1252.72
Adult and Culture,Social Services-Carefirst,2010-08-18,KINGSBURY HOUSE,4779843,Revenue,1036.28
Adult and Culture,Social Services-Carefirst,2010-08-02,LANCHESTER COURT CARE HOME,4762681,Revenue,13974.80
Adult and Culture,Social Services-Carefirst,2010-08-30,LANCHESTER COURT CARE HOME,4791337,Revenue,42992.24
Adult and Culture,Social Services-Carefirst,2010-08-02,LAWRENCE COURT NURSING HOME,4762699,Revenue,17268.89
Adult and Culture,Social Services-Carefirst,2010-08-30,LAWRENCE COURT NURSING HOME,4791353,Revenue,17587.96
Adult and Culture,Social Services-Carefirst,2010-08-02,LEAGREEN COURT RESIDENTS,4762581,Revenue,43470.19
Adult and Culture,Social Services-Carefirst,2010-08-02,LEAGREEN COURT RESIDENTS,4762721,Revenue,5708.40
Adult and Culture,Social Services-Carefirst,2010-08-30,LEAGREEN COURT RESIDENTS,4791240,Revenue,56223.28
Adult and Culture,Social Services-Carefirst,2010-08-30,LEAGREEN COURT RESIDENTS,4791366,Revenue,9984.21
Adult and Culture,Social Services-Carefirst,2010-08-18,LEAZES HALL NURSING HOME,4779844,Revenue,1314.00
Adult and Culture,Social Services-Carefirst,2010-08-18,LEONARD CHESHIRE FOUNDATION,4779840,Revenue,2404.16
Adult and Culture,Social Services-Carefirst,2010-08-18,LEONARD CHESHIRE FOUNDATION,4779854,Revenue,4233.60
Adult and Culture,Social Services-Carefirst,2010-08-18,LEONARD CHESHIRE FOUNDATION,4779879,Revenue,84671.57
Adult and Culture,Social Services-Carefirst,2010-08-09,LIFEWAYS COMMUNITY CARE,4769952,Revenue,101800.93
Adult and Culture,Social Services-Carefirst,2010-08-09,LIFEWAYS COMMUNITY CARE,4769953,Revenue,89387.82
Adult and Culture,Social Services-Carefirst,2010-08-09,LIFEWAYS COMMUNITY CARE,4769954,Revenue,102605.91
Adult and Culture,Social Services-Carefirst,2010-08-09,LIFEWAYS COMMUNITY CARE,4769955,Revenue,42859.06
Adult and Culture,Social Services-Carefirst,2010-08-02,LINDISFARNE CARE HOME - THROCKLEY,4762688,Revenue,3488.74
Adult and Culture,Social Services-Carefirst,2010-08-30,LINDISFARNE CARE HOME - THROCKLEY,4791343,Revenue,23189.12
Adult and Culture,Social Services-Carefirst,2010-08-02,LINDISFARNE N H,4762590,Revenue,1242.80
Adult and Culture,Social Services-Carefirst,2010-08-02,LINKAGE COMMUNITY TRUST,4762579,Revenue,1910.20
Adult and Culture,Social Services-Carefirst,2010-08-30,LINKAGE COMMUNITY TRUST,4791236,Revenue,1910.20
Adult and Culture,Social Services-Carefirst,2010-08-02,LOVE WALK,4762624,Revenue,2842.36
Adult and Culture,Social Services-Carefirst,2010-08-30,LOVE WALK,4791282,Revenue,2842.36
Adult and Culture,Social Services-Carefirst,2010-08-18,LOWGATE CARE HOME,4779846,Revenue,1195.14
Adult and Culture,Social Services-Carefirst,2010-08-18,MCGOWAN COURT,4779847,Revenue,20134.00
Adult and Culture,Social Services-Carefirst,2010-08-02,MEADOW PARK,4762656,Revenue,1377.80
Adult and Culture,Social Services-Carefirst,2010-08-30,MEADOW PARK,4791312,Revenue,1377.80
Adult and Culture,Social Services-Carefirst,2010-08-02,MELROSE HOUSE,4762660,Revenue,1098.80
Adult and Culture,Social Services-Carefirst,2010-08-30,MELROSE HOUSE,4791318,Revenue,1098.80
Adult and Culture,Social Services-Carefirst,2010-08-09,MERIT HOME CARE SERVICES,4769978,Revenue,60330.16
Adult and Culture,Social Services-Carefirst,2010-08-02,MILLDENE,4762591,Revenue,17726.00
Adult and Culture,Social Services-Carefirst,2010-08-02,MILLDENE,4762724,Revenue,869.60
Adult and Culture,Social Services-Carefirst,2010-08-30,MILLDENE,4791250,Revenue,17726.00
Adult and Culture,Social Services-Carefirst,2010-08-30,MILLDENE,4791369,Revenue,869.60
Adult and Culture,Social Services-Carefirst,2010-08-02,MINSTER PATHWAYS LTD,4762640,Revenue,4137.64
Adult and Culture,Social Services-Carefirst,2010-08-30,MINSTER PATHWAYS LTD,4791298,Revenue,4137.64
Adult and Culture,Social Services-Carefirst,2010-08-02,MONKS HAVEN RESIDENTIAL HOME,4762627,Revenue,1054.76
Adult and Culture,Social Services-Carefirst,2010-08-30,MONKS HAVEN RESIDENTIAL HOME,4791285,Revenue,1054.76
Adult and Culture,Social Services-Carefirst,2010-08-02,MOORFIELD HOUSE,4762592,Revenue,29019.49
Adult and Culture,Social Services-Carefirst,2010-08-02,MOORFIELD HOUSE,4762725,Revenue,4076.80
Adult and Culture,Social Services-Carefirst,2010-08-30,MOORFIELD HOUSE,4791251,Revenue,22772.49
Adult and Culture,Social Services-Carefirst,2010-08-30,MOORFIELD HOUSE,4791370,Revenue,3642.00
Adult and Culture,Social Services-Carefirst,2010-08-02,MOORLANDS CARE HOME,4762630,Revenue,1282.80
Adult and Culture,Social Services-Carefirst,2010-08-30,MOORLANDS CARE HOME,4791288,Revenue,1282.80
Adult and Culture,Social Services-Carefirst,2010-08-18,MYMIL LTD,4779850,Revenue,726.80
Adult and Culture,Social Services-Carefirst,2010-08-09,NEW BEGINNINGS (N.E.) LTD,4769957,Revenue,270428.34
Adult and Culture,Social Services-Carefirst,2010-08-09,NEW PROSPECTS ASSOCIATION LTD,4769966,Revenue,44932.80
Adult and Culture,Social Services-Carefirst,2010-08-02,NEWBUS GRANGE,4762631,Revenue,30692.80
Adult and Culture,Social Services-Carefirst,2010-08-30,NEWBUS GRANGE,4791289,Revenue,30692.80
Adult and Culture,Social Services-Carefirst,2010-08-09,NEWCASTLE HOME CARE ASSOCIATES,4769975,Revenue,30458.15
Adult and Culture,Social Services-Carefirst,2010-08-09,NORTHERN LIFE CARE LTD,4769961,Revenue,26403.52
Adult and Culture,Social Services-Carefirst,2010-08-02,NORTHGATE & PRUDHOE NHS TRUST,4762632,Revenue,2830.72
Adult and Culture,Social Services-Carefirst,2010-08-18,NORTHGATE & PRUDHOE NHS TRUST,4779861,Revenue,2461.60
Adult and Culture,Social Services-Carefirst,2010-08-30,NORTHGATE & PRUDHOE NHS TRUST,4791290,Revenue,2830.72
Adult and Culture,Social Services-Carefirst,2010-08-02,NORTHLEA COURT NH,4762604,Revenue,5274.82
Adult and Culture,Social Services-Carefirst,2010-08-30,NORTHLEA COURT NH,4791264,Revenue,5304.72
Adult and Culture,Social Services-Carefirst,2010-08-02,NORWOOD RAVENSWOOD SERVICES LTD,4762706,Revenue,3528.16
Adult and Culture,Social Services-Carefirst,2010-08-30,NORWOOD RAVENSWOOD SERVICES LTD,4791358,Revenue,3528.16
Adult and Culture,Social Services-Carefirst,2010-08-02,OAK LODGE,4762619,Revenue,1910.20
Adult and Culture,Social Services-Carefirst,2010-08-30,OAK LODGE,4791278,Revenue,1910.20
Adult and Culture,Social Services-Carefirst,2010-08-02,OAKLANDS,4762642,Revenue,12694.24
Adult and Culture,Social Services-Carefirst,2010-08-30,OAKLANDS,4791300,Revenue,12694.24
Adult and Culture,Social Services-Carefirst,2010-08-18,OUTREACH RESIDENTIAL SERVICE,4779848,Revenue,1845.80
Adult and Culture,Social Services-Carefirst,2010-08-18,PARK HOUSE NURSING HOME,4779816,Revenue,35271.79
Adult and Culture,Social Services-Carefirst,2010-08-18,PARK HOUSE NURSING HOME,4779897,Revenue,4023.00
Adult and Culture,Social Services-Carefirst,2010-08-02,PARK VIEW CARE HOME,4762674,Revenue,3242.04
Adult and Culture,Social Services-Carefirst,2010-08-02,PARKLANDS NURSING HOME,4762567,Revenue,8041.68
