Newcastle City Council Invoices over 500 paid in August 2010
Directorate,Service Area,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Grand Total
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-02,FAIRBRIDGE IN TYNE AND WEAR,4762827,Revenue,1148.44
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-17,FAIRBRIDGE IN TYNE AND WEAR,4779116,Revenue,1392.77
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-04,FAWDON COMMUNITY ASSOC.,4765796,Revenue,3724.89
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-23,FAWDON COMMUNITY ASSOC.,4785528,Revenue,3724.89
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-04,JESMOND SWIMMING PROJECT,4765782,Revenue,1014.30
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-17,JET,4779117,Revenue,3193.89
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-04,LEARNING LINKS EUROPE LTD,4765789,Revenue,5306.96
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-23,LEMINGTON CENTRE,4785527,Revenue,1090.59
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-25,LYDIAS HOUSE LTD,4789131,Revenue,2368.74
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-25,LYDIAS HOUSE LTD,4789132,Revenue,1392.01
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-04,NCVS,4765790,Revenue,1499.21
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-30,NEWBURN RIVERSIDE RECREATION ASSOCIATION,4792870,Revenue,1021.00
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-04,NEWCASTLE FUTURES (CENTRAL FUND),4765792,Revenue,724.50
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-04,NEWCASTLE FUTURES (CENTRAL FUND),4765793,Revenue,579.60
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-16,NEWCASTLE FUTURES (CENTRAL FUND),4776618,Revenue,579.60
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-16,NEWCASTLE FUTURES (CENTRAL FUND),4776619,Revenue,724.50
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-02,NEWCASTLE SOCIETY FOR BLIND PEOPLE,4762829,Revenue,845.80
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-12,NEWCASTLE UNITED FOUNDATION,4765787,Revenue,877.76
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-02,NEWCASTLE UPON TYNE YMCA,4762828,Revenue,4824.32
Adult and Culture,Adult Serv Future Jobs Fund,2010-08-04,NEWCASTLE UPON TYNE YMCA,4765786,Revenue,4382.97
