Payment Date,Benificiary Name,Amount
2013-07-27,3663,496.19
2013-07-21,3663,292.00
2013-07-24,3663,359.80
2013-07-26,BRITANNIA GEORGE BERNARD SHAW,280.34
2013-07-14,PAT ROBSON &CO,327.76
2013-07-05,THOMPSONS OF PRUDHOE LTD,35900.00
2013-08-01,THOMPSONS OF PRUDHOE LTD,330.00
2013-07-31,THOMPSONS OF PRUDHOE LTD,330.00
2013-08-01,THOMPSONS OF PRUDHOE LTD,559.13
2013-07-24,THOMPSONS OF PRUDHOE LTD,679.66
2013-07-17,THOMPSONS OF PRUDHOE LTD,958.12
2013-07-20,THOMPSONS OF PRUDHOE LTD,258.70
2013-07-04,13 FERGUSONS LANE,1540.00
2013-07-30,13 FERGUSONS LANE,1540.00
2013-07-02,18 SEA VIEW VILLAS,1540.00
2013-07-30,18 SEA VIEW VILLAS,1540.00
2013-07-17,20-20 VISION SYSTEMS LTD,287.02
2013-08-02,36 BEDFORD ROW,700.00
2013-07-04,A SIGNIFICANT OTHER LTD,8600.00
2013-07-04,A WILDERNESS WAY,14000.00
2013-07-11,A&J KEITH LTD,92309.18
2013-07-10,A&S LOCKSMITHS,477.41
2013-07-09,A&S LOCKSMITHS,477.41
2013-07-10,A&S LOCKSMITHS,598.11
2013-07-18,ABBEYFIELD CASTLE FARM,-1147.08
2013-07-16,ABBEYFIELD CASTLE FARM,3488.00
2013-07-16,ABBEYFIELD THE GROVE,-2740.95
2013-07-18,ABBEYFIELD THE GROVE,5754.54
2013-07-16,ABBEYMOOR,-573.08
2013-07-16,ABBEYMOOR,-315.20
2013-07-18,ABBEYMOOR,3462.52
2013-07-18,ABBEYMOOR,2010.56
2013-07-23,ABCOM SERVICES LTD,800.00
2013-07-31,ABEL ALARM COMPANY LTD,396.00
2013-07-31,ABEL ALARM COMPANY LTD,1149.00
2013-07-16,ABIGAIL HOUSE,-11137.98
2013-07-18,ABIGAIL HOUSE,36484.05
2013-07-04,ABOUT TURN VETERANS SUPPORT SERVICE,2286.83
2013-07-09,ACCEPT CARE,-290.96
2013-07-11,ACCEPT CARE,1817.20
2013-07-09,ACCEPT CARE,4906.44
2013-07-12,ACCESS INDEPENDENT,2299.00
2013-07-12,ACCESS INDEPENDENT,396.60
2013-07-24,ACE CLEANING EQUIPMENT,504.50
2013-07-29,ACORN TREATMENT AND HOUSING,1980.00
2013-07-29,ACORN TREATMENT AND HOUSING,2475.00
2013-07-31,ACROL AIR CONDITIONING CO LTD,497.24
2013-07-04,ACTION BUILDING MAINTENANCE LTD,630.84
2013-07-14,ACTION BUILDING MAINTENANCE LTD,8862.00
2013-07-04,ACTION FOR CHILDREN,6560.00
2013-07-19,ACTION FOR CHILDREN,10116.50
2013-07-31,ACTION FOR CHILDREN,44500.00
2013-08-02,ACTION FOR CHILDREN,0.00
2013-07-31,ACTION FOR CHILDREN,0.00
2013-08-02,ACTION FOR CHILDREN,5097.15
2013-08-02,ACTION FOR CHILDREN,5097.15
2013-08-02,ACTION FOR CHILDREN,5097.15
2013-08-02,ACTION FOR CHILDREN,5097.15
2013-07-31,ACTION FOR CHILDREN,5097.15
2013-07-31,ACTION FOR CHILDREN,67000.75
2013-07-31,ACTION FOR CHILDREN,13011.00
2013-07-31,ACTION FOR CHILDREN,3689.50
2013-07-15,ACTION FOR CHILDREN,44500.00
2013-07-15,ACTION FOR CHILDREN,0.00
2013-07-15,ACTION FOR CHILDREN,0.00
2013-07-17,ACTION FOR CHILDREN,5097.15
2013-07-15,ACTION FOR CHILDREN,5097.15
2013-07-15,ACTION FOR CHILDREN,5097.15
2013-07-17,ACTION FOR CHILDREN,5097.15
2013-07-15,ACTION FOR CHILDREN,5097.15
2013-07-15,ACTION FOR CHILDREN,10116.50
2013-07-17,ACTION FOR CHILDREN,67000.75
2013-07-15,ACTION FOR CHILDREN,13011.00
2013-07-15,ACTION FOR CHILDREN,3689.50
2013-07-15,ACTION FOR CHILDREN,7261.00
2013-07-04,ACTION FOR CHILDREN,6705.79
2013-08-02,ACTION FOR CHILDREN,26964.00
2013-08-02,ACTION FOR CHILDREN,26964.00
2013-07-02,ACTION FOUNDATION,2286.83
2013-07-30,ACTION FOUNDATION,4573.66
