Payment Date,Benificiary Name,Amount
2012-12-08,ACADEMY GEOMATICS LTD,4865.00
2012-12-21,ACADEMY MUSIC GROUP LTD T/A O2 ACADEMY N,250.00
2012-12-19,ACCEPT CARE,-270.96
2012-12-19,ACCEPT CARE,1817.20
2012-12-19,ACCEPT CARE,4906.44
2012-12-15,ACCESS CONSTRUCTION,9026.41
2012-12-09,ACCESS CONSTRUCTION,969.49
2012-12-22,ACCESS CONSTRUCTION,6954.13
2012-12-26,ACCESS CONSTRUCTION,2262.32
2012-12-29,ACCESS CONSTRUCTION,5852.05
2012-12-29,ACCESS INDEPENDENT,1654.50
2012-12-21,ACCIDENT EXCHANGE LIMITED,362.96
2012-12-21,ACCOUNTING OFFICER,551.00
2012-12-11,ACOMB COURT,962.76
2012-12-09,ACP,419.60
2012-12-26,ACTION BUILDING MAINTENANCE LTD,2296.50
2012-12-26,ACTION BUILDING MAINTENANCE LTD,2652.75
2012-12-29,ACTION BUILDING MAINTENANCE LTD,370.26
2012-12-15,ACTION BUILDING MAINTENANCE LTD,790.02
2012-12-26,ACTION BUILDING MAINTENANCE LTD,590.00
2012-12-12,ACTION FOR BLIND PEOPLE,795.00
2012-12-21,ACTION FOR CHILDREN,6560.00
2012-12-28,ACTION FOR CHILDREN,750.00
2012-12-28,ACTION FOR CHILDREN,1194.00
2012-12-13,ACTION FOR CHILDREN,2666.00
2012-12-20,ACTION FOR CHILDREN,10025.47
2012-12-13,ACTION ON HEARING LOSS,4155.45
2012-12-11,ACTIVE HORIZONS LTD,-476.80
2012-12-11,ACTIVE HORIZONS LTD,1648.00
2012-12-20,ACTIVE TRAVEL,1960.00
2012-12-24,ACTIVE TRAVEL,1800.00
2012-12-08,ACTONS SOLICITORS,4985.68
2012-12-21,ADASS TREASURY,450.00
2012-12-21,ADC ELECTRICAL CO LTD(F),294.88
2012-12-06,ADC ELECTRICAL CO LTD(F),356.00
2012-12-05,ADC ELECTRICAL CO LTD(F),361.75
2012-12-03,ADMORRE LTD,-476.80
2012-12-03,ADMORRE LTD,-476.80
2012-12-03,ADMORRE LTD,1802.60
2012-12-03,ADMORRE LTD,1802.60
2012-12-09,ADT FIRE & SECURITY,250.00
2012-12-08,ADT FIRE & SECURITY,683.00
2012-12-26,ADVANCE INSTALLATIONS LTD,1010.00
2012-12-05,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,1700.00
2012-12-09,ADVANCED CALIBRATIONS LTD,209.00
2012-12-05,ADVANCED WATER TECHNOLOGIES,1365.00
2012-12-09,AEBI SCHMIDT UK LTD,279.64
2012-12-21,AEBI SCHMIDT UK LTD,696.69
2012-12-22,AEBI SCHMIDT UK LTD,499.94
2012-12-05,AEBI SCHMIDT UK LTD,499.94
2012-12-12,AEBI SCHMIDT UK LTD,301.15
2012-12-09,AECOM,4012.50
2012-12-14,AGD SYSTEMS LTD,5940.00
2012-12-14,AGD SYSTEMS LTD,60.00
2012-12-19,AGE UK NEWCASTLE,1780.00
2012-12-18,AGE UK NEWCASTLE,502.04
2012-12-18,AGE UK NEWCASTLE,1460.48
2012-12-20,AGE UK NEWCASTLE,62700.00
2012-12-20,AGE UK NEWCASTLE,68772.34
2012-12-20,AGE UK NEWCASTLE,9786.14
2012-12-20,AGE UK NEWCASTLE,10167.43
2012-12-20,AGE UK NEWCASTLE,9902.62
2012-12-19,AGE UK NEWCASTLE,1923.40
2012-12-19,AGE UK NEWCASTLE,8460.60
2012-12-19,AGE UK NEWCASTLE,236.00
2012-12-19,AGE UK NEWCASTLE,1935.20
2012-12-19,AGE UK NEWCASTLE,10856.00
2012-12-19,AGE UK NEWCASTLE,236.00
2012-12-19,AGE UK NEWCASTLE,38662.25
2012-12-19,AGE UK NEWCASTLE,3148.75
2012-12-19,AGE UK NEWCASTLE,676.50
2012-12-19,AGE UK NEWCASTLE,242.00
2012-12-19,AGE UK NEWCASTLE,67963.21
2012-12-19,AGE UK NEWCASTLE,6360.75
2012-12-19,AGE UK NEWCASTLE,572.00
2012-12-19,AGE UK NEWCASTLE,1408.00
2012-12-19,AGE UK NEWCASTLE,880.00
