Organisational Unit,Payment Date,Benificiary Name,Amount
Adult and Culture,2016-09-20,14 EIGHTH ROW,9800.00
Adult and Culture,2016-09-20,18 SEA VIEW VILLAS,1540.00
Environment & Regeneration,2016-09-05,A & C WEBER UK,2660.00
Children's Services,2016-09-20,A SIGNIFICANT OTHER LTD,14320.00
Environment & Regeneration,2016-09-28,A&J KEITH LTD,1320.00
Environment & Regeneration,2016-09-09,A&J KEITH LTD,84526.44
Environment & Regeneration,2016-09-21,A&J KEITH LTD,52327.62
Environment & Regeneration,2016-09-21,A&J KEITH LTD,86895.96
Environment & Regeneration,2016-09-21,A&J KEITH LTD,15211.45
Environment & Regeneration,2016-09-20,A&S LOCKSMITHS,1634.77
Chief Executive's,2016-09-20,AA GLOBAL LANGUAGES SERVICES LTD,168.00
Chief Executive's,2016-09-20,AA GLOBAL LANGUAGES SERVICES LTD,154.00
Chief Executive's,2016-09-20,AA GLOBAL LANGUAGES SERVICES LTD,492.00
Environment & Regeneration,2016-09-16,AAA CHEMICALS LTD,847.00
Adult and Culture,2016-09-06,ABBEYFIELD CASTLE FARM,6473.89
Adult and Culture,2016-09-06,ABBEYFIELD CASTLE FARM,-1018.60
Adult and Culture,2016-09-06,ABBEYMOOR,10911.60
Adult and Culture,2016-09-06,ABBEYMOOR,6306.29
Adult and Culture,2016-09-06,ABBEYMOOR,6848.00
Adult and Culture,2016-09-06,ABBEYMOOR,-7425.14
Adult and Culture,2016-09-06,ABBEYMOOR,-871.31
Adult and Culture,2016-09-06,ABBEYMOOR,-793.84
Environment & Regeneration,2016-09-28,ABLE 2 OCCUPATIONAL THERAPY SERVICES LTD,501.10
Adult and Culture,2016-09-28,ABSOLUTE QUALITY CARE,25476.75
Adult and Culture,2016-09-28,ABSOLUTE QUALITY CARE,513.50
Adult and Culture,2016-09-28,ABSOLUTE QUALITY CARE,8700.25
Adult and Culture,2016-09-28,ABSOLUTE QUALITY CARE,2294.50
Adult and Culture,2016-09-06,ACCOUNTABILITY,2782.00
Environment & Regeneration,2016-09-21,ACP,4131.45
Environment & Regeneration,2016-09-21,ACP,1673.70
Environment & Regeneration,2016-09-21,ACP,4185.80
Environment & Regeneration,2016-09-21,ACP,1673.70
Environment & Regeneration,2016-09-09,ACROL AIR CONDITIONING CO LTD,452.30
Environment & Regeneration,2016-09-27,ACROL AIR CONDITIONING CO LTD,2867.00
Children's Services,2016-09-20,ACTION FOR CHILDREN,14096.00
