Payment Date,Benificiary Name,Amount
2013-03-29,3663,406.68
2013-03-08,3663,274.33
2013-03-12,3663,477.35
2013-03-28,1NG LTD,14666.80
2013-03-15,A LIVING TRADITION,2175.80
2013-03-27,A WILDERNESS WAY,3500.00
2013-03-04,A WILDERNESS WAY,7000.00
2013-03-19,A WILDERNESS WAY,3500.00
2013-03-21,A&D SUTHERLAND LTD,2746.80
2013-03-21,A&D SUTHERLAND LTD,500.00
2013-03-08,A&J KEITH LTD,76287.65
2013-03-25,A&S LOCKSMITHS,339.10
2013-03-21,A&S LOCKSMITHS,1362.00
2013-03-18,A&S LOCKSMITHS,359.70
2013-03-08,AA FLAGS LTD,250.50
2013-03-28,AA GLOBAL LANGUAGES SERVICES LTD,270.00
2013-03-25,AARAN BUILDERS (NE) LTD,4736.60
2013-03-25,AARAN BUILDERS (NE) LTD,4866.80
2013-03-05,AARAN BUILDERS (NE) LTD,1994.80
2013-03-16,AARAN BUILDERS (NE) LTD,1944.80
2013-03-28,ABBEYFIELD CASTLE FARM,-433.58
2013-03-28,ABBEYFIELD CASTLE FARM,1559.76
2013-03-28,ABBEYFIELD THE GROVE,-5193.21
2013-03-28,ABBEYFIELD THE GROVE,10339.43
2013-03-28,ABBEYMOOR,-476.80
2013-03-26,ABBEYMOOR,-311.40
2013-03-26,ABBEYMOOR,3462.52
2013-03-28,ABBEYMOOR,2010.56
2013-03-28,ABBEYWELL COURT CARE HOMES,2300.00
2013-03-06,ABIGAIL HOUSE,8336.69
2013-03-28,ABIGAIL HOUSE,-9776.12
2013-03-26,ABIGAIL HOUSE,31788.00
2013-03-25,ACCENTURE,5329.50
2013-03-14,ACCENTURE,6235.00
2013-03-19,ACCEPT CARE,-270.96
2013-03-21,ACCEPT CARE,1817.20
2013-03-21,ACCEPT CARE,4906.44
2013-03-14,ACCESS INDEPENDENT,2499.00
2013-03-17,ACCIDENT CREDIT GROUP,1941.36
2013-03-14,ACME,433.40
2013-03-13,ACME,433.40
2013-03-25,ACORN TREATMENT AND HOUSING,1980.00
2013-03-25,ACORN TREATMENT AND HOUSING,1980.00
2013-03-14,ACTION BUILDING MAINTENANCE LTD,1574.69
2013-03-13,ACTION FOR CHILDREN,6560.00
2013-03-15,ACTION FOR CHILDREN,28311.00
2013-03-30,ACTION FOR CHILDREN,3732.20
2013-03-30,ACTION FOR CHILDREN,2799.50
2013-03-30,ACTION FOR CHILDREN,2799.50
2013-03-17,ACTION FOR CHILDREN,5097.15
2013-03-17,ACTION FOR CHILDREN,5097.15
2013-03-15,ACTION FOR CHILDREN,5097.15
2013-03-15,ACTION FOR CHILDREN,5097.15
2013-03-15,ACTION FOR CHILDREN,5097.15
2013-03-22,ACTION FOR CHILDREN,8125.00
2013-03-22,ACTION FOR CHILDREN,9068.00
2013-03-22,ACTION FOR CHILDREN,0.00
2013-03-22,ACTION FOR CHILDREN,1072.00
2013-03-22,ACTION FOR CHILDREN,24208.00
2013-03-22,ACTION FOR CHILDREN,19220.00
2013-03-24,ACTION FOR CHILDREN,75565.00
2013-03-24,ACTION FOR CHILDREN,8367.00
2013-03-24,ACTION FOR CHILDREN,4644.00
2013-03-24,ACTION FOR CHILDREN,3689.00
2013-03-23,ACTION FOR CHILDREN,10028.89
2013-03-30,ACTION FOR CHILDREN,6571.00
2013-03-24,ACTION FOR CHILDREN,30127.50
2013-03-22,ACTION FOR CHILDREN,1194.00
2013-03-22,ACTION FOR CHILDREN,750.00
2013-03-07,ACTION ON HEARING LOSS,476.11
2013-03-29,ACTION ON HEARING LOSS,2276.20
2013-03-14,ACTIVE HORIZONS LTD,-476.80
2013-03-14,ACTIVE HORIZONS LTD,1648.00
2013-03-30,ACTIVE TRAVEL,1350.00
2013-03-15,ACTIVE TRAVEL,1470.00
2013-03-30,ADARE LTD,324.12
2013-03-28,ADARE LTD,625.00
2013-03-13,ADARE LTD,577.02
2013-03-13,ADARE LTD,625.00
2013-03-06,ADC ELECTRICAL CO LTD(F),479.00
2013-03-29,ADC ELECTRICAL CO LTD(F),467.56
2013-03-27,ADC ELECTRICAL CO LTD(F),485.00
2013-03-20,ADELPHI HOTEL,1106.00
2013-03-20,ADMEDIA LEISURE LTD,1997.00
2013-03-20,ADOPTION UK,1202.00
2013-03-20,ADOPTION UK,550.00
2013-03-18,ADOPTION UK,435.00
2013-03-22,ADT FIRE & SECURITY,728.67
2013-03-13,ADT FIRE & SECURITY,339.22
2013-03-26,ADVANCE INSTALLATIONS LTD,1735.00
2013-03-26,ADVANCE INSTALLATIONS LTD,3671.00
2013-03-26,ADVANCE INSTALLATIONS LTD,2351.00
2013-03-26,ADVANCE INSTALLATIONS LTD,1670.00
2013-03-26,ADVANCE INSTALLATIONS LTD,2402.00
2013-03-26,ADVANCE INSTALLATIONS LTD,1752.00
2013-03-26,ADVANCE INSTALLATIONS LTD,1561.00
2013-03-26,ADVANCE INSTALLATIONS LTD,1812.00
2013-03-26,ADVANCE INSTALLATIONS LTD,1879.00
2013-03-26,ADVANCE INSTALLATIONS LTD,1705.00
2013-03-26,ADVANCE INSTALLATIONS LTD,965.00
2013-03-26,ADVANCE INSTALLATIONS LTD,1816.00
2013-03-26,ADVANCE INSTALLATIONS LTD,1807.00
2013-03-26,ADVANCE INSTALLATIONS LTD,1857.00
2013-03-28,ADVANCE INSTALLATIONS LTD,3257.00
2013-03-28,ADVANCE INSTALLATIONS LTD,1791.00
2013-03-16,ADVANCE INSTALLATIONS LTD,1882.00
2013-03-16,ADVANCE INSTALLATIONS LTD,1784.00
2013-03-16,ADVANCE INSTALLATIONS LTD,4016.00
2013-03-16,ADVANCE INSTALLATIONS LTD,2011.00
2013-03-16,ADVANCE INSTALLATIONS LTD,2132.00
2013-03-16,ADVANCE INSTALLATIONS LTD,454.00
2013-03-16,ADVANCE INSTALLATIONS LTD,1906.00
2013-03-16,ADVANCE INSTALLATIONS LTD,1745.00
2013-03-16,ADVANCE INSTALLATIONS LTD,1020.00
2013-03-20,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,3400.00
2013-03-20,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,2550.00
2013-03-20,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,850.00
2013-03-20,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,6800.00
2013-03-09,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,5100.00
2013-03-10,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,5100.00
2013-03-18,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,425.00
