Payment Date,Benificiary Name,Amount
2013-04-29,3663,642.27
2013-05-01,3663,352.37
2013-04-29,CORE CATERING MAINTENANCE CONTRACTS LTD,2000.00
2013-04-07,CORE CATERING MAINTENANCE CONTRACTS LTD,490.00
2013-04-14,THOMPSONS OF PRUDHOE LTD,53600.00
2013-04-23,THOMPSONS OF PRUDHOE LTD,1943.26
2013-04-08,THOMPSONS OF PRUDHOE LTD,340.00
2013-04-11,13 FERGUSONS LANE,1540.00
2013-04-20,13TH NEWCASTLE BROWNIES,336.00
2013-04-09,18 SEA VIEW VILLAS,1540.00
2013-04-04,220 SOFT LIMITED,960.00
2013-04-26,A SIGNIFICANT OTHER LTD,8600.00
2013-04-09,A SIGNIFICANT OTHER LTD,8600.00
2013-04-07,A SIGNIFICANT OTHER LTD,9800.00
2013-04-30,A WILDERNESS WAY,3500.00
2013-04-17,A WILDERNESS WAY,3500.00
2013-04-02,A WILDERNESS WAY,3500.00
2013-04-12,A&J KEITH LTD,82672.06
2013-04-27,A&S LOCKSMITHS,255.84
2013-04-18,AARAN BUILDERS (NE) LTD,1756.80
2013-04-07,AARAN BUILDERS (NE) LTD,780.00
2013-04-05,AARAN BUILDERS (NE) LTD,650.00
2013-04-05,AARAN BUILDERS (NE) LTD,279.00
2013-04-05,AARAN BUILDERS (NE) LTD,620.00
2013-04-25,ABBEYFIELD CASTLE FARM,-1516.82
2013-04-25,ABBEYFIELD CASTLE FARM,3488.00
2013-04-23,ABBEYFIELD THE GROVE,-4851.10
2013-04-23,ABBEYFIELD THE GROVE,8720.00
2013-04-25,ABBEYMOOR,-483.70
2013-04-25,ABBEYMOOR,-311.40
2013-04-25,ABBEYMOOR,3462.52
2013-04-25,ABBEYMOOR,2010.56
2013-04-23,ABBEYWELL COURT CARE HOMES,2300.00
2013-04-20,ABEL ALARM COMPANY LTD,552.00
2013-04-25,ABIGAIL HOUSE,-7654.28
2013-04-25,ABIGAIL HOUSE,26839.28
2013-04-04,ACADEMIA LTD,1612.80
2013-04-16,ACCEPT CARE,-270.96
2013-04-16,ACCEPT CARE,1817.20
2013-04-16,ACCEPT CARE,4906.44
2013-04-25,ACCESS INDEPENDENT,2057.50
2013-04-15,ACCESS INDEPENDENT,2656.50
2013-04-07,ACORN ENVIRONMENTAL PEST CONTROL LTD,2243.00
2013-04-09,ACORN TREATMENT AND HOUSING,1485.00
2013-04-14,ACP,412.80
2013-04-30,ACP,2970.00
2013-04-09,ACTION FOR CHILDREN,6560.00
2013-04-11,ACTION FOR CHILDREN,6257.57
2013-04-12,ACTION FOR CHILDREN,750.00
2013-04-11,ACTIVE HORIZONS LTD,-479.10
2013-04-11,ACTIVE HORIZONS LTD,1648.00
2013-04-15,ACTIVITIES DISPLAY COMPANY LTD,291.00
2013-04-19,ADC ELECTRICAL CO LTD(F),288.43
2013-04-06,ADC ELECTRICAL CO LTD(F),1362.00
2013-05-01,ADELPHI HOTEL,1106.00
2013-04-20,ADT FIRE & SECURITY,20846.56
2013-04-10,ADVANCE INSTALLATIONS LTD,300.00
2013-04-10,ADVANCE INSTALLATIONS LTD,752.67
2013-04-10,ADVANCE INSTALLATIONS LTD,3536.00
2013-04-10,ADVANCE INSTALLATIONS LTD,1896.00
2013-04-10,ADVANCE INSTALLATIONS LTD,2356.00
