Organisational Unit,Payment Date,Benificiary Name,Amount
Adult and Culture,2016-07-29,14 EIGHTH ROW,9800.00
Adult and Culture,2016-07-29,18 SEA VIEW VILLAS,1540.00
Adult and Culture,2016-07-13,2CQR LTD,104007.00
Environment & Regeneration,2016-07-21,A&J KEITH LTD,40993.16
Environment & Regeneration,2016-07-12,A&J KEITH LTD,64181.40
Environment & Regeneration,2016-07-25,A&J KEITH LTD,70437.41
Chief Executive's,2016-07-08,AA GLOBAL LANGUAGES SERVICES LTD,737.00
Environment & Regeneration,2016-07-05,AAA CHEMICALS LTD,847.00
Adult and Culture,2016-07-12,ABBEYFIELD CASTLE FARM,3713.68
Adult and Culture,2016-07-12,ABBEYFIELD CASTLE FARM,-1021.00
Adult and Culture,2016-07-12,ABBEYFIELD THE GROVE,270.07
Adult and Culture,2016-07-12,ABBEYFIELD THE GROVE,77.60
Adult and Culture,2016-07-12,ABBEYMOOR,6848.00
Adult and Culture,2016-07-12,ABBEYMOOR,4577.14
Adult and Culture,2016-07-12,ABBEYMOOR,-793.84
Adult and Culture,2016-07-14,ABC AWARDS,360.00
Environment & Regeneration,2016-07-28,ABLE 2 OCCUPATIONAL THERAPY SERVICES LTD,642.90
Adult and Culture,2016-07-05,ABSOLUTE QUALITY CARE,1811.60
Adult and Culture,2016-07-05,ABSOLUTE QUALITY CARE,22737.25
Adult and Culture,2016-07-05,ABSOLUTE QUALITY CARE,9197.73
Adult and Culture,2016-07-05,ABSOLUTE QUALITY CARE,1781.00
Adult and Culture,2016-07-12,ACCOUNTABILITY,2782.00
Environment & Regeneration,2016-07-22,ACM WASTE MANAGEMENT,441.00
Chief Executive's,2016-07-27,ACME,308.86
Environment & Regeneration,2016-07-26,ACP,5003.06
Environment & Regeneration,2016-07-18,ACP,4018.80
Environment & Regeneration,2016-07-18,ACP,1651.95
Environment & Regeneration,2016-07-06,ACROL AIR CONDITIONING CO LTD,545.50
Environment & Regeneration,2016-07-25,ACROL AIR CONDITIONING CO LTD,688.14
Environment & Regeneration,2016-07-04,ACROL AIR CONDITIONING CO LTD,2733.00
Adult and Culture,2016-07-29,ACTIVE HORIZONS LTD,8060.72
Adult and Culture,2016-07-29,ACTIVE HORIZONS LTD,-1603.75
Chief Executive's,2016-07-18,ADARE LTD,9181.94
Environment & Regeneration,2016-07-27,ADC ELECTRICAL CO LTD(F),279.00
Adult and Culture,2016-07-08,ADELA LORAINE ELLIS,1400.00
Adult and Culture,2016-07-19,ADELA LORAINE ELLIS,1300.00
Chief Executive's,2016-07-28,ADT FIRE & SECURITY,557.72
Chief Executive's,2016-07-04,ADT FIRE & SECURITY,271.35
Environment & Regeneration,2016-07-12,ADT FIRE & SECURITY,919.19
Environment & Regeneration,2016-07-12,ADT FIRE & SECURITY,510.15
Environment & Regeneration,2016-07-01,ADT FIRE & SECURITY,401.74
Environment & Regeneration,2016-07-26,ADT FIRE & SECURITY,2500.00
HRA,2016-07-25,ADVANCED CLEANING & MAINTENANCE LTD,878.00
Environment & Regeneration,2016-07-28,ADVANCED WATER TECHNOLOGIES,265.00
Environment & Regeneration,2016-07-28,ADVANCED WATER TECHNOLOGIES,1100.00
