Organisational Unit,Payment Date,Benificiary Name,Amount
Environment & Regeneration,2013-11-18,3663,286.86
Environment & Regeneration,2013-11-01,3663,426.49
Adult and Culture,2013-11-27,REHABILITATION FOR ADDICTED PRISONER,2224.03
Environment & Regeneration,2013-11-06,THOMPSONS OF PRUDHOE LTD,500.00
Environment & Regeneration,2013-11-25,THOMPSONS OF PRUDHOE LTD,4090.00
Environment & Regeneration,2013-11-14,THOMPSONS OF PRUDHOE LTD,3330.00
Environment & Regeneration,2013-11-25,THOMPSONS OF PRUDHOE LTD,1305.00
Adult and Culture,2013-11-19,13 FERGUSONS LANE,1540.00
Adult and Culture,2013-11-19,14 EIGHTH ROW,9800.00
Adult and Culture,2013-11-19,18 SEA VIEW VILLAS,1540.00
Children's Services,2013-11-25,4CHILDREN,260.00
Chief Executive's,2013-11-20,93RD NEWCASTLE SCOUTS GROUP,927.27
Environment & Regeneration,2013-11-21,A E G LIVE UK LTD,27453.79
Children's Services,2013-11-20,A SIGNIFICANT OTHER LTD,8600.00
Children's Services,2013-11-20,A WILDERNESS WAY,14000.00
Environment & Regeneration,2013-11-12,A&B INDUSTRIAL SERVICES N.E. LTD,783.00
Environment & Regeneration,2013-11-13,A&J KEITH LTD,64878.59
Environment & Regeneration,2013-11-22,A1 EQUIPMENT,489.00
Children's Services,2013-11-26,AA GLOBAL LANGUAGES SERVICES LTD,300.00
Environment & Regeneration,2013-11-11,AAA CHEMICALS LTD,476.00
Environment & Regeneration,2013-11-29,ABACUS LIGHTING LTD,595.56
Adult and Culture,2013-11-05,ABBEYFIELD CASTLE FARM,-1147.08
Adult and Culture,2013-11-05,ABBEYFIELD CASTLE FARM,7715.95
Adult and Culture,2013-11-05,ABBEYFIELD THE GROVE,-2566.48
Adult and Culture,2013-11-05,ABBEYFIELD THE GROVE,10481.44
Adult and Culture,2013-11-05,ABBEYMOOR,-573.08
Adult and Culture,2013-11-05,ABBEYMOOR,-315.20
Adult and Culture,2013-11-05,ABBEYMOOR,3462.52
Adult and Culture,2013-11-05,ABBEYMOOR,2010.56
Adult and Culture,2013-11-05,ABBEYWELL COURT CARE HOMES,2300.00
Adult and Culture,2013-11-05,ABIGAIL HOUSE,-11070.69
Adult and Culture,2013-11-05,ABIGAIL HOUSE,36784.38
HRA,2013-11-11,ABLECARE CLEANING SERVICES,254.00
Adult and Culture,2013-11-26,ACCEPT CARE,-290.96
Adult and Culture,2013-11-26,ACCEPT CARE,1817.20
Adult and Culture,2013-11-26,ACCEPT CARE,4906.44
Children's Services,2013-11-28,ACCESS INDEPENDENT,2321.00
Environment & Regeneration,2013-11-29,ACCESS INDEPENDENT,2321.00
Adult and Culture,2013-11-18,ACORN TREATMENT AND HOUSING,2475.00
Environment & Regeneration,2013-11-08,ACROL AIR CONDITIONING CO LTD,261.80
