Organisational Unit,Payment Date,Benificiary Name,Amount
Environment & Regeneration,2012-02-15,3663,595.33
Chief Executive's,2012-02-13,3663,545.67
Environment & Regeneration,2012-02-24,BIN MASTERS LTD,750.00
Adult and Culture,2012-02-14,ORCHARD CARE HOME .COM (3)LTD,-545.92
Adult and Culture,2012-02-14,ORCHARD CARE HOME .COM (3)LTD,1754.52
Environment & Regeneration,2012-02-24,SCHNEIDER ELECTRIC LIMITED,580.00
Adult and Culture,2012-02-14,13 FERGUSONS LANE,1800.00
Adult and Culture,2012-02-14,18 SEA VIEW VILLAS,1136.00
Environment & Regeneration,2012-02-03,1NG LTD,50000.00
Children's Services,2012-02-02,A WILDERNESS WAY,10500.00
Children's Services,2012-02-27,A WILDERNESS WAY,3500.00
Environment & Regeneration,2012-02-01,A&J KEITH LTD,2280.00
Environment & Regeneration,2012-02-27,A&J KEITH LTD,8000.00
Environment & Regeneration,2012-02-27,A&J KEITH LTD,4000.00
Environment & Regeneration,2012-02-27,A&J KEITH LTD,4000.00
Environment & Regeneration,2012-02-28,A&J KEITH LTD,8000.00
Environment & Regeneration,2012-02-28,A&J KEITH LTD,20000.00
Environment & Regeneration,2012-02-28,A&J KEITH LTD,20000.00
Environment & Regeneration,2012-02-28,A&J KEITH LTD,4000.00
Environment & Regeneration,2012-02-28,A&J KEITH LTD,4000.00
Environment & Regeneration,2012-02-28,A&J KEITH LTD,4000.00
Environment & Regeneration,2012-02-13,A&J KEITH LTD,99993.78
Children's Services,2012-02-14,A&S LOCKSMITHS,694.55
Environment & Regeneration,2012-02-13,A&S LOCKSMITHS,496.45
Environment & Regeneration,2012-02-17,AAA SIGNS,4459.50
Adult and Culture,2012-02-27,ABBEYFIELD CASTLE FARM,-1682.68
Adult and Culture,2012-02-27,ABBEYFIELD CASTLE FARM,5232.00
Adult and Culture,2012-02-27,ABBEYFIELD THE GROVE,-3731.56
Adult and Culture,2012-02-27,ABBEYFIELD THE GROVE,6976.00
Adult and Culture,2012-02-27,ABBEYWELL COURT CARE HOMES,2300.00
Adult and Culture,2012-02-27,ABBEYWELL COURT CARE HOMES,2300.00
Adult and Culture,2012-02-27,ABIGAIL HOUSE,-9295.42
Adult and Culture,2012-02-27,ABIGAIL HOUSE,31419.50
Adult and Culture,2012-02-23,ACCEPT CARE,6488.64
Environment & Regeneration,2012-02-08,ACCESS CONSTRUCTION,4196.00
Environment & Regeneration,2012-02-02,ACCESS CONSTRUCTION,2560.00
Environment & Regeneration,2012-02-16,ACCESS CONSTRUCTION,3346.00
Environment & Regeneration,2012-02-16,ACCESS CONSTRUCTION,3675.00
Environment & Regeneration,2012-02-16,ACCESS CONSTRUCTION,7457.00
Environment & Regeneration,2012-02-17,ACME,939.00
Environment & Regeneration,2012-02-27,ACORN DAIRY,1268.69
Environment & Regeneration,2012-02-27,ACORN DAIRY,629.50
Environment & Regeneration,2012-02-16,ACP,728.70
Environment & Regeneration,2012-02-16,ACP,677.33
Environment & Regeneration,2012-02-17,ACP,6250.00
Environment & Regeneration,2012-02-17,ACP,500.00
