Organisational Unit,Payment Date,Benificiary Name,Amount
Adult and Culture,2011-12-23,PURCHASE POWER,517.37
Adult and Culture,2011-12-12,Redacted Personal Data,1760.00
Adult and Culture,2011-12-21,C-ALF LEARNING LTD,1200.00
Adult and Culture,2011-12-12,COVENTRY UNIVERSITY,1046.66
Adult and Culture,2011-12-09,GED LAING PERSONAL SAFETY TRAINING,2572.55
Adult and Culture,2011-12-14,SOUTH NORTHUMBERLAND CRICKET & TENNIS CL,817.25
Adult and Culture,2011-12-12,THE OPEN UNIVERSITY,820.00
Adult and Culture,2011-12-20,THE STROKE ASSOCIATION,600.00
Adult and Culture,2011-12-15,NCC GROUP SECURE TEST LTD,795.00
Adult and Culture,2011-12-08,IMAGE VISUAL COMMUNICATIONS,430.00
Adult and Culture,2011-12-22,N POWER NORTHERN LTD,1780.59
Adult and Culture,2011-12-22,N POWER NORTHERN LTD,1528.81
Adult and Culture,2011-12-23,NEOPOST FINANCE LTD,536.05
Adult and Culture,2011-12-07,BUNZL CLEANING & HYGIENE SUPPLIES,440.61
Adult and Culture,2011-12-12,DSG RETAIL,1499.80
Adult and Culture,2011-12-22,N POWER NORTHERN LTD,1052.07
Adult and Culture,2011-12-06,AGE UK NEWCASTLE,1369.20
Adult and Culture,2011-12-12,AGE UK NEWCASTLE,513.45
Adult and Culture,2011-12-12,AGE UK NEWCASTLE,1146.72
Adult and Culture,2011-12-07,AGE UK NEWCASTLE,1095.36
Adult and Culture,2011-12-07,AGE UK NEWCASTLE,1780.00
Adult and Culture,2011-12-07,AGE UK NEWCASTLE,1780.00
Adult and Culture,2011-12-07,AGE UK NEWCASTLE,502.04
Adult and Culture,2011-12-07,AGE UK NEWCASTLE,6846.00
Adult and Culture,2011-12-12,ALLIED HEALTHCARE GROUP LTD,4669.26
Adult and Culture,2011-12-23,ALLIED HEALTHCARE GROUP LTD,2482.56
Adult and Culture,2011-12-28,ARCO LTD,1724.77
Adult and Culture,2011-12-07,ARK HOUSE TREATMENT CENTRE,1641.72
Adult and Culture,2011-12-06,AZURE,625.56
Adult and Culture,2011-12-06,AZURE,625.56
Adult and Culture,2011-12-06,AZURE,577.44
Adult and Culture,2011-12-06,AZURE,625.56
Adult and Culture,2011-12-06,AZURE,1130.80
Adult and Culture,2011-12-06,AZURE,601.50
Adult and Culture,2011-12-06,AZURE,1395.48
Adult and Culture,2011-12-06,AZURE,721.80
Adult and Culture,2011-12-28,AZURE,818.04
Adult and Culture,2011-12-28,AZURE,962.40
Adult and Culture,2011-12-28,AZURE,769.92
Adult and Culture,2011-12-28,AZURE,689.18
Adult and Culture,2011-12-07,AZURE,818.04
Adult and Culture,2011-12-07,AZURE,962.40
Adult and Culture,2011-12-07,AZURE,986.40
Adult and Culture,2011-12-07,AZURE,577.44
Adult and Culture,2011-12-07,AZURE,529.32
Adult and Culture,2011-12-07,AZURE,769.92
Adult and Culture,2011-12-07,AZURE,1422.07
Adult and Culture,2011-12-07,AZURE,920.28
Adult and Culture,2011-12-14,AZURE,2021.04
Adult and Culture,2011-12-14,AZURE,1251.12
Adult and Culture,2011-12-14,AZURE,3404.52
Adult and Culture,2011-12-14,AZURE,866.16
Adult and Culture,2011-12-16,CAMPHILL VILLAGE TRUST,1410.76
Adult and Culture,2011-12-16,CAMPHILL VILLAGE TRUST,1410.76
Adult and Culture,2011-12-14,CARE UK HOMECARE,2810.10
Adult and Culture,2011-12-06,CARE UK LEARNING DISABILITIES SERVICES,1556.24
Adult and Culture,2011-12-07,CARE UK LEARNING DISABILITIES SERVICES,586.96
Adult and Culture,2011-12-07,CARE UK LEARNING DISABILITIES SERVICES,1122.88
Adult and Culture,2011-12-14,CARE UK LEARNING DISABILITIES SERVICES,1556.24
Adult and Culture,2011-12-12,CARELINE HOMECARE LTD,586.00
Adult and Culture,2011-12-12,CARELINE HOMECARE LTD,674.48
Adult and Culture,2011-12-12,CARELINE HOMECARE LTD,640.52
Adult and Culture,2011-12-12,CARELINE HOMECARE LTD,561.28
Adult and Culture,2011-12-16,CARELINE HOMECARE LTD,662.04
Adult and Culture,2011-12-14,CARELINE HOMECARE LTD,1890.76
Adult and Culture,2011-12-14,CARELINE HOMECARE LTD,2398.84
Adult and Culture,2011-12-14,CARELINE HOMECARE LTD,674.48
