Organisational Unit,Payment Date,Benificiary Name,Amount
Chief Executive's,2015-08-22,CARNEIGE BUILDING NEWCASTLE,12500.00
Adult and Culture,2015-08-23,HAWKSIDE MANAGEMENT,600.00
Adult and Culture,2015-08-26,ORCHARD CARE HOME .COM (3)LTD,2170.88
Environment & Regeneration,2015-08-11,THOMPSONS OF PRUDHOE LTD,414.12
Environment & Regeneration,2015-08-11,THOMPSONS OF PRUDHOE LTD,283.91
Environment & Regeneration,2015-08-11,THOMPSONS OF PRUDHOE LTD,287.68
Environment & Regeneration,2015-08-11,THOMPSONS OF PRUDHOE LTD,411.18
Environment & Regeneration,2015-08-13,THOMPSONS OF PRUDHOE LTD,825.30
Environment & Regeneration,2015-08-11,THOMPSONS OF PRUDHOE LTD,573.04
Environment & Regeneration,2015-08-05,THOMPSONS OF PRUDHOE LTD,416.00
Environment & Regeneration,2015-08-25,THOMPSONS OF PRUDHOE LTD,3923.12
Environment & Regeneration,2015-08-27,THOMPSONS OF PRUDHOE LTD,7321.09
Environment & Regeneration,2015-08-27,THOMPSONS OF PRUDHOE LTD,3516.00
Environment & Regeneration,2015-08-27,THOMPSONS OF PRUDHOE LTD,8759.18
Environment & Regeneration,2015-08-27,THOMPSONS OF PRUDHOE LTD,3748.90
Environment & Regeneration,2015-08-27,THOMPSONS OF PRUDHOE LTD,1206.08
Environment & Regeneration,2015-08-18,THOMPSONS OF PRUDHOE LTD,4355.00
Environment & Regeneration,2015-08-18,THOMPSONS OF PRUDHOE LTD,1404.00
Environment & Regeneration,2015-08-18,THOMPSONS OF PRUDHOE LTD,884.00
Environment & Regeneration,2015-08-18,THOMPSONS OF PRUDHOE LTD,639.99
Environment & Regeneration,2015-08-18,THOMPSONS OF PRUDHOE LTD,4300.92
Environment & Regeneration,2015-08-18,THOMPSONS OF PRUDHOE LTD,3531.36
Environment & Regeneration,2015-08-18,THOMPSONS OF PRUDHOE LTD,1099.84
Environment & Regeneration,2015-08-18,THOMPSONS OF PRUDHOE LTD,417.06
Environment & Regeneration,2015-08-18,THOMPSONS OF PRUDHOE LTD,609.28
Environment & Regeneration,2015-08-21,THOMPSONS OF PRUDHOE LTD,416.00
Environment & Regeneration,2015-08-28,THOMPSONS OF PRUDHOE LTD,6081.55
Adult and Culture,2015-08-26,14 EIGHTH ROW,9800.00
Adult and Culture,2015-08-26,18 SEA VIEW VILLAS,1540.00
Environment & Regeneration,2015-08-15,3SIXTY BICYCLE DISPLAYS,1200.00
Environment & Regeneration,2015-08-20,A & C WEBER UK,938.00
Environment & Regeneration,2015-08-05,A&J KEITH LTD,470.00
Environment & Regeneration,2015-08-27,A&J KEITH LTD,62909.39
Environment & Regeneration,2015-08-17,A&J KEITH LTD,16807.60
Environment & Regeneration,2015-08-11,A&J KEITH LTD,190327.43
Environment & Regeneration,2015-08-12,A&J KEITH LTD,3384.00
Children's Services,2015-08-21,A&S LOCKSMITHS,400.50
Environment & Regeneration,2015-08-07,A&S LOCKSMITHS,699.90
Chief Executive's,2015-08-26,AA GLOBAL LANGUAGES SERVICES LTD,275.00
Environment & Regeneration,2015-08-12,AAA CHEMICALS LTD,484.00
Environment & Regeneration,2015-08-19,AAA CHEMICALS LTD,726.00
Environment & Regeneration,2015-08-04,AAA CHEMICALS LTD,574.50
Adult and Culture,2015-08-11,ABBEYFIELD CASTLE FARM,-1617.08
Adult and Culture,2015-08-11,ABBEYFIELD CASTLE FARM,5907.84
Adult and Culture,2015-08-11,ABBEYFIELD THE GROVE,-677.24
Adult and Culture,2015-08-11,ABBEYFIELD THE GROVE,1969.28
Adult and Culture,2015-08-11,ABBEYMOOR,-397.20
Adult and Culture,2015-08-11,ABBEYMOOR,2010.56
Adult and Culture,2015-08-11,ABBEYMOOR,4000.00
Adult and Culture,2015-08-26,ABC AWARDS,320.00
Adult and Culture,2015-08-11,ABIGAIL HOUSE,1288.72
Adult and Culture,2015-08-11,ABIGAIL HOUSE,-1673.47
Adult and Culture,2015-08-20,ABIGAIL HOUSE,-3498.76
Adult and Culture,2015-08-11,ABIGAIL HOUSE,9387.00
Adult and Culture,2015-08-20,ABIGAIL HOUSE,13012.29
Environment & Regeneration,2015-08-19,ABLE 2 OCCUPATIONAL THERAPY SERVICES LTD,537.20
Adult and Culture,2015-08-06,ABSOLUTE QUALITY CARE,2394.25
Adult and Culture,2015-08-06,ABSOLUTE QUALITY CARE,330.82
Adult and Culture,2015-08-04,ABSOLUTE QUALITY CARE,378.08
Adult and Culture,2015-08-06,ABSOLUTE QUALITY CARE,722.80
Adult and Culture,2015-08-06,ABSOLUTE QUALITY CARE,1104.88
Adult and Culture,2015-08-06,ABSOLUTE QUALITY CARE,372.52
Adult and Culture,2015-08-04,ABSOLUTE QUALITY CARE,442.39
Adult and Culture,2015-08-04,ABSOLUTE QUALITY CARE,951.60
Adult and Culture,2015-08-04,ABSOLUTE QUALITY CARE,1523.99
Adult and Culture,2015-08-04,ABSOLUTE QUALITY CARE,1040.05
Adult and Culture,2015-08-04,ABSOLUTE QUALITY CARE,581.02
Chief Executive's,2015-08-04,ACAS,3340.00
Adult and Culture,2015-08-11,ACCOUNTABILITY,2782.00
Environment & Regeneration,2015-08-03,ACP,1881.06
Environment & Regeneration,2015-08-28,ACP,423.00
Children's Services,2015-08-11,ACROL AIR CONDITIONING CO LTD,3914.00
Environment & Regeneration,2015-08-07,ACROL AIR CONDITIONING CO LTD,293.10
Environment & Regeneration,2015-08-25,ACROL AIR CONDITIONING CO LTD,2577.00
Environment & Regeneration,2015-08-25,ACROL AIR CONDITIONING CO LTD,2865.00
Environment & Regeneration,2015-08-20,ACROL AIR CONDITIONING CO LTD,545.64
Environment & Regeneration,2015-08-07,ACROL AIR CONDITIONING CO LTD,279.60
Environment & Regeneration,2015-08-21,ACROL AIR CONDITIONING CO LTD,478.50
Children's Services,2015-08-27,ACTION FOR CHILDREN,12500.00
Children's Services,2015-08-04,ACTION FOR CHILDREN,7896.00
Children's Services,2015-08-24,ACTION FOR CHILDREN,7896.00
Adult and Culture,2015-08-26,ACTIVE HORIZONS LTD,-495.80
Adult and Culture,2015-08-26,ACTIVE HORIZONS LTD,1748.00
Adult and Culture,2015-08-26,ACTIVE HORIZONS LTD,1748.00
Chief Executive's,2015-08-28,ADARE LTD,29560.81
Chief Executive's,2015-08-28,ADARE LTD,7643.57
Chief Executive's,2015-08-24,ADARE LTD,8305.96
Adult and Culture,2015-08-10,ADCS,2351.25
Adult and Culture,2015-08-03,ADELPHI HOTEL,270.00
Chief Executive's,2015-08-05,ADT FIRE & SECURITY,538.86
Children's Services,2015-08-25,ADT FIRE & SECURITY,465.64
Children's Services,2015-08-28,ADT FIRE & SECURITY,261.71
Environment & Regeneration,2015-08-12,ADT FIRE & SECURITY,1309.43
Environment & Regeneration,2015-08-12,ADT FIRE & SECURITY,1405.16
Environment & Regeneration,2015-08-12,ADT FIRE & SECURITY,1508.53
Environment & Regeneration,2015-08-12,ADT FIRE & SECURITY,327.01
Environment & Regeneration,2015-08-12,ADT FIRE & SECURITY,1530.45
Environment & Regeneration,2015-08-13,ADT FIRE & SECURITY,289.19
Environment & Regeneration,2015-08-27,ADT FIRE & SECURITY,416.00
Chief Executive's,2015-08-12,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,3825.00
Children's Services,2015-08-04,ADVANCED CHILDCARE GROUP,12540.00
Children's Services,2015-08-04,ADVANCED CHILDCARE GROUP,12540.00
Children's Services,2015-08-04,ADVANCED CHILDCARE GROUP,12000.00
Children's Services,2015-08-24,ADVANCED CHILDCARE GROUP,12540.00
Children's Services,2015-08-24,ADVANCED CHILDCARE GROUP,12540.00
Children's Services,2015-08-24,ADVANCED CHILDCARE GROUP,12000.00
HRA,2015-08-18,ADVANCED CLEANING & MAINTENANCE LTD,504.00
Chief Executive's,2015-08-27,ADVANCED LEGAL LTD,1050.00
Chief Executive's,2015-08-19,ADVANCED LEGAL LTD,1050.00
Environment & Regeneration,2015-08-25,ADVANCED WATER TECHNOLOGIES,1365.00
Environment & Regeneration,2015-08-25,ADVANCED WATER TECHNOLOGIES,1365.00
Environment & Regeneration,2015-08-28,ADVANCED WATER TECHNOLOGIES,1365.00
HRA,2015-08-13,ADVANTAGE UTILTITIES LTD,800.00
Chief Executive's,2015-08-03,ADVANTEX NETWORK SOLUTIONS LTD,2424.38
Chief Executive's,2015-08-27,ADVANTEX NETWORK SOLUTIONS LTD,29092.56
Chief Executive's,2015-08-22,ADVOCACY AFTER FATAL DOMESTIC ABUSE AAFD,4999.00
Environment & Regeneration,2015-08-10,AEBI SCHMIDT UK LTD,433.95
Environment & Regeneration,2015-08-28,AEBI SCHMIDT UK LTD,916.12
Environment & Regeneration,2015-08-21,AEBI SCHMIDT UK LTD,557.26
Environment & Regeneration,2015-08-26,AEBI SCHMIDT UK LTD,228532.00
Environment & Regeneration,2015-08-17,AEBI SCHMIDT UK LTD,171399.00
Environment & Regeneration,2015-08-21,AEBI SCHMIDT UK LTD,171399.00
Environment & Regeneration,2015-08-17,AEBI SCHMIDT UK LTD,690.00
Environment & Regeneration,2015-08-21,AEBI SCHMIDT UK LTD,690.00
Environment & Regeneration,2015-08-20,AECOM,21957.75
Environment & Regeneration,2015-08-13,AECOM,9474.73
Environment & Regeneration,2015-08-19,AECOM,4914.44
Chief Executive's,2015-08-11,AERO NETWORKS LTD,1865.10
HRA,2015-08-04,AEROVISION LTD,550.00
Environment & Regeneration,2015-08-05,AGD SYSTEMS LTD,30.00
Environment & Regeneration,2015-08-05,AGD SYSTEMS LTD,7360.00
Environment & Regeneration,2015-08-21,AGD SYSTEMS LTD,1650.00
Environment & Regeneration,2015-08-26,AGD SYSTEMS LTD,7720.00
Environment & Regeneration,2015-08-26,AGD SYSTEMS LTD,8700.00
Adult and Culture,2015-08-06,AGE UK NEWCASTLE,18852.96
Adult and Culture,2015-08-06,AGE UK NEWCASTLE,13029.80
Adult and Culture,2015-08-06,AGE UK NEWCASTLE,456.40
Adult and Culture,2015-08-06,AGE UK NEWCASTLE,1369.20
Adult and Culture,2015-08-06,AGE UK NEWCASTLE,1665.88
Adult and Culture,2015-08-06,AGE UK NEWCASTLE,1780.08
Adult and Culture,2015-08-06,AGE UK NEWCASTLE,7256.76
Adult and Culture,2015-08-06,AGE UK NEWCASTLE,7005.76
Adult and Culture,2015-08-06,AGE UK NEWCASTLE,5998.06
Adult and Culture,2015-08-06,AGE UK NEWCASTLE,1118.38
Adult and Culture,2015-08-06,AGE UK NEWCASTLE,2076.80
Adult and Culture,2015-08-06,AGE UK NEWCASTLE,7811.60
Chief Executive's,2015-08-09,AGE UK NEWCASTLE,11619.00
Chief Executive's,2015-08-07,AGE UK NEWCASTLE,25000.00
Chief Executive's,2015-08-07,AGE UK NEWCASTLE,25000.00
Chief Executive's,2015-08-20,AGRIPA SOLUTIONS LTD,11560.00
