Payment Date,Benificiary Name,Amount
2012-09-25,PITNEY BOWES FINANCE PLC,1036.08
2012-09-17,Redacted Personal Data,1800.00
2012-09-28,ALBANY OFFICE FURNITURE SOLUTIONS,12617.50
2012-09-06,BUNZL CLEANING & HYGIENE SUPPLIES,619.40
2012-09-18,KAFFEL & NEWTON,3060.80
2012-09-18,KAFFEL & NEWTON,4125.00
2012-09-21,N POWER NORTHERN LTD,2236.32
2012-09-17,N POWER NORTHERN LTD,2178.93
2012-09-20,EYRE & ELLISTON LTD T/A EGS,607.50
2012-09-21,LTC HEALTHCARE,1620.00
2012-09-04,NALESTAR LTD,1491.00
2012-09-26,NEOPOST FINANCE LTD,536.05
2012-09-24,PREMIER HEALTHCARE & HYGIENE,444.00
2012-09-18,CEDAR CROFT DEVELOPMENTS,577.20
2012-09-06,N POWER NORTHERN LTD,421.94
2012-09-27,ON-PROPERTY,5750.00
2012-09-24,RIJO 42 LTD,3000.00
2012-09-27,SUPPLIES TEAM LTD,3000.00
2012-09-14,NORTHUMBRIA PROBATION BOARD,8102.48
2012-09-18,LOCAL GOVERNMENT OMBUDSMAN,1025.00
2012-09-21,GVA,9282.66
2012-09-21,GVA,6053.62
2012-09-19,N POWER NORTHERN LTD,925.40
2012-09-13,AGE UK NEWCASTLE,6292.62
2012-09-21,AGE UK NEWCASTLE,1780.00
2012-09-14,AGE UK NEWCASTLE,1369.20
2012-09-14,AGE UK NEWCASTLE,1460.48
2012-09-14,AGE UK NEWCASTLE,502.04
2012-09-24,AGE UK NEWCASTLE,6846.00
2012-09-24,AGE UK NEWCASTLE,1780.00
2012-09-21,ALLIED HEALTHCARE GROUP LTD,1841.12
2012-09-14,ALLIED HEALTHCARE GROUP LTD,2482.56
2012-09-25,AZURE,1010.52
2012-09-25,AZURE,577.44
2012-09-25,AZURE,553.38
2012-09-19,AZURE,529.32
2012-09-19,AZURE,1070.67
2012-09-19,AZURE,4509.96
2012-09-19,AZURE,1443.60
2012-09-19,AZURE,818.04
2012-09-19,AZURE,1227.06
2012-09-24,AZURE,1016.54
2012-09-24,AZURE,577.44
2012-09-24,AZURE,529.32
2012-09-24,AZURE,986.40
2012-09-24,AZURE,1130.82
2012-09-24,AZURE,793.98
2012-09-24,AZURE,1587.96
2012-09-24,AZURE,649.62
2012-09-21,CARE UK HOMECARE,1492.26
2012-09-21,CARE UK HOMECARE,1075.59
2012-09-21,CARE UK HOMECARE,1090.13
2012-09-14,CARE UK LEARNING DISABILITIES SERVICES,1556.24
2012-09-14,CARE UK LEARNING DISABILITIES SERVICES,1556.24
2012-09-14,CARE UK LEARNING DISABILITIES SERVICES,1122.88
2012-09-14,CARE UK LEARNING DISABILITIES SERVICES,1914.00
2012-09-21,CAREWATCH (NEWCASTLE UPON TYNE),998.07
2012-09-14,CAREWATCH (NEWCASTLE UPON TYNE),532.95
2012-09-14,CAREWATCH (NEWCASTLE UPON TYNE),650.90
2012-09-14,CAREWATCH (NEWCASTLE UPON TYNE),498.08
2012-09-14,CAREWATCH (NEWCASTLE UPON TYNE),232.06
2012-09-14,CAREWATCH (NEWCASTLE UPON TYNE),2546.88
2012-09-14,CAREWATCH (NEWCASTLE UPON TYNE),1698.36
2012-09-14,CAREWATCH (NEWCASTLE UPON TYNE),1698.36
2012-09-13,COQUET TRUST,818.04
2012-09-13,COQUET TRUST,1025.56
2012-09-13,COQUET TRUST,1154.88
2012-09-13,GUARDIAN HOMECARE & NURSING (NCLE) LTD,7273.76
2012-09-13,GUARDIAN HOMECARE & NURSING (NCLE) LTD,7326.34
2012-09-13,GUARDIAN HOMECARE & NURSING (NCLE) LTD,7725.32
2012-09-13,GUARDIAN HOMECARE & NURSING (NCLE) LTD,3137.11
2012-09-13,GUARDIAN HOMECARE & NURSING (NCLE) LTD,3014.78
2012-09-13,GUARDIAN HOMECARE & NURSING (NCLE) LTD,580.96
2012-09-13,GUARDIAN HOMECARE & NURSING (NCLE) LTD,2771.01
2012-09-19,LIFEWAYS COMMUNITY CARE,6545.00
2012-09-19,LIFEWAYS COMMUNITY CARE,11543.00
2012-09-14,LIFEWAYS COMMUNITY CARE,1020.00
2012-09-14,LIFEWAYS COMMUNITY CARE,510.00
2012-09-13,LS CARE LTD,674.39
2012-09-13,LS CARE LTD,2620.08
2012-09-13,LS CARE LTD,2620.08
2012-09-13,LS CARE LTD,2620.08
2012-09-13,LS CARE LTD,674.39
2012-09-14,LS CARE LTD,690.09
2012-09-13,MOMENTUM SKILLS,964.40
2012-09-14,MOMENTUM SKILLS,3125.60
2012-09-14,MOMENTUM SKILLS,1908.07
2012-09-14,MOMENTUM SKILLS,1413.60
2012-09-14,MOMENTUM SKILLS,836.40
2012-09-14,MOMENTUM SKILLS,924.55
2012-09-14,MOMENTUM SKILLS,2182.90
2012-09-14,MOMENTUM SKILLS,863.14
2012-09-13,NEURO PARTNERS LTD,520.00
2012-09-13,NEURO PARTNERS LTD,572.00
2012-09-11,NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,1114.06
2012-09-19,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),3058.25
2012-09-14,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),3058.25
2012-09-14,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),716.56
2012-09-24,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),3058.25
2012-09-21,NORWOOD RAVENSWOOD SERVICES LTD,1455.04
2012-09-14,PHOENIX HOUSE,2447.18
2012-09-14,PHOENIX HOUSE,575.71
2012-09-07,PHOENIX HOUSE,575.71
2012-09-13,POSITIVE LIFE CHOICES(F),530.41
2012-09-13,POSITIVE LIFE CHOICES(F),1502.90
2012-09-13,POSITIVE LIFE CHOICES(F),501.30
2012-09-21,REAL LIFE OPTIONS,9698.48
2012-09-21,SELF UNLIMITED,12398.73
2012-09-21,ST ANTHONYS OF PADUA CARE SERVICES,860.00
2012-09-19,N POWER NORTHERN LTD,855.19
2012-09-25,DJ MINIBUSES,435.00
2012-09-17,FIVE STAR SERVICES LTD,515.00
2012-09-17,LA TAXIS,588.00
2012-09-17,N POWER NORTHERN LTD,1289.70
2012-09-10,D R SUMMERS PROPERTY MAINTENANCE,600.00
2012-09-04,SERVICE DIRECT,7174.71
2012-09-04,NEWCASTLE AMBULANCE SERVICE,2203.20
2012-09-19,NEWCASTLE AMBULANCE SERVICE,2203.20
2012-09-17,NEWCASTLE AMBULANCE SERVICE,1846.08
2012-09-28,CIS PROPERTIES,3670.25
2012-09-28,CIS PROPERTIES,22500.00
2012-09-03,BALTIC FLOUR MILLS VISUAL ARTS TRUST,719.46
2012-09-21,BARE TOED CO,600.00
2012-09-18,BELLE TENTS,1030.00
2012-09-20,DIGITAL VOICE,4195.00
2012-09-07,INFINITE ARTS,1000.00
2012-09-19,THEATRE AURACARIA,900.00
2012-09-06,WORLDBEATERS MUSIC LLP,1200.00
2012-09-19,WUNDERBAR FESTIVAL,3000.00
2012-09-28,ESTEEM SYSTEMS PLC,896.00
2012-09-14,NFS HOSPITALITY,1630.12
2012-09-24,CBS OUTDOOR LTD,500.00
2012-09-24,CBS OUTDOOR LTD,500.00
2012-09-24,CBS OUTDOOR LTD,1692.00
2012-09-24,CBS OUTDOOR LTD,776.00
2012-09-10,THE BIG WORD,2.79
2012-09-10,THE BIG WORD,1405.92
2012-09-24,THE NATIONAL LEAFLET COMPANY,1051.68
2012-09-24,CBS OUTDOOR LTD,50.00
2012-09-24,CBS OUTDOOR LTD,50.00
2012-09-24,CBS OUTDOOR LTD,169.20
2012-09-24,CBS OUTDOOR LTD,77.60
2012-09-24,THE NATIONAL LEAFLET COMPANY,105.17
2012-09-21,CAPITA SYMONDS LTD,504.70
2012-09-14,ZURICH ASSURANCE LTD,3650.83
2012-09-05,NEWCASTLE THEATRE ROYAL TRUST LTD,100000.00
2012-09-17,NEWCASTLE THEATRE ROYAL TRUST LTD,150000.00
2012-09-12,GOSFORTH COMMUNITY EDUCATION,2694.40
2012-09-12,GOSFORTH COMMUNITY EDUCATION,82.20
2012-09-07,NEWCASTLE UNITED FOUNDATION,2794.00
2012-09-14,NORCARE LTD,3007.00
2012-09-28,BETTER EQUIPPED EDUCATIONAL SUPPLIES LTD,643.47
2012-09-18,CELCAT,4980.00
2012-09-07,GUROO LTD,973.80
2012-09-19,INTERACTIVE DEVELOPMENT LTD,151990.00
2012-09-03,NCFE,575.00
2012-09-03,NCFE,506.00
2012-09-26,NEOPOST FINANCE LTD,738.00
2012-09-18,OCN,1055.50
2012-09-18,THE COPYRIGHT LICENSING AGENCY LTD,3527.34
2012-09-04,THE NATIONAL LEAFLET COMPANY,4839.36
2012-09-18,TULLYS SEWING MACHINES,598.16
2012-09-20,ASKEWS LIBRARY SERVICES LTD,842.55
2012-09-20,ASKEWS LIBRARY SERVICES LTD,576.44
2012-09-12,ASKEWS LIBRARY SERVICES LTD,793.83
2012-09-12,ASKEWS LIBRARY SERVICES LTD,775.23
2012-09-05,ASKEWS LIBRARY SERVICES LTD,670.05
2012-09-28,ASKEWS LIBRARY SERVICES LTD,604.20
2012-09-07,ASKEWS LIBRARY SERVICES LTD,735.04
2012-09-14,BERTRAM LIBRARY SERVICES,437.46
2012-09-20,CENGAGE LEARNING SERVICES LTD,3285.00
2012-09-20,KEY NOTE LTD,7700.00
2012-09-28,OAKHILL PUBLISHING LTD,1030.08
2012-09-28,OAKHILL PUBLISHING LTD,653.39
2012-09-11,OCE FINANCE,1156.72
2012-09-21,COVER GOLD LTD,1820.00
2012-09-14,INTELLIDENT,1600.00
2012-09-05,KAJIMA NEWCASTLE LIBRARIES LTD,281506.50
2012-09-19,MCNIDDER AND GRACE LIMITED,2500.00
2012-09-26,NEOPOST FINANCE LTD,488.17
2012-09-14,NEOPOST-CREDIFON ACCOUNTS,1000.00
2012-09-28,NEW WRITING NORTH,1000.00
2012-09-07,Redacted Personal Data,630.00
2012-09-19,ROYAL MAIL GROUP PLC,750.00
2012-09-11,WRVS,1750.00
2012-09-14,FRANK HASLAM MILAN & CO LTD,3027.65
2012-09-14,FRANK HASLAM MILAN & CO LTD,221241.64
2012-09-14,ALULINE LTD,1384.50
2012-09-20,BAS,1318.00
2012-09-21,GROUP 4 TECHNOLOGY LTD,9020.64
2012-09-12,HUTCHINSON ENVIRONMENTAL SOLUTIONS,592.88
2012-09-14,JOHN DODDS LTD,2530.00
2012-09-07,KABLEFREE SYSTEMS LTD,1120.00
2012-09-14,KONE PLC,495.00
2012-09-14,PYEROY LTD,1980.00
2012-09-25,RENVAC SCAFFOLDING,3284.86
2012-09-21,RENVAC SCAFFOLDING,3284.86
2012-09-17,STONE TECHNICAL SERVICES LTD,735.00
2012-09-28,SWIFT FIRE & SECURITY,438.00
2012-09-19,THE PROTECTOR GROUP,1335.71
2012-09-14,THEATRESEARCH,1187.50
2012-09-03,TUKE & BELL LTD,904.00
2012-09-14,UNUSUAL RIGGING LTD,51288.00
2012-09-21,WS CONTROLS LTD,2135.60
2012-09-27,ELANDERS HINDSON LTD,1780.00
2012-09-12,ALBANY OFFICE FURNITURE SOLUTIONS,1415.20
2012-09-11,ALBANY OFFICE FURNITURE SOLUTIONS,1415.20
2012-09-06,AT HOME IN THE COMMUNITY LTD,1851.80
2012-09-14,CLARK PEARSON FUNERAL SERVICES,2052.00
2012-09-17,COQUET TRUST,1832.68
2012-09-17,COQUET TRUST,2529.32
2012-09-17,COQUET TRUST,1037.60
2012-09-17,COQUET TRUST,1037.60
2012-09-17,COQUET TRUST,769.92
2012-09-17,COQUET TRUST,749.36
2012-09-24,COQUET TRUST,769.92
2012-09-11,DEMENTIA CARE PARTNERSHIP,1767.55
2012-09-17,DIMENSIONS (UK) LTD,1126.04
2012-09-17,DIMENSIONS (UK) LTD,1126.04
2012-09-17,DIMENSIONS (UK) LTD,1126.04
2012-09-21,DOGGONE VACATION,706.15
2012-09-19,GUARDIAN HOMECARE & NURSING (NCLE) LTD,1809.93
2012-09-25,NCC CORPORATE APPOINTEESHIPS A/C,926.72
2012-09-13,NCC CORPORATE APPOINTEESHIPS A/C,173830.48
2012-09-11,NCC CORPORATE APPOINTEESHIPS A/C,282036.67
2012-09-19,NCC CORPORATE APPOINTEESHIPS A/C,3240.30
2012-09-06,NCC CORPORATE APPOINTEESHIPS A/C,180604.61
2012-09-24,NCC CORPORATE APPOINTEESHIPS A/C,31022.35
2012-09-18,NCC CORPORATE APPOINTEESHIPS A/C,195389.81
2012-09-17,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),1818.96
2012-09-17,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),1818.96
2012-09-17,R W BARRETT & SON,2637.08
2012-09-28,THE TREASURY SOLICITOR,2552.08
2012-09-14,TYNE & WEAR PENSION FUND,676.48
2012-09-26,I TO I TRAINING,3200.00
2012-09-05,BRITISH GAS BUSINESS,1351.76
2012-09-12,N POWER NORTHERN LTD,1592.85
2012-09-26,N POWER NORTHERN LTD,1563.65
2012-09-05,CAPABILITYS,568.62
2012-09-21,CREATIVE CONCEPTIONS LTD,950.00
2012-09-21,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,138894.75
2012-09-19,NORTH EAST THEATRE TRUST LTD,20500.00
2012-09-20,NORTH TYNESIDE PRIMARY CARE TRUST,47.00
2012-09-20,NORTH TYNESIDE PRIMARY CARE TRUST,47.00
