Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600024,71,201811,O2 (UK) LTD,9.35,2019-02-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600024,533,201811,O2 (UK) LTD,9.35,2019-02-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600024,581,201811,O2 (UK) LTD,9.35,2019-02-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600024,621,201811,O2 (UK) LTD,9.35,2019-02-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600025,1376,201811,O2 (UK) LTD,10,2019-02-25
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600025,1408,201811,O2 (UK) LTD,10,2019-02-25
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600025,1441,201811,O2 (UK) LTD,10,2019-02-25
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600025,1479,201811,O2 (UK) LTD,10,2019-02-25
Office of the Chief Executive,Supplies and Services,Comms & Computing,41243300,1,201811,CACI LTD,3898.51,2019-02-05
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600024,343,201811,O2 (UK) LTD,9.35,2019-02-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600024,407,201811,O2 (UK) LTD,9.35,2019-02-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600024,497,201811,O2 (UK) LTD,9.35,2019-02-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600024,1491,201811,O2 (UK) LTD,9.35,2019-02-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600024,2152,201811,O2 (UK) LTD,9.35,2019-02-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600024,2164,201811,O2 (UK) LTD,9.35,2019-02-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600024,2293,201811,O2 (UK) LTD,9.35,2019-02-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600024,2298,201811,O2 (UK) LTD,9.35,2019-02-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600025,232,201811,O2 (UK) LTD,10,2019-02-25
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600025,235,201811,O2 (UK) LTD,10,2019-02-25
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600025,281,201811,O2 (UK) LTD,10,2019-02-25
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600025,360,201811,O2 (UK) LTD,10,2019-02-25
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600025,817,201811,O2 (UK) LTD,10,2019-02-25
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600025,897,201811,O2 (UK) LTD,10,2019-02-25
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600025,1812,201811,O2 (UK) LTD,10,2019-02-25
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600025,1941,201811,O2 (UK) LTD,10,2019-02-25
Office of the Chief Executive,Supplies and Services,"Grants, Contribs & Subs",41245111,1,201811,REDACTED - Personal Information,1402.8,2019-02-27
Office of the Chief Executive,Employees,Indirect Employee Expenses,44027950,0,201811,GOSS INTERACTIVE LIMITED,15000,2019-02-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600024,198,201811,O2 (UK) LTD,9.35,2019-02-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600025,1057,201811,O2 (UK) LTD,10,2019-02-25
Office of the Chief Executive,Supplies and Services,"Licenses, Housing, Fees",44027069,0,201811,CAPITA BUSINESS SERVICES LTD T/A ORANGE BUS,35000,2019-02-20
Corporate Resources,Supplies and Services,Comms & Computing,60600024,84,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1511,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,41244240,1,201811,UNIT4 BUSINESS SOFTWARE LTD,52020.48,2019-02-19
Corporate Resources,Supplies and Services,Comms & Computing,60600024,465,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,480,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,482,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,501,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,503,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,504,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,508,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,826,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1472,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1760,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,2024,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,2322,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600025,20,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,541,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,560,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,828,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,856,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1302,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1306,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1334,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1336,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1341,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1342,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,2449,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,"Income: Other Grants, Reim & Contrib",Reimbursements & Contributions,147043302,1,201811,MAZARS LLP,1000,2019-02-12
Corporate Resources,Income: Internal Recharges,Internal Recharges (inc),148030347,2,201811,MARSH LTD,6175.79,2019-02-21
Corporate Resources,Supplies and Services,Comms & Computing,60600024,474,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,479,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,481,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,483,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,491,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,947,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1284,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1679,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600025,336,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1032,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1308,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1310,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1322,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1323,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1325,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,2443,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1025,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1516,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1882,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,2070,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,2072,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600025,614,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,711,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,715,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,716,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,983,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Employees,Indirect Employee Expenses,148030446,1,201811,TYNE & WEAR PENSION FUND,6975,2019-02-28
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1424,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1426,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1437,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1450,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1453,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1454,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1463,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600025,498,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,500,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,516,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,521,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,529,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,533,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,534,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,41243945,1,201811,QUICKTHINK CLOUD LIMITED,3038.8,2019-02-13
Corporate Resources,Supplies and Services,Comms & Computing,41243948,1,201811,QUICKTHINK CLOUD LIMITED,1321.61,2019-02-13
Corporate Resources,Supplies and Services,Comms & Computing,60600024,350,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600025,822,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,44026517,1,201811,CAPITA BUSINESS SERVICES LTD,12875,2019-02-18
Corporate Resources,Supplies and Services,Comms & Computing,41243276,1,201811,CRITIQOM,537.56,2019-02-01
Corporate Resources,Supplies and Services,Comms & Computing,41244979,1,201811,CRITIQOM,2943.45,2019-02-28
Corporate Resources,Supplies and Services,Comms & Computing,41244981,1,201811,CRITIQOM,2250.56,2019-02-28
Corporate Resources,Supplies and Services,Comms & Computing,41244983,1,201811,CRITIQOM,1096.98,2019-02-28
Corporate Resources,Supplies and Services,Comms & Computing,41244984,1,201811,CRITIQOM,684.99,2019-02-28
Corporate Resources,Supplies and Services,Comms & Computing,41244986,1,201811,CRITIQOM,792.84,2019-02-28
Corporate Resources,Supplies and Services,Comms & Computing,148030141,7,201811,ROYAL MAIL,180.02,2019-02-05
Corporate Resources,Supplies and Services,Comms & Computing,148030299,7,201811,ROYAL MAIL,190.87,2019-02-15
Corporate Resources,Supplies and Services,Comms & Computing,148030301,7,201811,ROYAL MAIL,218.53,2019-02-15
Corporate Resources,Supplies and Services,Comms & Computing,41243958,1,201811,VIRGIN MEDIA PAYMENTS LTD,835.92,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1904,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1918,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1929,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,1963,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600024,2169,201811,O2 (UK) LTD,9.35,2019-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1702,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1705,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1711,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1712,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Comms & Computing,60600025,1714,201811,O2 (UK) LTD,10,2019-02-25
Corporate Resources,Supplies and Services,Other Running Costs,148030283,1,201811,ROSSENDALES COLLECT LTD,25.59,2019-02-14
Corporate Resources,Supplies and Services,Other Running Costs,148030370,1,201811,ROSSENDALES COLLECT LTD,28.11,2019-02-22
Corporate Resources,Employees,Indirect Employee Expenses,148030203,1,201811,TYNE & WEAR PENSION FUND,62135,2019-02-08
Corporate Resources,Supplies and Services,Comms & Computing,60600024,657,201811,O2 (UK) LTD,4.21,2019-02-14
