Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200035188,1,202002,Barclaycard - Global Commercial Payments,12.00,2020-05-14
"Children, Adults and Families",Employees,Indirect Employee Expenses,200036106,1,202002,Barclaycard - Global Commercial Payments,22.50,2020-05-26
"Children, Adults and Families",Employees,Indirect Employee Expenses,200036176,1,202002,Barclaycard - Global Commercial Payments,292.50,2020-05-26
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200035947,1,202002,Barclaycard - Global Commercial Payments,35.97,2020-05-12
Schools,Employees,Indirect Employee Expenses,200035580,1,202002,Barclaycard - Global Commercial Payments,60.00,2020-05-20
Schools,Employees,Indirect Employee Expenses,200035720,1,202002,Barclaycard - Global Commercial Payments,35.00,2020-05-01
Schools,Employees,Indirect Employee Expenses,200036084,1,202002,Barclaycard - Global Commercial Payments,100.00,2020-05-26
Schools,Premises,Rep & Maint,200036313,1,202002,Barclaycard - Global Commercial Payments,13.98,2020-05-26
Public Health and Wellbeing,Premises,Rep & Maint,200036011,1,202002,Barclaycard - Global Commercial Payments,5.84,2020-05-19
Schools,Premises,Rep & Maint,200036080,1,202002,Barclaycard - Global Commercial Payments,3.64,2020-05-19
Schools,Premises,Rep & Maint,200035900,1,202002,Barclaycard - Global Commercial Payments,58.81,2020-05-04
Schools,Premises,Rep & Maint,200036077,1,202002,Barclaycard - Global Commercial Payments,20.79,2020-05-19
Schools,Premises,Ground Maint,200035808,1,202002,Barclaycard - Global Commercial Payments,10.36,2020-05-18
Schools,Premises,Ground Maint,200036076,1,202002,Barclaycard - Global Commercial Payments,11.65,2020-05-26
"Children, Adults and Families",Premises,Fixtures & Fittings,200036488,1,202002,Barclaycard - Global Commercial Payments,67.98,2020-05-26
"Children, Adults and Families",Premises,Fixtures & Fittings,200036489,1,202002,Barclaycard - Global Commercial Payments,74.79,2020-05-26
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200035963,1,202002,Barclaycard - Global Commercial Payments,617.50,2020-05-19
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200035964,1,202002,Barclaycard - Global Commercial Payments,617.50,2020-05-19
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200035965,1,202002,Barclaycard - Global Commercial Payments,167.50,2020-05-19
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200035966,1,202002,Barclaycard - Global Commercial Payments,617.50,2020-05-19
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200035967,1,202002,Barclaycard - Global Commercial Payments,267.50,2020-05-19
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200035968,1,202002,Barclaycard - Global Commercial Payments,267.50,2020-05-19
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200036053,1,202002,Barclaycard - Global Commercial Payments,267.50,2020-05-19
"Housing, Environment and Healthy Communities",Transport,Vehicles and Plant,200036054,1,202002,Barclaycard - Global Commercial Payments,267.50,2020-05-19
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200035858,1,202002,Barclaycard - Global Commercial Payments,112.50,2020-05-07
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200036075,1,202002,Barclaycard - Global Commercial Payments,265.33,2020-05-19
Schools,Supplies and Services,"Furn, Equip & Mats",200036188,1,202002,Barclaycard - Global Commercial Payments,63.00,2020-05-26
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200035727,1,202002,Barclaycard - Global Commercial Payments,105.98,2020-05-27
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200035827,1,202002,Barclaycard - Global Commercial Payments,30.00,2020-05-27
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200035997,1,202002,Barclaycard - Global Commercial Payments,5.42,2020-05-26
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200036239,1,202002,Barclaycard - Global Commercial Payments,27.50,2020-05-26
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200036333,1,202002,Barclaycard - Global Commercial Payments,113.04,2020-05-26
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200036335,1,202002,Barclaycard - Global Commercial Payments,8.75,2020-05-26
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200036438,1,202002,Barclaycard - Global Commercial Payments,37.49,2020-05-26
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200036490,1,202002,Barclaycard - Global Commercial Payments,34.17,2020-05-26
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200036515,1,202002,Barclaycard - Global Commercial Payments,155.75,2020-05-26
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200035884,1,202002,Barclaycard - Global Commercial Payments,79.99,2020-05-19
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200035885,1,202002,Barclaycard - Global Commercial Payments,119.92,2020-05-19
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200036105,1,202002,Barclaycard - Global Commercial Payments,10.00,2020-05-19
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200036186,1,202002,Barclaycard - Global Commercial Payments,124.40,2020-05-26
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200036351,1,202002,Barclaycard - Global Commercial Payments,44.02,2020-05-26
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200032971,1,202002,Barclaycard - Global Commercial Payments,13.00,2020-05-14
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200033290,1,202002,Barclaycard - Global Commercial Payments,10.00,2020-05-14
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200033293,1,202002,Barclaycard - Global Commercial Payments,17.00,2020-05-14
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200033295,1,202002,Barclaycard - Global Commercial Payments,54.00,2020-05-14
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200033297,1,202002,Barclaycard - Global Commercial Payments,45.00,2020-05-14
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200033351,1,202002,Barclaycard - Global Commercial Payments,12.00,2020-05-14
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200033352,1,202002,Barclaycard - Global Commercial Payments,12.10,2020-05-14
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200033812,1,202002,Barclaycard - Global Commercial Payments,14.79,2020-05-14
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200033814,1,202002,Barclaycard - Global Commercial Payments,10.48,2020-05-14
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200033975,1,202002,Barclaycard - Global Commercial Payments,4.98,2020-05-14
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200034039,1,202002,Barclaycard - Global Commercial Payments,14.34,2020-05-14
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200034661,1,202002,Barclaycard - Global Commercial Payments,23.60,2020-05-19
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200034752,1,202002,Barclaycard - Global Commercial Payments,69.99,2020-05-18
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200035179,1,202002,Barclaycard - Global Commercial Payments,3.98,2020-05-19
"Children, Adults and Families",Supplies and Services,"Furn, Equip & Mats",200035316,1,202002,Barclaycard - Global Commercial Payments,10.00,2020-05-19
