Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,326,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,383,201709,O2 (UK) LTD,12.52,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,426,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1918,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,303,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,404,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,423,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,425,201709,O2 (UK) LTD,11.5,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,631,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,664,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1360,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1583,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1727,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1789,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1864,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,630,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,669,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1392,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1635,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1745,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,1865,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600011,2025,201709,O2 (UK) LTD,10,2017-12-20,
Office of the Chief Executive,Supplies and Services,"Licenses, Housing, Fees",43976944,0,201709,N.E. REGIONAL EMPLOYERS ORGANISATION,1568.3,2017-12-04,
Office of the Chief Executive,Supplies and Services,"Licenses, Housing, Fees",43978416,0,201709,ANGHARD MEDIA,1054.64,2017-12-14,
Office of the Chief Executive,Supplies and Services,Comms & Computing,43976894,0,201709,VIRGIN MEDIA LTD,5191.02,2017-12-04,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,450,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,452,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,455,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,457,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,459,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,477,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,496,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,498,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,499,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,501,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,676,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,688,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,911,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1108,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1664,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1742,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1791,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1796,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1799,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1800,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1802,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1806,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1830,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1921,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1937,201709,O2 (UK) LTD,10,2017-12-05,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600010,1950,201709,O2 (UK) LTD,10,2017-12-05,
