Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
"Children, Adults and Families",Employees,Indirect Employee Expenses,200037417,1,202004,Barclaycard - Global Commercial Payments,50.00,2020-07-07
"Children, Adults and Families",Employees,Indirect Employee Expenses,200037977,1,202004,Barclaycard - Global Commercial Payments,170.71,2020-07-14
"Children, Adults and Families",Employees,Indirect Employee Expenses,200037978,1,202004,Barclaycard - Global Commercial Payments,199.35,2020-07-14
Schools,Employees,Indirect Employee Expenses,200036050,1,202004,Barclaycard - Global Commercial Payments,24.00,2020-07-07
Schools,Employees,Indirect Employee Expenses,200037519,1,202004,Barclaycard - Global Commercial Payments,16.67,2020-07-14
Schools,Employees,Indirect Employee Expenses,200037520,1,202004,Barclaycard - Global Commercial Payments,16.67,2020-07-14
Schools,Employees,Indirect Employee Expenses,200038030,1,202004,Barclaycard - Global Commercial Payments,16.67,2020-07-14
Schools,Employees,Indirect Employee Expenses,200036905,1,202004,Barclaycard - Global Commercial Payments,40.00,2020-07-07
Schools,Employees,Indirect Employee Expenses,200035600,1,202004,Barclaycard - Global Commercial Payments,58.33,2020-07-03
Schools,Employees,Indirect Employee Expenses,200036035,1,202004,Barclaycard - Global Commercial Payments,12.00,2020-07-07
Schools,Employees,Indirect Employee Expenses,200036036,1,202004,Barclaycard - Global Commercial Payments,12.00,2020-07-07
Schools,Employees,Indirect Employee Expenses,200036122,1,202004,Barclaycard - Global Commercial Payments,18.00,2020-07-07
Schools,Employees,Indirect Employee Expenses,200037173,1,202004,Barclaycard - Global Commercial Payments,50.00,2020-07-21
Schools,Employees,Indirect Employee Expenses,200037420,1,202004,Barclaycard - Global Commercial Payments,16.67,2020-07-07
Schools,Employees,Indirect Employee Expenses,200038102,1,202004,Barclaycard - Global Commercial Payments,149.99,2020-07-07
Schools,Employees,Indirect Employee Expenses,200037539,1,202004,Barclaycard - Global Commercial Payments,75.00,2020-07-07
Schools,Employees,Indirect Employee Expenses,200037865,1,202004,Barclaycard - Global Commercial Payments,20.00,2020-07-14
Schools,Premises,Rep & Maint,200037565,1,202004,Barclaycard - Global Commercial Payments,9.30,2020-07-14
Schools,Premises,Rep & Maint,200037949,1,202004,Barclaycard - Global Commercial Payments,72.12,2020-07-14
Schools,Premises,Rep & Maint,200036525,1,202004,Barclaycard - Global Commercial Payments,80.99,2020-07-07
Schools,Premises,Rep & Maint,200037867,1,202004,Barclaycard - Global Commercial Payments,219.72,2020-07-07
Public Health and Wellbeing,Premises,Rep & Maint,200037616,1,202004,Barclaycard - Global Commercial Payments,36.73,2020-07-28
Public Health and Wellbeing,Premises,Rep & Maint,200037497,1,202004,Barclaycard - Global Commercial Payments,14.55,2020-07-28
Public Health and Wellbeing,Premises,Rep & Maint,200037496,1,202004,Barclaycard - Global Commercial Payments,3.97,2020-07-07
Public Health and Wellbeing,Premises,Rep & Maint,200037776,1,202004,Barclaycard - Global Commercial Payments,14.16,2020-07-07
Public Health and Wellbeing,Premises,Rep & Maint,200037385,1,202004,Barclaycard - Global Commercial Payments,76.66,2020-07-14
Public Health and Wellbeing,Premises,Rep & Maint,200037445,1,202004,Barclaycard - Global Commercial Payments,2.49,2020-07-14
Public Health and Wellbeing,Premises,Rep & Maint,200037561,1,202004,Barclaycard - Global Commercial Payments,33.00,2020-07-14
Public Health and Wellbeing,Premises,Rep & Maint,200038070,1,202004,Barclaycard - Global Commercial Payments,7.14,2020-07-14
Public Health and Wellbeing,Premises,Rep & Maint,200038072,1,202004,Barclaycard - Global Commercial Payments,43.84,2020-07-14
Schools,Premises,Rep & Maint,200037790,1,202004,Barclaycard - Global Commercial Payments,52.45,2020-07-14
Schools,Premises,Rep & Maint,200038713,1,202004,Barclaycard - Global Commercial Payments,233.02,2020-07-28
Schools,Premises,Rep & Maint,200038714,1,202004,Barclaycard - Global Commercial Payments,158.88,2020-07-28
Schools,Premises,Rep & Maint,200038044,1,202004,Barclaycard - Global Commercial Payments,105.23,2020-07-07
Schools,Premises,Rep & Maint,200038045,1,202004,Barclaycard - Global Commercial Payments,61.20,2020-07-07
Schools,Premises,Rep & Maint,200037137,1,202004,Barclaycard - Global Commercial Payments,33.33,2020-07-07
Schools,Premises,Rep & Maint,200037430,1,202004,Barclaycard - Global Commercial Payments,7.49,2020-07-07
Schools,Premises,Rep & Maint,200037431,1,202004,Barclaycard - Global Commercial Payments,7.89,2020-07-07
Schools,Premises,Rep & Maint,200037432,1,202004,Barclaycard - Global Commercial Payments,58.33,2020-07-07
Schools,Premises,Rep & Maint,200037669,1,202004,Barclaycard - Global Commercial Payments,13.76,2020-07-07
Schools,Premises,Rep & Maint,200037395,1,202004,Barclaycard - Global Commercial Payments,28.60,2020-07-14
Schools,Premises,Rep & Maint,200037396,1,202004,Barclaycard - Global Commercial Payments,15.17,2020-07-14
Schools,Premises,Rep & Maint,200037080,1,202004,Barclaycard - Global Commercial Payments,166.36,2020-07-07
Schools,Premises,Rep & Maint,200037125,1,202004,Barclaycard - Global Commercial Payments,79.95,2020-07-14
Schools,Premises,Rep & Maint,200036601,1,202004,Barclaycard - Global Commercial Payments,29.00,2020-07-07
Schools,Premises,Rep & Maint,200038199,1,202004,Barclaycard - Global Commercial Payments,56.38,2020-07-28
Schools,Premises,Rep & Maint,200037100,1,202004,Barclaycard - Global Commercial Payments,134.85,2020-07-07
Schools,Premises,Rep & Maint,200037283,1,202004,Barclaycard - Global Commercial Payments,150.48,2020-07-07
Schools,Premises,Rep & Maint,200037897,1,202004,Barclaycard - Global Commercial Payments,15.12,2020-07-14
Schools,Premises,Rep & Maint,200038291,1,202004,Barclaycard - Global Commercial Payments,10.00,2020-07-21
Schools,Premises,Rep & Maint,200037775,1,202004,Barclaycard - Global Commercial Payments,32.45,2020-07-21
Schools,Premises,Rep & Maint,200038151,1,202004,Barclaycard - Global Commercial Payments,37.38,2020-07-21
Schools,Premises,Rep & Maint,200037708,1,202004,Barclaycard - Global Commercial Payments,21.65,2020-07-07
Schools,Premises,Rep & Maint,200037410,1,202004,Barclaycard - Global Commercial Payments,61.25,2020-07-07
Schools,Premises,Rep & Maint,200038964,1,202004,Barclaycard - Global Commercial Payments,20.00,2020-07-28
Schools,Premises,Rep & Maint,200038965,1,202004,Barclaycard - Global Commercial Payments,85.84,2020-07-28
Schools,Premises,Ground Maint,200037336,1,202004,Barclaycard - Global Commercial Payments,45.00,2020-07-07
Schools,Premises,Ground Maint,200037337,1,202004,Barclaycard - Global Commercial Payments,32.92,2020-07-14
Schools,Premises,Ground Maint,200036279,1,202004,Barclaycard - Global Commercial Payments,68.57,2020-07-07
Schools,Premises,Cleaning,200037465,1,202004,Barclaycard - Global Commercial Payments,20.82,2020-07-07
Schools,Premises,Cleaning,200037592,1,202004,Barclaycard - Global Commercial Payments,10.82,2020-07-07
"Children, Adults and Families",Premises,Fixtures & Fittings,200037210,1,202004,Barclaycard - Global Commercial Payments,43.37,2020-07-28
"Children, Adults and Families",Premises,Fixtures & Fittings,200037434,1,202004,Barclaycard - Global Commercial Payments,24.75,2020-07-28
Schools,Premises,Fixtures & Fittings,200038108,1,202004,Barclaycard - Global Commercial Payments,129.97,2020-07-07
Schools,Premises,Fixtures & Fittings,200038296,1,202004,Barclaycard - Global Commercial Payments,295.42,2020-07-28
Schools,Premises,Fixtures & Fittings,200037404,1,202004,Barclaycard - Global Commercial Payments,214.00,2020-07-14
Schools,Premises,Fixtures & Fittings,200037531,1,202004,Barclaycard - Global Commercial Payments,37.50,2020-07-07
Schools,Transport,Vehicles and Plant,200036215,1,202004,Barclaycard - Global Commercial Payments,17.20,2020-07-07
Schools,Transport,Vehicles and Plant,200036558,1,202004,Barclaycard - Global Commercial Payments,31.23,2020-07-07
