Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600019,1077,201807,O2 (UK) LTD,10,2018-10-02
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600019,1147,201807,O2 (UK) LTD,11.5,2018-10-02
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600019,1439,201807,O2 (UK) LTD,10,2018-10-02
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600019,1617,201807,O2 (UK) LTD,10,2018-10-02
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600020,442,201807,O2 (UK) LTD,10,2018-10-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600020,463,201807,O2 (UK) LTD,10,2018-10-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600020,545,201807,O2 (UK) LTD,10,2018-10-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600020,577,201807,O2 (UK) LTD,11.5,2018-10-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600021,51,201807,O2 (UK) LTD,10,2018-10-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600021,498,201807,O2 (UK) LTD,10,2018-10-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600021,573,201807,O2 (UK) LTD,10,2018-10-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600021,615,201807,O2 (UK) LTD,11.72,2018-10-16
Office of the Chief Executive,Supplies and Services,Comms & Computing,44014596,0,201807,DOTTED EYES LTD,1140,2018-10-30
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600019,1122,201807,O2 (UK) LTD,10,2018-10-02
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600019,1244,201807,O2 (UK) LTD,10,2018-10-02
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600019,1276,201807,O2 (UK) LTD,10,2018-10-02
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600019,3029,201807,O2 (UK) LTD,10,2018-10-02
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600019,3078,201807,O2 (UK) LTD,10,2018-10-02
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600019,3823,201807,O2 (UK) LTD,10,2018-10-02
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600019,3854,201807,O2 (UK) LTD,10,2018-10-02
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600019,4280,201807,O2 (UK) LTD,10,2018-10-02
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600020,360,201807,O2 (UK) LTD,10,2018-10-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600020,390,201807,O2 (UK) LTD,10,2018-10-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600020,1348,201807,O2 (UK) LTD,10,2018-10-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600020,1357,201807,O2 (UK) LTD,10,2018-10-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600020,1963,201807,O2 (UK) LTD,10,2018-10-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600020,2086,201807,O2 (UK) LTD,10,2018-10-08
