Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Supplies and Services,Other Running Costs,44067475,0,201911,CITIZENS ADVICE GATESHEAD,11218.09,2020-02-24
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001502,6,201911,CLICK TRAVEL LTD,116.65,2020-02-21
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001502,8,201911,CLICK TRAVEL LTD,24.00,2020-02-21
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001502,15,201911,CLICK TRAVEL LTD,24.00,2020-02-21
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001502,41,201911,CLICK TRAVEL LTD,34.50,2020-02-21
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001502,46,201911,CLICK TRAVEL LTD,116.65,2020-02-21
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001502,53,201911,CLICK TRAVEL LTD,34.50,2020-02-21
Office of the Chief Executive,Supplies and Services,Comms & Computing,44065593,0,201911,DELL COMPUTER CORPORATION LTD,5524.10,2020-02-03
Corporate Resources,Transport,Public Transport and Taxi Fares,300001481,9,201911,CLICK TRAVEL LTD,12.10,2020-02-10
Corporate Resources,Transport,Public Transport and Taxi Fares,300001481,14,201911,CLICK TRAVEL LTD,73.98,2020-02-10
Corporate Resources,Transport,Public Transport and Taxi Fares,300001481,33,201911,CLICK TRAVEL LTD,15.80,2020-02-10
Corporate Resources,Transport,Public Transport and Taxi Fares,300001481,34,201911,CLICK TRAVEL LTD,7.50,2020-02-10
Corporate Resources,Transport,Public Transport and Taxi Fares,300001512,16,201911,CLICK TRAVEL LTD,7.20,2020-02-28
Corporate Resources,Transport,Public Transport and Taxi Fares,300001512,29,201911,CLICK TRAVEL LTD,7.20,2020-02-28
Corporate Resources,Supplies and Services,"Printing, Stationery etc",41269992,1,201911,CIPFA BUSINESS LIMITED,6300.00,2020-02-03
Corporate Resources,Supplies and Services,"Grants, Contribs & Subs",41269993,1,201911,CIPFA BUSINESS LIMITED,4500.00,2020-02-03
Corporate Resources,Supplies and Services,Comms & Computing,41271518,1,201911,QUICKTHINK CLOUD LIMITED,3220.78,2020-02-21
Corporate Resources,Supplies and Services,Comms & Computing,41271519,1,201911,QUICKTHINK CLOUD LIMITED,1369.20,2020-02-19
Corporate Resources,Supplies and Services,Comms & Computing,44066856,0,201911,ZIAAS LIMITED,1499.00,2020-02-13
Corporate Resources,Supplies and Services,Comms & Computing,148034140,7,201911,ROYAL MAIL,170.46,2020-02-10
Corporate Resources,Supplies and Services,Comms & Computing,148034264,7,201911,ROYAL MAIL,452.89,2020-02-21
Corporate Resources,Supplies and Services,Comms & Computing,148034316,7,201911,ROYAL MAIL,156.75,2020-02-26
Corporate Resources,Supplies and Services,Other Running Costs,148034335,2,201911,ROSSENDALES COLLECT LTD,40.86,2020-02-27
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",44063377,0,201911,TOTAL ID,1269.95,2020-02-04
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",44066240,0,201911,TOTAL ID,756.90,2020-02-18
Corporate Resources,Supplies and Services,"Furn, Equip & Mats",44066564,0,201911,DIGITAL ID LIMITED,480.00,2020-02-18
Corporate Resources,Supplies and Services,Comms & Computing,148034264,9,201911,ROYAL MAIL,405.14,2020-02-21
Corporate Resources,Supplies and Services,Comms & Computing,148034140,1,201911,ROYAL MAIL,171.91,2020-02-10
Corporate Resources,Supplies and Services,Comms & Computing,148034140,2,201911,ROYAL MAIL,206.11,2020-02-10
Corporate Resources,Supplies and Services,Comms & Computing,148034264,1,201911,ROYAL MAIL,264.10,2020-02-21
Corporate Resources,Supplies and Services,Comms & Computing,148034264,2,201911,ROYAL MAIL,338.64,2020-02-21
Corporate Resources,Supplies and Services,Comms & Computing,148034316,1,201911,ROYAL MAIL,88.67,2020-02-26
Corporate Resources,Supplies and Services,Comms & Computing,148034316,2,201911,ROYAL MAIL,147.61,2020-02-26
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41270071,1,201911,TEAM NETSOL,10493.00,2020-02-04
Corporate Resources,Supplies and Services,Other Running Costs,147047459,1,201911,ROSSENDALES COLLECT LTD,580.42,2020-02-17
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41271345,1,201911,PREPAID FINANCIAL SERVICES LTD,3533.63,2020-02-14
Corporate Resources,Supplies and Services,Miscellaneous Supplies,41271345,2,201911,PREPAID FINANCIAL SERVICES LTD,2054.53,2020-02-14
Corporate Resources,Transport,Public Transport and Taxi Fares,300001481,0,201911,CLICK TRAVEL LTD,10.20,2020-02-10
Corporate Resources,Transport,Public Transport and Taxi Fares,300001481,5,201911,CLICK TRAVEL LTD,38.90,2020-02-10
Corporate Resources,Transport,Public Transport and Taxi Fares,300001481,31,201911,CLICK TRAVEL LTD,38.90,2020-02-10
Corporate Resources,Transport,Public Transport and Taxi Fares,300001481,32,201911,CLICK TRAVEL LTD,7.50,2020-02-10
Corporate Resources,Supplies and Services,Comms & Computing,41269381,1,201911,SAGE UK LTD,1854.00,2020-02-12
Corporate Resources,Supplies and Services,Comms & Computing,148034312,1,201911,MHR INTERNATIONAL UK LTD,19661.92,2020-02-26
Corporate Resources,Supplies and Services,Comms & Computing,148034315,1,201911,MHR INTERNATIONAL UK LTD,12368.13,2020-02-26
Corporate Resources,Supplies and Services,Comms & Computing,148034125,1,201911,MHR INTERNATIONAL UK LTD,500.00,2020-02-07
Corporate Resources,Supplies and Services,Comms & Computing,148034313,1,201911,MHR INTERNATIONAL UK LTD,1639.61,2020-02-26
Corporate Resources,Supplies and Services,Comms & Computing,148034314,1,201911,MHR INTERNATIONAL UK LTD,2307.58,2020-02-26
Corporate Resources,Supplies and Services,Comms & Computing,148034351,1,201911,MHR INTERNATIONAL UK LTD,500.00,2020-02-28
Corporate Resources,Supplies and Services,Comms & Computing,148034140,6,201911,ROYAL MAIL,85.92,2020-02-10
Corporate Resources,Supplies and Services,Comms & Computing,148034264,6,201911,ROYAL MAIL,113.79,2020-02-21
Corporate Resources,Supplies and Services,Comms & Computing,148034316,6,201911,ROYAL MAIL,141.21,2020-02-26
Corporate Resources,Transport,Public Transport and Taxi Fares,300001502,20,201911,CLICK TRAVEL LTD,15.60,2020-02-21
Corporate Resources,Transport,Public Transport and Taxi Fares,300001502,38,201911,CLICK TRAVEL LTD,15.60,2020-02-21
Corporate Resources,Supplies and Services,Comms & Computing,148034140,3,201911,ROYAL MAIL,187.83,2020-02-10
Corporate Resources,Supplies and Services,Comms & Computing,148034140,4,201911,ROYAL MAIL,312.59,2020-02-10
Corporate Resources,Supplies and Services,Comms & Computing,148034140,5,201911,ROYAL MAIL,27.88,2020-02-10
Corporate Resources,Supplies and Services,Comms & Computing,148034264,3,201911,ROYAL MAIL,339.54,2020-02-21
Corporate Resources,Supplies and Services,Comms & Computing,148034264,4,201911,ROYAL MAIL,428.67,2020-02-21
Corporate Resources,Supplies and Services,Comms & Computing,148034264,5,201911,ROYAL MAIL,38.85,2020-02-21
Corporate Resources,Supplies and Services,Comms & Computing,148034316,3,201911,ROYAL MAIL,101.92,2020-02-26
Corporate Resources,Supplies and Services,Comms & Computing,148034316,4,201911,ROYAL MAIL,214.33,2020-02-26
Corporate Resources,Supplies and Services,Comms & Computing,148034316,5,201911,ROYAL MAIL,12.80,2020-02-26
Corporate Resources,Employees,Indirect Employee Expenses,44065697,0,201911,TES GLOBAL LIMITED,949.05,2020-02-04
Corporate Resources,Transport,Public Transport and Taxi Fares,300001481,4,201911,CLICK TRAVEL LTD,82.10,2020-02-10
Corporate Resources,Transport,Public Transport and Taxi Fares,300001502,36,201911,CLICK TRAVEL LTD,38.50,2020-02-21
Corporate Resources,Transport,Public Transport and Taxi Fares,300001502,47,201911,CLICK TRAVEL LTD,164.00,2020-02-21
Corporate Resources,Supplies and Services,Comms & Computing,148034140,8,201911,ROYAL MAIL,3.13,2020-02-10
Corporate Resources,Supplies and Services,Comms & Computing,148034264,8,201911,ROYAL MAIL,16.46,2020-02-21
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41270718,1,201911,COMPLETE BACKGROUND SCREENING LTD,471.00,2020-02-12
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41270721,1,201911,DISCLOSURE & BARRING SERVICE,5606.00,2020-02-12
Corporate Resources,Transport,Public Transport and Taxi Fares,300001502,14,201911,CLICK TRAVEL LTD,68.70,2020-02-21
Corporate Resources,Transport,Public Transport and Taxi Fares,300001502,22,201911,CLICK TRAVEL LTD,68.70,2020-02-21
Corporate Resources,Transport,Public Transport and Taxi Fares,300001512,8,201911,CLICK TRAVEL LTD,28.60,2020-02-28
Corporate Resources,Transport,Public Transport and Taxi Fares,300001512,11,201911,CLICK TRAVEL LTD,28.60,2020-02-28
Corporate Resources,Transport,Public Transport and Taxi Fares,300001512,17,201911,CLICK TRAVEL LTD,35.10,2020-02-28
Corporate Resources,Transport,Public Transport and Taxi Fares,300001512,18,201911,CLICK TRAVEL LTD,35.10,2020-02-28
Corporate Resources,Transport,Public Transport and Taxi Fares,300001481,24,201911,CLICK TRAVEL LTD,165.42,2020-02-10
Corporate Resources,Supplies and Services,Comms & Computing,44065947,0,201911,MILLGATE COMPUTER SYSTEMS LIMITED,520.00,2020-02-11
Corporate Resources,Supplies and Services,Comms & Computing,44068116,1,201911,VIRGIN MEDIA LTD,888.05,2020-02-27
Corporate Resources,Supplies and Services,Comms & Computing,44065734,0,201911,CETUS SOLUTIONS LIMITED,4000.00,2020-02-05
Corporate Resources,Supplies and Services,Comms & Computing,44067072,0,201911,MAIL MANAGER LIMITED,1856.40,2020-02-14
Corporate Resources,Supplies and Services,Comms & Computing,44067359,0,201911,TENEO,2813.56,2020-02-17
Corporate Resources,Supplies and Services,Comms & Computing,44068087,0,201911,SPECOPS SOFTWARE LTD,6058.80,2020-02-27
Corporate Resources,Supplies and Services,Comms & Computing,44064886,0,201911,DELL COMPUTER CORPORATION LTD,2099.04,2020-02-14
Corporate Resources,Supplies and Services,Comms & Computing,44065095,0,201911,JIGSAW SYSTEMS LTD T/A JIGSAW 24,2520.00,2020-02-14
Corporate Resources,Supplies and Services,Comms & Computing,44066554,0,201911,INSIGHT DIRECT UK LTD,475.00,2020-02-14
Corporate Resources,Supplies and Services,Comms & Computing,44067368,0,201911,DELL COMPUTER CORPORATION LTD,7551.08,2020-02-27
Corporate Resources,Supplies and Services,Comms & Computing,44066298,0,201911,DELL BANK INTERNATIONAL LTD,15935.62,2020-02-07
Corporate Resources,Supplies and Services,Comms & Computing,44066784,0,201911,DELL BANK INTERNATIONAL LTD,7986.49,2020-02-13
Corporate Resources,Supplies and Services,Comms & Computing,44066785,0,201911,DELL BANK INTERNATIONAL LTD,1006.03,2020-02-13
Corporate Resources,Supplies and Services,Comms & Computing,44064871,0,201911,PHOENIX SOFTWARE LTD,540.10,2020-02-14
Corporate Resources,Supplies and Services,Comms & Computing,44064869,0,201911,PHOENIX SOFTWARE LTD,1864.64,2020-02-14
Corporate Resources,Transport,Public Transport and Taxi Fares,300001512,22,201911,CLICK TRAVEL LTD,71.00,2020-02-28
Corporate Resources,Transport,Public Transport and Taxi Fares,300001512,30,201911,CLICK TRAVEL LTD,11.70,2020-02-28
Corporate Resources,Transport,Public Transport and Taxi Fares,300001512,33,201911,CLICK TRAVEL LTD,11.80,2020-02-28
Corporate Resources,Transport,Public Transport and Taxi Fares,300001512,42,201911,CLICK TRAVEL LTD,57.50,2020-02-28
Corporate Resources,Supplies and Services,Comms & Computing,41271343,1,201911,VIRGIN MEDIA PAYMENTS LTD,726.50,2020-02-14
Corporate Resources,Supplies and Services,Comms & Computing,60600033,0,201911,O2 (UK) LTD,1.50,2020-02-11
Corporate Resources,Supplies and Services,Comms & Computing,60600033,1,201911,O2 (UK) LTD,1.50,2020-02-11
Corporate Resources,Supplies and Services,Comms & Computing,60600033,2,201911,O2 (UK) LTD,1.50,2020-02-11
Corporate Resources,Supplies and Services,Comms & Computing,60600033,3,201911,O2 (UK) LTD,1.50,2020-02-11
Corporate Resources,Supplies and Services,Comms & Computing,60600033,5,201911,O2 (UK) LTD,1.50,2020-02-11
Corporate Resources,Supplies and Services,Comms & Computing,60600033,6,201911,O2 (UK) LTD,1.62,2020-02-11
Corporate Resources,Supplies and Services,Comms & Computing,60600033,7,201911,O2 (UK) LTD,0.07,2020-02-11
Corporate Resources,Supplies and Services,Comms & Computing,60600033,9,201911,O2 (UK) LTD,0.64,2020-02-11
Corporate Resources,Supplies and Services,Comms & Computing,60600033,11,201911,O2 (UK) LTD,1.50,2020-02-11
Corporate Resources,Supplies and Services,Comms & Computing,60600033,12,201911,O2 (UK) LTD,1.50,2020-02-11
Corporate Resources,Supplies and Services,Comms & Computing,60600033,13,201911,O2 (UK) LTD,1.50,2020-02-11
Corporate Resources,Supplies and Services,Comms & Computing,60600033,14,201911,O2 (UK) LTD,2.37,2020-02-11
Corporate Resources,Supplies and Services,Comms & Computing,60600033,15,201911,O2 (UK) LTD,0.04,2020-02-11
