Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Communities & Environment,Employees,Indirect Employee Expenses,200022816,1,202001,Barclaycard - Global Commercial Payments,200.00,2020-04-15
Communities & Environment,Employees,Indirect Employee Expenses,200022817,1,202001,Barclaycard - Global Commercial Payments,200.00,2020-04-15
Communities & Environment,Employees,Indirect Employee Expenses,200022818,1,202001,Barclaycard - Global Commercial Payments,200.00,2020-04-15
Communities & Environment,Employees,Indirect Employee Expenses,200030728,1,202001,Barclaycard - Global Commercial Payments,99.00,2020-04-15
Communities & Environment,Employees,Indirect Employee Expenses,200030863,1,202001,Barclaycard - Global Commercial Payments,98.00,2020-04-15
Communities & Environment,Employees,Indirect Employee Expenses,200033910,1,202001,Barclaycard - Global Commercial Payments,50.00,2020-04-14
Communities & Environment,Employees,Indirect Employee Expenses,200025284,1,202001,Barclaycard - Global Commercial Payments,1150.00,2020-04-14
"Care, Wellbeing & Learning",Employees,Indirect Employee Expenses,200033641,1,202001,Barclaycard - Global Commercial Payments,5.00,2020-04-03
"Care, Wellbeing & Learning",Employees,Indirect Employee Expenses,200034360,1,202001,Barclaycard - Global Commercial Payments,5.00,2020-04-03
Office of the Chief Executive,Employees,Indirect Employee Expenses,200034553,1,202001,Barclaycard - Global Commercial Payments,2644.92,2020-04-28
Schools,Employees,Indirect Employee Expenses,200033905,1,202001,Barclaycard - Global Commercial Payments,44.30,2020-04-06
Schools,Employees,Indirect Employee Expenses,200034626,1,202001,Barclaycard - Global Commercial Payments,75.00,2020-04-15
Schools,Employees,Indirect Employee Expenses,200035824,1,202001,Barclaycard - Global Commercial Payments,22.37,2020-04-28
Schools,Employees,Indirect Employee Expenses,200035877,1,202001,Barclaycard - Global Commercial Payments,24.00,2020-04-28
Schools,Employees,Indirect Employee Expenses,200035907,1,202001,Barclaycard - Global Commercial Payments,17.99,2020-04-28
Schools,Employees,Indirect Employee Expenses,200035908,1,202001,Barclaycard - Global Commercial Payments,9.09,2020-04-28
Schools,Employees,Indirect Employee Expenses,200035948,1,202001,Barclaycard - Global Commercial Payments,14.72,2020-04-28
Schools,Employees,Indirect Employee Expenses,200035748,1,202001,Barclaycard - Global Commercial Payments,102.00,2020-04-28
Schools,Employees,Indirect Employee Expenses,200035052,1,202001,Barclaycard - Global Commercial Payments,8.33,2020-04-01
Schools,Employees,Indirect Employee Expenses,200035194,1,202001,Barclaycard - Global Commercial Payments,61.50,2020-04-09
Schools,Employees,Indirect Employee Expenses,200033631,1,202001,Barclaycard - Global Commercial Payments,61.50,2020-04-28
Communities & Environment,Employees,Indirect Employee Expenses,200035039,1,202001,Barclaycard - Global Commercial Payments,250.00,2020-04-22
Communities & Environment,Employees,Indirect Employee Expenses,200035041,1,202001,Barclaycard - Global Commercial Payments,250.00,2020-04-09
"Care, Wellbeing & Learning",Employees,Indirect Employee Expenses,200033320,1,202001,Barclaycard - Global Commercial Payments,250.00,2020-04-06
"Care, Wellbeing & Learning",Employees,Indirect Employee Expenses,200033610,1,202001,Barclaycard - Global Commercial Payments,250.00,2020-04-10
Schools,Premises,Rep & Maint,200035071,1,202001,Barclaycard - Global Commercial Payments,7.47,2020-04-02
Schools,Premises,Rep & Maint,200035522,1,202001,Barclaycard - Global Commercial Payments,100.50,2020-04-06
Schools,Premises,Rep & Maint,200035591,1,202001,Barclaycard - Global Commercial Payments,46.66,2020-04-27
Schools,Premises,Rep & Maint,200034210,1,202001,Barclaycard - Global Commercial Payments,28.32,2020-04-24
Schools,Premises,Rep & Maint,200035306,1,202001,Barclaycard - Global Commercial Payments,55.77,2020-04-01
Schools,Premises,Rep & Maint,200035667,1,202001,Barclaycard - Global Commercial Payments,28.89,2020-04-21
Schools,Premises,Cleaning,200035588,1,202001,Barclaycard - Global Commercial Payments,233.33,2020-04-10
Schools,Premises,Cleaning,200026940,1,202001,Barclaycard - Global Commercial Payments,240.00,2020-04-01
Schools,Premises,Fixtures & Fittings,200035405,1,202001,Barclaycard - Global Commercial Payments,4.00,2020-04-02
Schools,Transport,Vehicles and Plant,200034908,1,202001,Barclaycard - Global Commercial Payments,50.00,2020-04-10
Schools,Transport,Vehicles and Plant,200034909,1,202001,Barclaycard - Global Commercial Payments,50.01,2020-04-10
Communities & Environment,Transport,Vehicles and Plant,200035308,1,202001,Barclaycard - Global Commercial Payments,722.50,2020-04-01
Communities & Environment,Transport,Vehicles and Plant,200035552,1,202001,Barclaycard - Global Commercial Payments,617.50,2020-04-14
Communities & Environment,Transport,Vehicles and Plant,200035553,1,202001,Barclaycard - Global Commercial Payments,167.50,2020-04-14
Communities & Environment,Transport,Vehicles and Plant,200035554,1,202001,Barclaycard - Global Commercial Payments,167.50,2020-04-14
Communities & Environment,Transport,Vehicles and Plant,200035555,1,202001,Barclaycard - Global Commercial Payments,167.50,2020-04-14
Communities & Environment,Transport,Vehicles and Plant,200035556,1,202001,Barclaycard - Global Commercial Payments,262.50,2020-04-14
Communities & Environment,Transport,Vehicles and Plant,200035935,1,202001,Barclaycard - Global Commercial Payments,617.50,2020-04-30
