Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Corporate Services & Governance,Employees,Indirect Employee Expenses,200038824,1,202005,Barclaycard - Global Commercial Payments,30.00,2020-08-11
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200035350,1,202005,Barclaycard - Global Commercial Payments,303.00,2020-08-04
"Children, Adults and Families",Employees,Indirect Employee Expenses,200038150,1,202005,Barclaycard - Global Commercial Payments,53.74,2020-08-18
"Children, Adults and Families",Employees,Indirect Employee Expenses,200038614,1,202005,Barclaycard - Global Commercial Payments,35.00,2020-08-18
"Children, Adults and Families",Employees,Indirect Employee Expenses,200039531,1,202005,Barclaycard - Global Commercial Payments,112.27,2020-08-18
"Children, Adults and Families",Employees,Indirect Employee Expenses,200035560,1,202005,Barclaycard - Global Commercial Payments,75.00,2020-08-17
"Children, Adults and Families",Employees,Indirect Employee Expenses,200035561,1,202005,Barclaycard - Global Commercial Payments,25.00,2020-08-17
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200035537,1,202005,Barclaycard - Global Commercial Payments,88.00,2020-08-04
"Economy, Innovation and Growth",Employees,Indirect Employee Expenses,200039212,1,202005,Barclaycard - Global Commercial Payments,150.00,2020-08-18
"Housing, Environment and Healthy Communities",Employees,Indirect Employee Expenses,200014778,1,202005,Barclaycard - Global Commercial Payments,170.00,2020-08-07
Resources and Digital,Employees,Indirect Employee Expenses,200039013,1,202005,Barclaycard - Global Commercial Payments,1327.32,2020-08-11
Resources and Digital,Employees,Indirect Employee Expenses,200028427,1,202005,Barclaycard - Global Commercial Payments,143.71,2020-08-04
Resources and Digital,Employees,Indirect Employee Expenses,200038895,1,202005,Barclaycard - Global Commercial Payments,292.22,2020-08-11
Schools,Employees,Indirect Employee Expenses,200038700,1,202005,Barclaycard - Global Commercial Payments,36.00,2020-08-04
Schools,Premises,Rep & Maint,200038235,1,202005,Barclaycard - Global Commercial Payments,172.67,2020-08-25
