Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated,
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001109,15,201902,CLICK TRAVEL LTD,79.9,2019-05-21,
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001111,7,201902,CLICK TRAVEL LTD,190.23,2019-05-21,
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001111,8,201902,CLICK TRAVEL LTD,14.3,2019-05-21,
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001111,14,201902,CLICK TRAVEL LTD,14.3,2019-05-21,
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001111,22,201902,CLICK TRAVEL LTD,213.75,2019-05-21,
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001111,23,201902,CLICK TRAVEL LTD,7.5,2019-05-21,
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300001111,40,201902,CLICK TRAVEL LTD,7.5,2019-05-21,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600028,842,201902,O2 (UK) LTD,10,2019-05-21,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600028,1246,201902,O2 (UK) LTD,10,2019-05-21,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600028,1320,201902,O2 (UK) LTD,10,2019-05-21,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600028,1365,201902,O2 (UK) LTD,10,2019-05-21,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600028,149,201902,O2 (UK) LTD,10,2019-05-21,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600028,424,201902,O2 (UK) LTD,10,2019-05-21,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600028,1149,201902,O2 (UK) LTD,10,2019-05-21,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600028,1230,201902,O2 (UK) LTD,10,2019-05-21,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600028,1570,201902,O2 (UK) LTD,10,2019-05-21,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600028,1592,201902,O2 (UK) LTD,10,2019-05-21,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600028,2219,201902,O2 (UK) LTD,10,2019-05-21,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600028,2370,201902,O2 (UK) LTD,10,2019-05-21,
Office of the Chief Executive,Supplies and Services,"Grants, Contribs & Subs",41250448,1,201902,ACCESS INTELLIGENCE MEDIA & COMMUNICATIONS LTD,1904,2019-05-14,
Office of the Chief Executive,Supplies and Services,Advertising,41250257,1,201902,STUDIO DMC,3000,2019-05-10,
Office of the Chief Executive,Supplies and Services,Advertising,41251518,1,201902,CINTEL GLOBAL LIMITED,1500,2019-05-23,
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600028,1037,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,803,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,1,201902,CLICK TRAVEL LTD,7.5,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001079,14,201902,CLICK TRAVEL LTD,11,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001080,21,201902,CLICK TRAVEL LTD,38.6,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001080,22,201902,CLICK TRAVEL LTD,73,2019-05-01,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001108,29,201902,CLICK TRAVEL LTD,86,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001108,43,201902,CLICK TRAVEL LTD,144,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001109,10,201902,CLICK TRAVEL LTD,77.1,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001109,67,201902,CLICK TRAVEL LTD,164,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001111,5,201902,CLICK TRAVEL LTD,80,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001111,9,201902,CLICK TRAVEL LTD,119.15,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001111,10,201902,CLICK TRAVEL LTD,160,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001111,13,201902,CLICK TRAVEL LTD,86,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001111,30,201902,CLICK TRAVEL LTD,18,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001111,31,201902,CLICK TRAVEL LTD,9.95,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001111,38,201902,CLICK TRAVEL LTD,86,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001111,48,201902,CLICK TRAVEL LTD,70.85,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,250,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,632,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,827,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,829,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,838,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1018,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1060,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1163,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1174,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1326,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1547,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1948,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41250851,1,201902,AON HEWITT LIMITED,1488,2019-05-15,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,103,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,825,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,828,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,832,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,835,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,841,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1562,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1821,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Third Party Payments,Third Party Payments,41250293,1,201902,NEWCASTLE CITY COUNCIL,23120,2019-05-08,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,358,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,587,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,591,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1012,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1243,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1879,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1422,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1472,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1474,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1482,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1485,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1486,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1488,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,41250815,1,201902,QUICKTHINK CLOUD LIMITED,1323.03,2019-05-14,
Corporate Resources,Supplies and Services,Comms & Computing,41250816,1,201902,QUICKTHINK CLOUD LIMITED,1323.02,2019-05-14,
Corporate Resources,Supplies and Services,Comms & Computing,41250817,1,201902,QUICKTHINK CLOUD LIMITED,3038.82,2019-05-14,
Corporate Resources,Supplies and Services,Comms & Computing,41250818,1,201902,QUICKTHINK CLOUD LIMITED,3038.82,2019-05-14,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,1228,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001108,36,201902,CLICK TRAVEL LTD,83.7,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001109,34,201902,CLICK TRAVEL LTD,38.6,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001109,35,201902,CLICK TRAVEL LTD,38.6,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,41250928,1,201902,VIRGIN MEDIA PAYMENTS LTD,746.54,2019-05-17,
Corporate Resources,Supplies and Services,Comms & Computing,41250426,1,201902,CRITIQOM,2645.19,2019-05-14,
Corporate Resources,Supplies and Services,Comms & Computing,41250427,1,201902,CRITIQOM,841.77,2019-05-14,
Corporate Resources,Supplies and Services,Comms & Computing,41250428,1,201902,CRITIQOM,689.5,2019-05-14,
Corporate Resources,Supplies and Services,Comms & Computing,41251730,1,201902,CRITIQOM,2430.48,2019-05-29,
Corporate Resources,Supplies and Services,Comms & Computing,41251731,1,201902,CRITIQOM,1437.84,2019-05-29,
Corporate Resources,Supplies and Services,Comms & Computing,41251734,1,201902,CRITIQOM,543.51,2019-05-29,
Corporate Resources,Supplies and Services,Comms & Computing,41251735,1,201902,CRITIQOM,1033.3,2019-05-29,
Corporate Resources,Supplies and Services,Comms & Computing,148031301,7,201902,ROYAL MAIL,147.9,2019-05-08,
Corporate Resources,Supplies and Services,Comms & Computing,148031334,7,201902,ROYAL MAIL,353.63,2019-05-10,
Corporate Resources,Supplies and Services,Comms & Computing,148031528,7,201902,ROYAL MAIL,330.63,2019-05-28,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2115,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2185,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2188,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2258,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2262,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41250928,2,201902,VIRGIN MEDIA PAYMENTS LTD,40,2019-05-17,
Corporate Resources,Supplies and Services,Comms & Computing,44033681,0,201902,CAPITA BUSINESS SERVICES LTD,13768,2019-05-14,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2254,201902,O2 (UK) LTD,4.5,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,2231,201902,O2 (UK) LTD,10,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001108,3,201902,CLICK TRAVEL LTD,115.9,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001108,12,201902,CLICK TRAVEL LTD,5.5,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001108,19,201902,CLICK TRAVEL LTD,115.9,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001108,27,201902,CLICK TRAVEL LTD,95.3,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001108,35,201902,CLICK TRAVEL LTD,37.6,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001108,41,201902,CLICK TRAVEL LTD,118.3,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001108,50,201902,CLICK TRAVEL LTD,95.3,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001108,54,201902,CLICK TRAVEL LTD,118.3,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001108,56,201902,CLICK TRAVEL LTD,37.6,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001111,35,201902,CLICK TRAVEL LTD,57.1,2019-05-21,
Corporate Resources,Transport,Public Transport and Taxi Fares,300001111,46,201902,CLICK TRAVEL LTD,115.9,2019-05-21,
Corporate Resources,Supplies and Services,Comms & Computing,41251478,1,201902,TROJAN CONSULTANTS LTD,3417,2019-05-24,
Corporate Resources,Supplies and Services,Comms & Computing,148031301,1,201902,ROYAL MAIL,355.79,2019-05-08,
Corporate Resources,Supplies and Services,Comms & Computing,148031301,2,201902,ROYAL MAIL,238.42,2019-05-08,
Corporate Resources,Supplies and Services,Comms & Computing,148031334,1,201902,ROYAL MAIL,507.32,2019-05-10,
Corporate Resources,Supplies and Services,Comms & Computing,148031334,2,201902,ROYAL MAIL,197.99,2019-05-10,
Corporate Resources,Supplies and Services,Comms & Computing,148031528,1,201902,ROYAL MAIL,269.18,2019-05-28,
Corporate Resources,Supplies and Services,Comms & Computing,148031528,2,201902,ROYAL MAIL,357.86,2019-05-28,
Corporate Resources,Supplies and Services,Comms & Computing,60600028,205,201902,O2 (UK) LTD,0.58,2019-05-21,
