Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Employees,Indirect Employee Expenses,43960243,0,201704,CROSSHANDS LTD T/A ACM TRAINING,1299.00,2017-07-19
Office of the Chief Executive,Employees,Indirect Employee Expenses,41201128,1,201704,NORTH MUSIC TRUST,1027.00,2017-07-17
Office of the Chief Executive,Employees,Indirect Employee Expenses,43959703,0,201704,SOLACE,595,2017-07-17
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,255,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,297,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,444,201704,O2 (UK) LTD,12.45,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,490,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600006,287,201704,O2 (UK) LTD,10,2017-07-28
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600006,311,201704,O2 (UK) LTD,10,2017-07-28
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600006,398,201704,O2 (UK) LTD,10,2017-07-28
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600006,442,201704,O2 (UK) LTD,13.84,2017-07-28
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000081,4,201704,CLICK TRAVEL LTD,16.3,2017-07-27
Office of the Chief Executive,Transport,Public Transport and Taxi Fares,300000081,5,201704,CLICK TRAVEL LTD,25.1,2017-07-27
Office of the Chief Executive,Supplies and Services,"Furn, Equip & Mats",43957269,0,201704,AIRFOTOS LTD,840,2017-07-05
Office of the Chief Executive,Supplies and Services,"Printing, Stationery etc",43957876,0,201704,ACORN WEB OFFSET LTD,7904.65,2017-07-05
Office of the Chief Executive,Supplies and Services,"Printing, Stationery etc",43958865,0,201704,RNIB,507.65,2017-07-11
Office of the Chief Executive,Supplies and Services,Comms & Computing,43958125,0,201704,NATIONAL LEAFLET COMPANY,5443.13,2017-07-10
Office of the Chief Executive,Supplies and Services,Comms & Computing,43960666,0,201704,DAVID CASEY DISPLAYS LTD,760,2017-07-24
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,137,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,996,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,1038,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,1694,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,1704,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,1827,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,1909,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600006,162,201704,O2 (UK) LTD,10,2017-07-28
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600006,503,201704,O2 (UK) LTD,10,2017-07-28
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600006,1203,201704,O2 (UK) LTD,10,2017-07-28
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600006,1717,201704,O2 (UK) LTD,10,2017-07-28
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600006,1719,201704,O2 (UK) LTD,10,2017-07-28
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600006,1754,201704,O2 (UK) LTD,10,2017-07-28
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600006,1907,201704,O2 (UK) LTD,10,2017-07-28
Office of the Chief Executive,Supplies and Services,"Licenses, Housing, Fees",41203606,1,201704,ANGHARD MEDIA,1054.64,2017-07-28
Office of the Chief Executive,Supplies and Services,"Licenses, Housing, Fees",43959027,0,201704,ANGHARD MEDIA,1054.64,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,98,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,100,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,107,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,114,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,199,201704,O2 (UK) LTD,18.55,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,201,201704,O2 (UK) LTD,18.55,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,202,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,203,201704,O2 (UK) LTD,18.55,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,238,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,333,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,363,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,478,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,738,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,998,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,1000,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,1451,201704,O2 (UK) LTD,10,2017-07-12
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600005,1509,201704,O2 (UK) LTD,10,2017-07-12
