Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,312,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,363,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,373,201706,O2 (UK) LTD,13.08,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,1834,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600008,316,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600008,444,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600008,461,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600008,464,201706,O2 (UK) LTD,11.5,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,43966920,0,201706,NATIONAL LEAFLET COMPANY,5443.13,2017-09-19
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,584,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,1039,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,1253,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,1289,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,1673,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,1761,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,1882,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600008,135,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600008,342,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600008,1172,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600008,1702,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600008,1729,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600008,1779,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600008,1945,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,"Licenses, Housing, Fees",43965172,0,201706,ANGHARD MEDIA,1054.64,2017-09-01
Office of the Chief Executive,Supplies and Services,Comms & Computing,43963838,0,201706,GOSS INTERACTIVE LIMITED,1568,2017-09-11
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,479,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,484,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,486,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,487,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,497,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,498,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,537,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,540,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,551,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,567,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,663,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,702,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,921,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,1114,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,1438,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,1700,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,1705,201706,O2 (UK) LTD,10,2017-09-26
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600007,1737,201706,O2 (UK) LTD,10,2017-09-26
