Strgrpcc(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600016,469,201803,O2 (UK) LTD,10,2018-06-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600016,3617,201803,O2 (UK) LTD,10,2018-06-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600016,3655,201803,O2 (UK) LTD,11.5,2018-06-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600016,3680,201803,O2 (UK) LTD,10,2018-06-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600017,331,201803,O2 (UK) LTD,10,2018-06-22
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600017,411,201803,O2 (UK) LTD,10,2018-06-22
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600017,423,201803,O2 (UK) LTD,11.5,2018-06-22
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600017,2099,201803,O2 (UK) LTD,10,2018-06-22
Office of the Chief Executive,Supplies and Services,Comms & Computing,41227471,1,201803,RECITE ME LTD,2000,2018-06-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,41227956,1,201803,ACCESS INTELLIGENCE MEDIA & COMMUNICATIONS LTD,1904,2018-06-29
Office of the Chief Executive,Supplies and Services,Comms & Computing,43999689,3,201803,INSIGHT DIRECT UK LTD,2540,2018-06-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,41227443,1,201803,NATIONAL LEAFLET COMPANY,5443.13,2018-06-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,43992147,0,201803,DAVID CASEY DISPLAYS LTD,760,2018-06-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600016,27,201803,O2 (UK) LTD,10,2018-06-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600016,275,201803,O2 (UK) LTD,10,2018-06-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600016,510,201803,O2 (UK) LTD,10,2018-06-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600016,629,201803,O2 (UK) LTD,10,2018-06-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600016,3931,201803,O2 (UK) LTD,10,2018-06-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600016,4107,201803,O2 (UK) LTD,10,2018-06-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600017,768,201803,O2 (UK) LTD,10,2018-06-22
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600017,912,201803,O2 (UK) LTD,10,2018-06-22
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600017,1247,201803,O2 (UK) LTD,10,2018-06-22
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600017,1445,201803,O2 (UK) LTD,10,2018-06-22
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600017,1903,201803,O2 (UK) LTD,10,2018-06-22
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600017,1931,201803,O2 (UK) LTD,10,2018-06-22
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600017,2135,201803,O2 (UK) LTD,10,2018-06-22
Office of the Chief Executive,Third Party Payments,Third Party Payments,43997436,1,201803,CAPITA BUSINESS SERVICES LTD,625,2018-06-20
Office of the Chief Executive,Supplies and Services,Comms & Computing,43999689,2,201803,INSIGHT DIRECT UK LTD,4445,2018-06-14
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600016,3745,201803,O2 (UK) LTD,10,2018-06-08
Office of the Chief Executive,Supplies and Services,Comms & Computing,60600017,546,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Employees,Indirect Employee Expenses,43999891,0,201803,REDACTIVE EVENTS LTD,695,2018-06-18
Corporate Resources,Employees,Indirect Employee Expenses,43999891,1,201803,REDACTIVE EVENTS LTD,395,2018-06-18
Corporate Resources,Transport,Public Transport and Taxi Fares,148027708,1,201803,CLICK TRAVEL LTD,207,2018-06-05
Corporate Resources,Supplies and Services,Comms & Computing,60600016,81,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,300,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,480,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,2893,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,3156,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,3198,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,3665,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,3677,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,3683,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,3685,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,3686,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,3688,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600017,403,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,407,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,413,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,414,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,431,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,463,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,982,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,1361,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,1761,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,1950,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,2019,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,2062,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,"Licenses, Housing, Fees",41226516,1,201803,AON HEWITT LIMITED,2280,2018-06-01
Corporate Resources,Supplies and Services,Comms & Computing,60600016,110,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,556,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,3266,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,3681,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,3684,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,3693,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,3694,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,3695,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,3697,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600017,29,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,417,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,435,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,438,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,456,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,459,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,462,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,1315,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600017,1590,201803,O2 (UK) LTD,10,2018-06-22
Corporate Resources,Supplies and Services,Comms & Computing,60600016,501,201803,O2 (UK) LTD,10,2018-06-08
Corporate Resources,Supplies and Services,Comms & Computing,60600016,593,201803,O2 (UK) LTD,10,2018-06-08
