Payment Date,Amount,Organisational Unit,Benificiary Name,Company Number,Charity Number
2018-01-25,1712.71,Communities & Service Support-Museums & Arts,Flying Entertainment Ltd,,
2018-01-24,59655.91,"Adults, Health and Social Care-Adult Health & Social Care",2017:11D  Dementia,,
2018-01-24,312049.92,"Adults, Health and Social Care-Adult Health & Social Care",2017:11FTIFrailty And/Or Temporary Illness,,
2018-01-24,1779.88,"Adults, Health and Social Care-Adult Health & Social Care",2017:11HI Hearing Impairment,,
2018-01-24,348251.62,"Adults, Health and Social Care-Adult Health & Social Care",2017:11LD Learning Disabilities,,
2018-01-24,7055.44,"Adults, Health and Social Care-Adult Health & Social Care",2017:11MH Mental Health (Except Dementia),,
2018-01-24,60051.63,"Adults, Health and Social Care-Adult Health & Social Care",2017:11OV Other Vulnerable People,,
2018-01-24,137100.70,"Adults, Health and Social Care-Adult Health & Social Care",2017:11PD Physically Disabled,,
2018-01-24,514.19,"Adults, Health and Social Care-Adult Health & Social Care",2017:11SM Substance Misuse,,
2018-01-24,2805.02,"Adults, Health and Social Care-Adult Health & Social Care",2017:11VI Visual Impairment,,
2018-01-24,29886.60,"Adults, Health and Social Care-Adult Health & Social Care",2017:12D  Dementia,,
2018-01-24,4886.40,"Adults, Health and Social Care-Adult Health & Social Care",2017:12DSLDual Sensory Loss,,
2018-01-24,129708.34,"Adults, Health and Social Care-Adult Health & Social Care",2017:12FTIFrailty And/Or Temporary Illness,,
2018-01-24,2080.32,"Adults, Health and Social Care-Adult Health & Social Care",2017:12HI Hearing Impairment,,
2018-01-24,218241.68,"Adults, Health and Social Care-Adult Health & Social Care",2017:12LD Learning Disabilities,,
2018-01-24,19424.68,"Adults, Health and Social Care-Adult Health & Social Care",2017:12MH Mental Health (Except Dementia),,
2018-01-24,40978.12,"Adults, Health and Social Care-Adult Health & Social Care",2017:12OV Other Vulnerable People,,
2018-01-24,293457.73,"Adults, Health and Social Care-Adult Health & Social Care",2017:12PD Physically Disabled,,
2018-01-24,13590.60,"Adults, Health and Social Care-Adult Health & Social Care",2017:12VI Visual Impairment,,
2018-01-31,33.85,Chief Executive's Office-Law & Administration Service,4Imprint Direct Limited,,
2018-01-31,550.00,Chief Executive's Office-Law & Administration Service,4Imprint Direct Limited,,
2018-01-16,3044.00,Economy and Environment-Housing Services - Capital,A Ashworth & Son Landscapes Ltd,,
2018-01-17,557.00,Communities & Service Support-Recreation & Support,A Ashworth & Son Landscapes Ltd,,
2018-01-17,293.00,Economy and Environment-Housing Services - Capital,A Ashworth & Son Landscapes Ltd,,
2018-01-17,162.00,Economy and Environment-Housing Services - Capital,A Ashworth & Son Landscapes Ltd,,
2018-01-24,750.00,Communities & Service Support-Safer Cleaner Greener,A Ashworth & Son Landscapes Ltd,,
2018-01-17,10767.60,Economy and Environment-Transport Services,A Class Taxis Ltd,,
2018-01-03,9084.90,Chief Executive's Office-Other Services,REDACTED PERSONAL DATA,,
2018-01-03,15147.51,Economy and Environment-Highways & Engineering Services - Capital,AECOM,,
2018-01-03,15147.51,Economy and Environment-Highways & Engineering Services - Capital,AECOM,,
2018-01-19,3000.00,Economy and Environment-Regeneration - Capital,AHR Building Consultancy Limited,,
2018-01-19,2600.00,Economy and Environment-Regeneration - Capital,AHR Building Consultancy Limited,,
2018-01-10,969.15,"Adults, Health and Social Care-Adult Health & Social Care",ALS Support,,
2018-01-11,2610.62,"Adults, Health and Social Care-Adult Health & Social Care",ALS Support,,
2018-01-18,1140.00,Communities & Service Support-Service Development - Client Services,AMG Sport-Play Ltd,,
2018-01-18,265.00,Communities & Service Support-Service Development - Client Services,AMG Sport-Play Ltd,,
2018-01-18,3435.00,Communities & Service Support-Service Development - Client Services,AMG Sport-Play Ltd,,
2018-01-18,555.22,Communities & Service Support-Safer Cleaner Greener,ATS Euromaster Ltd,,
2018-01-18,7.68,Communities & Service Support-Safer Cleaner Greener,ATS Euromaster Ltd,,
2018-01-18,84.21,Communities & Service Support-Safer Cleaner Greener,ATS Euromaster Ltd,,
2018-01-02,875.00,Economy and Environment-Transport Services,AUTODATA LTD,,
2018-01-04,78867.33,Economy and Environment-Environmental Services,AWM Ltd,,
2018-01-04,70431.13,Economy and Environment-Environmental Services,AWM Ltd,,
2018-01-22,81558.64,Economy and Environment-Environmental Services,AWM Ltd,,
2018-01-22,66424.25,Economy and Environment-Environmental Services,AWM Ltd,,
2018-01-22,94552.23,Economy and Environment-Environmental Services,AWM Ltd,,
2018-01-09,1013.83,Economy and Environment-Corporate Asset and Facilities Management,Abacus Lighting Ltd,,
2018-01-24,1318.28,Communities & Service Support-Sport & Countryside,Abacus Lighting Ltd,,
2018-01-23,1672.00,"Adults, Health and Social Care-Adult Health & Social Care",Accora Ltd,,
2018-01-23,1988.00,"Adults, Health and Social Care-Adult Health & Social Care",Accora Ltd,,
2018-01-29,449.00,Communities & Service Support-Sport & Leisure Management DSO,Ace Contract Maintenance Ltd,,
2018-01-02,1201.80,"Adults, Health and Social Care-Adult Health & Social Care",Active,,
2018-01-08,1201.80,"Adults, Health and Social Care-Adult Health & Social Care",Active,,
2018-01-09,2268.84,"Adults, Health and Social Care-Adult Health & Social Care",Active,,
2018-01-10,64.92,Children and Young People-Childrens Care Services,Active,,
2018-01-10,64.92,Children and Young People-Childrens Care Services,Active,,
2018-01-10,64.94,Children and Young People-Childrens Care Services,Active,,
2018-01-10,64.94,Children and Young People-Childrens Care Services,Active,,
2018-01-10,64.92,Children and Young People-Childrens Care Services,Active,,
2018-01-10,64.92,Children and Young People-Childrens Care Services,Active,,
2018-01-10,64.92,Children and Young People-Childrens Care Services,Active,,
2018-01-10,64.92,Children and Young People-Childrens Care Services,Active,,
2018-01-15,652.50,Children and Young People-Childrens Care Services,Active,,
2018-01-15,675.00,Children and Young People-Childrens Care Services,Active,,
2018-01-17,1201.80,"Adults, Health and Social Care-Adult Health & Social Care",Active,,
2018-01-23,1201.80,"Adults, Health and Social Care-Adult Health & Social Care",Active,,
2018-01-29,800.60,Children and Young People-Childrens Care Services,Active,,
2018-01-29,800.60,Children and Young People-Childrens Care Services,Active,,
2018-01-29,1127.40,Children and Young People-Childrens Care Services,Active,,
2018-01-29,1127.40,Children and Young People-Childrens Care Services,Active,,
2018-01-29,581.10,Children and Young People-Childrens Care Services,Active,,
2018-01-30,1201.80,"Adults, Health and Social Care-Adult Health & Social Care",Active,,
2018-01-23,525.00,"Adults, Health and Social Care-Adult Health & Social Care",Adam Fullwood,,
2018-01-29,620.00,Chief Executive's Office-Law & Administration Service,Adare Sec Limited,,
2018-01-19,1416.64,Deputy Chief Executive-Human Resources,REDACTED PERSONAL DATA,,
2018-01-10,6250.00,"Adults, Health and Social Care-Adult Health & Social Care",Age Uk Calderdale & Kirklees,,
2018-01-10,3244.85,"Adults, Health and Social Care-Adult Health & Social Care",Age Uk Calderdale & Kirklees,,
2018-01-10,3244.85,"Adults, Health and Social Care-Adult Health & Social Care",Age Uk Calderdale & Kirklees,,
2018-01-10,12925.85,"Adults, Health and Social Care-Adult Health & Social Care",Age Uk Calderdale & Kirklees,,
2018-01-03,96.00,Communities & Service Support-Libraries Info & Tourism,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Economy and Environment-Corporate Asset and Facilities Management,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Sport & Leisure Management DSO,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Libraries Info & Tourism,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Libraries Info & Tourism,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Museums & Arts,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Libraries Info & Tourism,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Children and Young People-Schools and Children's Services - Non-School,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Libraries Info & Tourism,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Children and Young People-Childrens Care Services,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,"Adults, Health and Social Care-Adult Health & Social Care",Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,"Adults, Health and Social Care-Adult Health & Social Care",Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Economy and Environment-Corporate Asset and Facilities Management,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Deputy Chief Executive-ICT Services,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Libraries Info & Tourism,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Libraries Info & Tourism,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Safer Cleaner Greener,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Recreation & Support,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Recreation & Support,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Recreation & Support,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Children and Young People-Schools and Children's Services - Non-School,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Libraries Info & Tourism,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Libraries Info & Tourism,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,"Adults, Health and Social Care-Adult Health & Social Care",Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Economy and Environment-Highways and Engineering Services,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Libraries Info & Tourism,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Museums & Arts,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Safer Cleaner Greener,Aldermore Invoice Finance re Key Security UK Ltd,,
2018-01-03,96.00,Communities & Service Support-Libraries Info & Tourism,Aldermore Invoice Finance re Key Security UK Ltd,,
