Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2017-09-19,9.90,Communities & Service Support-Libraries Info & Tourism,AMAZON.CO.UK,,
2017-09-26,34.75,Communities & Service Support-Libraries Info & Tourism,AMAZON.CO.UK,,
2017-09-26,19.56,Communities & Service Support-Libraries Info & Tourism,AMAZON.CO.UK,,
2017-08-23,6.55,Communities & Service Support-Sport & Leisure Management DSO,AMAZON.CO.UK,,
2017-10-04,40.49,Economy and Environment-Environmental Services,AMZ*Amazon.co.uk,,
2017-09-13,16.84,"Adults, Health and Social Care-Adult Health & Social Care",AMZ*Amazon.co.uk,,
2017-09-27,25.23,"Adults, Health and Social Care-Adult Health & Social Care",AMZ*BATTERY WAREHOUSE +44,,
2017-10-10,12.47,Economy and Environment-Environmental Services,AMZ*FinestBazaar,,
2017-10-18,69.66,Children and Young People-Schools and Children's Services - Non-School,AMZ*Sweatband-Paymen,,
2017-09-29,10.95,Communities & Service Support-Customer Services and Communications,ANCESTRY.CO.UK,,
2017-10-06,208.33,"Adults, Health and Social Care-Adult Health & Social Care",APPLIANCE WORLD,,
2017-10-24,187.50,"Adults, Health and Social Care-Adult Health & Social Care",APPLIANCE WORLD,,
2017-09-28,49.99,Deputy Chief Executive-Human Resources,ARGOS HALIFAX INSI,,
2017-09-29,20.00,Children and Young People-Schools and Children's Services - Non-School,ARGOS HALIFAX INSI,,
2017-09-14,24.97,Children and Young People-Childrens Care Services,ARGOS HALIFAX INSI,,
2017-05-11,11.66,Chief Executive's Office-Law & Administration Service,ARGOS HALIFAX INSI,,
2017-09-08,34.48,"Adults, Health and Social Care-Adult Health & Social Care",ARGOS LTD,,
2017-09-13,83.31,"Adults, Health and Social Care-Adult Health & Social Care",ARGOS LTD,,
2017-09-20,75.72,"Adults, Health and Social Care-Adult Health & Social Care",ARGOS LTD,,
2017-09-01,96.62,"Adults, Health and Social Care-Adult Health & Social Care",ARGOS LTD,,
2017-07-25,7.49,Children and Young People-Childrens Care Services,ARGOS LTD,,
2017-10-25,49.90,"Adults, Health and Social Care-Adult Health & Social Care",ARGOS LTD,,
2017-10-26,74.96,"Adults, Health and Social Care-Adult Health & Social Care",ARGOS LTD,,
2017-10-24,17.07,Children and Young People-Childrens Care Services,ARGOS LTD,,
2017-10-06,114.54,"Adults, Health and Social Care-Adult Health & Social Care",ARGOS RETAIL GROUP,,
2017-06-13,18.74,Chief Executive's Office-Law & Administration Service,ARGOS RETAIL GROUP,,
2017-04-24,11.66,Chief Executive's Office-Law & Administration Service,ARGOS RETAIL GROUP,,
2017-09-29,164.27,Communities & Service Support-Customer Services and Communications,ARGOS RETAIL GROUP,,
2017-10-24,362.95,Children and Young People-Schools and Children's Services - Non-School,ASDA GEORGE COM LEEDS,,
2017-10-04,27.63,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-07,4.35,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-19,23.39,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-04,29.60,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-04,9.17,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-08,70.41,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-08,19.08,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-22,91.59,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-03,15.97,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-11,166.53,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-11,12.67,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-20,20.89,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-20,6.25,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-08-31,32.13,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-08-31,2.04,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-10,103.09,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-10,14.64,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-27,1.58,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-08-30,1.67,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-07-31,143.12,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-08-05,39.87,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-08-24,15.83,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-07-04,38.33,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-07-04,3.22,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-07-10,206.01,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-07-19,12.08,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-05-28,11.31,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-06-02,19.78,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-06-08,1.25,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-06-14,13.50,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-06-15,51.73,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-06-15,3.75,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-06-26,9.17,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-06-26,7.00,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-28,37.10,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-28,4.15,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-02,149.60,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-05,32.50,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-05,34.87,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-08,23.40,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-28,13.42,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-07,8.43,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-10,9.50,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-16,52.40,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-19,85.42,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-02,16.50,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-20,1.25,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-12,9.07,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-09,24.17,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-09,9.83,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-10,10.30,"Adults, Health and Social Care-Adult Health & Social Care",ASDA STORE,,
2017-09-07,57.42,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-13,5.83,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-18,79.31,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-18,12.08,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-21,58.02,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-21,12.55,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-24,23.10,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-06-10,200.00,Children and Young People-Childrens Services Unit,ASDA STORE,,
2017-09-27,274.17,"Adults, Health and Social Care-Adult Health & Social Care",ASDA STORE,,
2017-09-30,27.84,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-30,7.77,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-30,5.40,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-03,3.05,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-06,3.75,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-10-24,1.98,Children and Young People-Childrens Care Services,ASDA STORE,,
2017-09-29,2.17,Communities & Service Support-Museums & Arts,ASDA STORE,,
2017-10-14,6.74,Communities & Service Support-Museums & Arts,ASDA STORE,,
2017-10-23,1.04,Communities & Service Support-Museums & Arts,ASDA STORE,,
2017-09-13,27.00,Children and Young People-Schools and Children's Services - Non-School,ASDA STORES,,
2017-10-19,37.50,Children and Young People-Childrens Care Services,ASDA STORES 5819,,
2017-10-04,29.30,Children and Young People-Childrens Care Services,ASDA STORES 5819,,
2017-09-13,28.33,Children and Young People-Childrens Care Services,ASDA STORES 5819,,
2017-09-18,45.00,Children and Young People-Schools and Children's Services - Non-School,ASDA SUPERSTORE,,
2017-09-18,20.48,Children and Young People-Schools and Children's Services - Non-School,ASDA SUPERSTORE,,
2017-10-26,0.70,Communities & Service Support-Museums & Arts,ASDA SUPERSTORE,,
2017-10-01,25.00,Children and Young People-Childrens Care Services,AY&Y PATEL (DEWS),,
2017-08-22,18.06,Communities & Service Support-Libraries Info & Tourism,Amazon Svcs Europe SAR,,
2017-10-06,8.99,Children and Young People-Schools and Children's Services - Non-School,Amazon UK Marketplace,,
2017-10-06,27.18,Children and Young People-Schools and Children's Services - Non-School,Amazon UK Marketplace,,
2017-10-19,20.58,Children and Young People-Schools and Children's Services - Non-School,Amazon UK Marketplace,,
2017-10-12,24.21,Children and Young People-Childrens Care Services,Amazon UK Marketplace,,
2017-10-17,12.64,Children and Young People-Childrens Services Unit,Amazon UK Marketplace,,
2017-10-18,79.70,Children and Young People-Childrens Services Unit,Amazon UK Marketplace,,
2017-10-22,18.23,Children and Young People-Childrens Services Unit,Amazon UK Marketplace,,
2017-10-23,54.47,Children and Young People-Childrens Services Unit,Amazon UK Marketplace,,
2017-10-09,7.08,"Adults, Health and Social Care-Adult Health & Social Care",Amazon UK Marketplace,,
