Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Expenditure Code,Payment Date,Supplier Name,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,461,Hire of Vehicles/Plant,2022-06-13,200249,NORTHGATE VEHICLE HIRE LTD,3650201,215.88,IHMT
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,461,Hire of Vehicles/Plant,2022-06-13,200249,NORTHGATE VEHICLE HIRE LTD,3649481,233.80,IHMT
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,461,Hire of Vehicles/Plant,2022-06-13,200249,NORTHGATE VEHICLE HIRE LTD,3649484,233.80,IHMT
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,461,Hire of Vehicles/Plant,2022-06-13,200249,NORTHGATE VEHICLE HIRE LTD,3649485,233.80,IHMT
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,461,Hire of Vehicles/Plant,2022-06-13,200249,NORTHGATE VEHICLE HIRE LTD,3649487,233.80,IHMT
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,461,Hire of Vehicles/Plant,2022-06-13,200249,NORTHGATE VEHICLE HIRE LTD,3650191,234.25,IHMT
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,461,Hire of Vehicles/Plant,2022-06-13,200249,NORTHGATE VEHICLE HIRE LTD,3650195,234.25,IHMT
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,461,Hire of Vehicles/Plant,2022-06-13,200249,NORTHGATE VEHICLE HIRE LTD,3650197,234.25,IHMT
Harrogate Borough Council,Premises,R,Community,Building Cleaning Operations,154,Cleaning & Hygiene Services,2022-06-08,203307,PHS GROUP PLC,3649642,215.75,
Harrogate Borough Council,Premises,R,Community,Building Cleaning Operations,154,Cleaning & Hygiene Services,2022-06-20,203307,PHS GROUP PLC,3650711,215.75,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,206,Cleaning Materials,2022-06-13,204317,TRAVAIL EMPLOYMENT GROUP LTD,3649410,476.71,Temporary Staff
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,206,Cleaning Materials,2022-06-13,204317,TRAVAIL EMPLOYMENT GROUP LTD,3649409,483.82,Temporary Staff
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,206,Cleaning Materials,2022-06-13,204317,TRAVAIL EMPLOYMENT GROUP LTD,3649407,505.17,Temporary Staff
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,206,Cleaning Materials,2022-06-13,204317,TRAVAIL EMPLOYMENT GROUP LTD,3649408,512.28,Temporary Staff
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,206,Cleaning Materials,2022-06-13,204317,TRAVAIL EMPLOYMENT GROUP LTD,3649411,640.35,Temporary Staff
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,206,Cleaning Materials,2022-06-13,204317,TRAVAIL EMPLOYMENT GROUP LTD,3649675,787.52,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,230,Catering - Vending Purchases,2022-06-27,230574,FCN FROZEN FOODS,3650086,576.02,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,230,Catering - Vending Purchases,2022-06-01,230574,FCN FROZEN FOODS,3649578,656.19,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,230,Catering - Vending Purchases,2022-06-15,230574,FCN FROZEN FOODS,3649580,663.04,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,230,Catering - Vending Purchases,2022-06-29,230574,FCN FROZEN FOODS,3650087,927.35,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,171,Equipment,2022-06-08,202384,KILLGERM CHEMICALS LTD,3648445,993.01,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,295,Waste Disposal Charges,2022-06-20,203024,NORTH YORKSHIRE COUNTY COUNCIL,3649850,62144.99,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,230,Catering - Vending Purchases,2022-06-15,203217,P P SNACK FOODS LTD,3650232,236.10,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,230,Catering - Vending Purchases,2022-06-29,203217,P P SNACK FOODS LTD,3649879,580.80,
Harrogate Borough Council,Premises,R,Community,Business Development,154,Cleaning & Hygiene Services,2022-06-01,221836,PAUL WHITAKER,3648134,456.00,
Harrogate Borough Council,Premises,R,Community,Business Development,154,Cleaning & Hygiene Services,2022-06-29,221836,PAUL WHITAKER,3650301,456.00,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,230,Catering - Vending Purchases,2022-06-15,218426,SELECTA UK LIMITED,3649864,357.66,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,440,Miscellaneous Expenditure,2022-06-15,204025,STREETMASTER (SOUTH WALES) LTD,3648802,77.00,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,440,Miscellaneous Expenditure,2022-06-15,204025,STREETMASTER (SOUTH WALES) LTD,3648802,1002.10,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,176,Purchase of Bulk Containers,2022-06-15,204362,UK CONTAINER MAINTENANCE LTD,3649233,15600.00,Purchase of Bulk Containers
Harrogate Borough Council,Premises,R,Community,Car Parking,102,Reactive Repairs & Maint - F&F,2022-06-08,204630,A. E. DUFFIELD & SONS LIMITED,3648933,1977.00,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,283,Credit Card Fees,2022-06-29,227049,ADVAM (UK) LTD,3649973,1539.54,
Harrogate Borough Council,Transport,R,Community,Car Parking,451,Fuel/Oil,2022-06-06,200227,ALLSTAR BUSINESS SOLUTIONS LTD,3649132,76.10,AS60046921
Harrogate Borough Council,Premises,R,Community,Car Parking,102,Reactive Repairs & Maint - F&F,2022-06-22,230274,ALPHA HOUSE LTD,3649133,60.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,102,Reactive Repairs & Maint - F&F,2022-06-22,230274,ALPHA HOUSE LTD,3649133,375.00,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,246,Stationery/Office Consumables,2022-06-29,227600,BANNER GROUP LTD,3649822,63.92,CONSOLIDATED INVOICE
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,251,External Printing/Typesetting,2022-06-29,205946,BEMROSE BOOTH PARAGON LTD T/A PARAGON ID LTD,3649832,1281.60,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,251,External Printing/Typesetting,2022-06-29,205946,BEMROSE BOOTH PARAGON LTD T/A PARAGON ID LTD,3650022,45.00,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,251,External Printing/Typesetting,2022-06-29,205946,BEMROSE BOOTH PARAGON LTD T/A PARAGON ID LTD,3650022,1557.60,
Harrogate Borough Council,Premises,R,Community,Car Parking,102,Reactive Repairs & Maint - F&F,2022-06-20,201022,CUMMINS ALLISON,3649183,255.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,102,Reactive Repairs & Maint - F&F,2022-06-20,201022,CUMMINS ALLISON,3649183,322.00,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,284,Cash Collection Fees,2022-06-01,201571,G4S CASH SOLUTIONS (UK),3649427,460.32,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,284,Cash Collection Fees,2022-06-01,201571,G4S CASH SOLUTIONS (UK),3649426,463.97,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,284,Cash Collection Fees,2022-06-01,201571,G4S CASH SOLUTIONS (UK),3649428,463.97,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,284,Cash Collection Fees,2022-06-01,201571,G4S CASH SOLUTIONS (UK),3649429,463.97,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,284,Cash Collection Fees,2022-06-01,201571,G4S CASH SOLUTIONS (UK),3649422,498.68,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,284,Cash Collection Fees,2022-06-01,201571,G4S CASH SOLUTIONS (UK),3649424,498.68,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,284,Cash Collection Fees,2022-06-01,201571,G4S CASH SOLUTIONS (UK),3649425,499.66,
Harrogate Borough Council,Transport,R,Community,Car Parking,461,Hire of Vehicles/Plant,2022-06-20,200249,NORTHGATE VEHICLE HIRE LTD,3649073,258.16,GJ18JYW SWAP
Harrogate Borough Council,Transport,R,Community,Car Parking,461,Hire of Vehicles/Plant,2022-06-13,200249,NORTHGATE VEHICLE HIRE LTD,3650156,258.61,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,300,Car Parking Adjudication Serv,2022-06-20,202734,PATROL,3649907,341.96,Car Parking Adjudication Serv
Harrogate Borough Council,Transport,R,Community,Central Transport,451,Fuel/Oil,2022-06-06,200227,ALLSTAR BUSINESS SOLUTIONS LTD,3649132,74.73,AS60046921
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,171,Equipment,2022-06-01,200446,BARRY CARTER MOTOR PRODUCTS LTD,3648335,281.86,Claro Road
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,171,Equipment,2022-06-15,200446,BARRY CARTER MOTOR PRODUCTS LTD,3648937,359.99,Claro Road
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,171,Equipment,2022-06-22,200446,BARRY CARTER MOTOR PRODUCTS LTD,3649235,527.66,Claro Road
