Body Name,Expenditure Category,Capital /Revenue,Service Label,Service Code,Expenditure Code,Payment Date,Supplier Name,Transaction No.,Net amount,Narrative
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,2015-04-08,ALLSTAR BUSINESS SOLUTIONS LTD,4626511,60.52,Mar Fuel
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,2015-04-27,ALLSTAR BUSINESS SOLUTIONS LTD,4627613,57.83,ACCR1415 FUELCARDS
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,2015-04-29,ARCO LTD,4628013,216.16,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,2015-04-22,ARCO LTD,4628020,286.66,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Miscellaneous Expenditure,2015-04-01,BAYDALE CONTROL SYSTEMS LTD,4625770,512.00,
Harrogate Borough Council,Premises,C,Community,Bereavement Services,Payments to Ext Contractors,2015-04-29,BRAMBLEDOWN LANDSCAPES,4629188,1847.80,
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Non Qualification Training,2015-04-01,CBCE ADMINISTRATION OFFICE,4627026,450.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2015-04-15,DR K M COATS,4628063,1313.50,March 2015 payment Medical Referee
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2015-04-15,DR R SPENCER,4628060,906.50,Dr R Spencer March 2015 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2015-04-15,DR VIVIENNE JAYNE POSKITT,4628069,592.00,Dr V Poskitt March 2015 monthly payment
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Bldg Mgmt Recharged Works,2015-04-29,F LOWLEY & SON LTD,4628202,1321.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2015-04-01,FALON NAMEPLATES LTD,4627079,327.60,Order
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2015-04-29,FALON NAMEPLATES LTD,4628154,437.20,
Harrogate Borough Council,Premises,C,Community,Bereavement Services,Payments to Ext Contractors,2015-04-20,GOLDERS ASSOCIATES (UK) LTD,4628302,2326.50,
