Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment Date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Employees,R,Community,Property Services (DCS),Temporary Staff,2021-08-18,1ST SELECT LIMITED,3633510,1911.00,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Property Services (DCS),Temporary Staff,2021-08-09,1ST SELECT LIMITED,3632853,2652.21,Temporary Staff
Harrogate Borough Council,Premises,R,Community,Bereavement Services,External Security,2021-08-02,4 SITE SECURITY SERVICES LTD,3632427,264.64,Stonefell Cemetery NO ORDER
Harrogate Borough Council,Premises,R,Community,Bereavement Services,External Security,2021-08-02,4 SITE SECURITY SERVICES LTD,3632428,1162.20,Stonefall Depot Wetherby  NO ORDER
Harrogate Borough Council,Premises,R,Community,Parks & Street Cleansing,External Security,2021-08-04,4 SITE SECURITY SERVICES LTD,3632465,1317.16,Valley Gardens Park No Order
Harrogate Borough Council,Premises,R,Community,Bereavement Services,External Security,2021-08-23,4 SITE SECURITY SERVICES LTD,3633875,1549.60,Stonefall Cemetery
Harrogate Borough Council,Premises,R,Community,Parks & Street Cleansing,External Security,2021-08-23,4 SITE SECURITY SERVICES LTD,3633876,1723.93,Valley Gardens
Harrogate Borough Council,Premises,R,HCC,Operations,External Security,2021-08-02,4 SITE SECURITY SERVICES LTD,3632426,11932.50,
Harrogate Borough Council,Premises,R,HCC,Operations,External Security,2021-08-25,4 SITE SECURITY SERVICES LTD,3633874,12086.50,
Harrogate Borough Council,Premises,R,HCC,Operations,External Security,2021-08-23,4 SITE SECURITY SERVICES LTD,3633878,24440.00,
Harrogate Borough Council,Supplies and Services,R,Community,Housing Needs,Security services/costs,2021-08-03,4 SITE SECURITY SERVICES LTD,3632466,2451.00,
Harrogate Borough Council,Supplies and Services,R,Community,Housing Needs,Security services/costs,2021-08-23,4 SITE SECURITY SERVICES LTD,3633972,4602.75,
Harrogate Borough Council,Supplies and Services,R,Community,Housing Needs,Security services/costs,2021-08-03,4 SITE SECURITY SERVICES LTD,3632468,5130.00,
Harrogate Borough Council,Supplies and Services,R,Community,Housing Needs,Security services/costs,2021-08-03,4 SITE SECURITY SERVICES LTD,3632469,5130.00,
Harrogate Borough Council,Supplies and Services,R,Community,Housing Needs,Security services/costs,2021-08-25,4 SITE SECURITY SERVICES LTD,3633962,5301.00,
Harrogate Borough Council,Supplies and Services,R,Community,Housing Needs,Security services/costs,2021-08-03,4 SITE SECURITY SERVICES LTD,3632467,7392.96,
Harrogate Borough Council,Supplies and Services,R,Community,Housing Needs,Security services/costs,2021-08-23,4 SITE SECURITY SERVICES LTD,3633970,7500.00,
Harrogate Borough Council,Supplies and Services,R,Community,Housing Needs,Security services/costs,2021-08-23,4 SITE SECURITY SERVICES LTD,3633970,945.00,
Harrogate Borough Council,Supplies and Services,R,Community,Housing Needs,Security services/costs,2021-08-23,4 SITE SECURITY SERVICES LTD,3633970,450.00,
Harrogate Borough Council,Supplies and Services,R,Community,Housing Needs,Security services/costs,2021-08-23,4 SITE SECURITY SERVICES LTD,3633971,9084.92,
Harrogate Borough Council,Premises,R,Community,Parks & Street Cleansing,Payments to Ext Contractors,2021-08-18,A A FOSTER,3633182,615.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,2021-08-09,A R TWIGG & SON LTD,3632184,1935.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,2021-08-09,A R TWIGG & SON LTD,3632184,95.00,
Harrogate Borough Council,Premises,R,Economy & Culture,Building Maintenance - DEC,Reactive Repairs & Maint - Bldgs,2021-08-23,A. E. DUFFIELD & SONS LIMITED,3633981,950.00,
