Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name(T),Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Arboriculture,Fuel/Oil,2016-07-27,ALLSTAR BUSINESS SOLUTIONS LTD,4656465,17.63,May Fuel
Harrogate Borough Council,Premises,R,Community,Arboriculture,Payments to Ext Contractors,2016-07-06,STEEL AND MAW TREE EXPERTS,4656520,2995.00,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Payments to Ext Contractors,2016-07-27,A A FOSTER,4657548,615,
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,2016-07-27,ALLSTAR BUSINESS SOLUTIONS LTD,4656465,32.46,May Fuel
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,2016-07-13,ALLSTAR BUSINESS SOLUTIONS LTD,4655315,89.89,June Fuel
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,2016-07-20,BERENDSEN UK LTD,4656848,212.53,HARROGATE BC CEMETERY
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Reactive Repairs & Maint - Bldgs,2016-07-06,BOB COWELL,4654839,269,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Signs,2016-07-06,BOB COWELL,4654839,120,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2016-07-06,DR CHRISTIAN LACHMANN,4656539,814,Dr C Lachmann June 2016 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2016-07-06,DR R SPENCER,4656537,943.5,Dr R Spencer June 2016 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2016-07-06,DR VIVIENNE JAYNE POSKITT,4656538,647.5,Dr V Poskitt June 2016 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2016-07-11,FALON NAMEPLATES LTD,4655306,18,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2016-07-11,FALON NAMEPLATES LTD,4655306,372.2,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,External Security,2016-07-27,G4S SECURE SOLUTIONS (UK) LIMITED,4657491,260,Contract Number 9249
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Payments to Ext Contractors,2016-07-27,PEACOCK BROTHERS,4657246,3200.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Hort Materials - Direct Purchase,2016-07-27,PEACOCK BROTHERS,4657248,270,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Hort Materials - Direct Purchase,2016-07-27,PEACOCK BROTHERS,4657246,540,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,2016-07-13,WETHERBY SKIP HIRE SERVICES,4655209,175,various
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2016-07-27,PROFESSIONAL PAPER SUPPLIES LTD,4656152,1270.65,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2016-07-13,EDEN FARM LTD,4655138,404.74,Valley Gardens Games Hut
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2016-07-27,EDEN FARM LTD,4656445,492.46,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2016-07-20,EDEN FARM LTD,4656434,570.92,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2016-07-20,EDEN FARM LTD,4655990,627.6,Valley Gardens Games Hut
