Body Name,Expenditure Category(T),Capital/ Revenue,Service Label(T),Service Code(T),Expenditure Code,Expenditure Code(T),Payment Date,Supplier Name,Supplier Name(T),Transaction No.,Net Amount,Narrative
O8,Transport,A,Community,Arboriculture,451,Fuel/Oil,2022-03-28,200227,ALLSTAR BUSINESS SOLUTIONS LTD,3643436,59.14,AS60046921
O8,Supplies and Services,A,Community,Arboriculture,440,Miscellaneous Expenditure,2022-03-09,204635,BOB COWELL,3644250,582.00,
O8,Supplies and Services,A,Community,Arboriculture,440,Miscellaneous Expenditure,2022-03-09,230791,SAM CRYER LTD,3643838,844.20,
O8,Premises,A,Community,Bereavement Services,163,External Security,2022-03-02,230361,4 SITE SECURITY SERVICES LTD,3642960,1510.50,Stonefall Cemetery and  Offices Dec 2021
O8,Premises,A,Community,Bereavement Services,163,External Security,2022-03-30,230361,4 SITE SECURITY SERVICES LTD,3645099,1627.08,Stonefall Cemetery
O8,Premises,A,Community,Bereavement Services,087,Payments to Ext Contractors,2022-03-09,200145,ABBOTTS MEMORIAL COMPANY,3644281,500.00,
O8,Supplies and Services,A,Community,Bereavement Services,276,Medical Referees Fees,2022-03-02,225136,DR CHRISTIAN LACHMANN,3644023,832.50,PQ Dr C Lachmann February 2022 Monthly payment
O8,Supplies and Services,A,Community,Bereavement Services,276,Medical Referees Fees,2022-03-02,210807,DR R SPENCER,3644021,795.50,PQ Dr R Spencer February 2022 Monthly payment
O8,Supplies and Services,A,Community,Bereavement Services,276,Medical Referees Fees,2022-03-02,223395,DR VIVIENNE JAYNE POSKITT,3644022,1091.50,PQ DR V Poskitt February 2022 Monthly Payment
O8,Supplies and Services,A,Community,Bereavement Services,242,Protective Clothing,2022-03-23,204247,ELIS UK LIMITED,3645075,226.61,HARROGATE BC CEMETERY STONEFALL CEMETERY
O8,Supplies and Services,A,Community,Bereavement Services,242,Protective Clothing,2022-03-30,204247,ELIS UK LIMITED,3646076,226.61,HARROGATE BC CEMETERY
O8,Supplies and Services,A,Community,Bereavement Services,214,Plaques,2022-03-23,201423,FALON NAMEPLATES LTD,3645222,959.38,
O8,Premises,A,Community,Bereavement Services,100,Bldg Mgmt Recharged Works,2022-03-30,204647,HACS CIVIL ENGINEERING LLP,3645772,600.00,
O8,Supplies and Services,A,Community,Bereavement Services,268,Other Consultants Fees,2022-03-02,223990,MASON CLARK ASSOCIATES LTD,3643418,590.00,
O8,Supplies and Services,A,Community,Bereavement Services,288,Burial/Mortuary Fees,2022-03-16,220468,McBRIDE & SONS FUNERAL DIRECTORS,3644872,500.00,
O8,Premises,A,Community,Bereavement Services,087,Payments to Ext Contractors,2022-03-09,230816,NIGEL PAIN,3644414,500.00,
O8,Premises,A,Community,Bereavement Services,087,Payments to Ext Contractors,2022-03-16,230816,NIGEL PAIN,3644404,1000.00,
O8,Premises,A,Community,Bereavement Services,087,Payments to Ext Contractors,2022-03-09,230853,NIGEL RAMSEY FUNERAL SERVICE,3644408,680.00,
