Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Expenditure Code,Payment Date,Supplier Name,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Employees,R,Community,Property Services (DCS),19,Temporary Staff,2021-09-22,226559,1ST SELECT LIMITED,3635263,424,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Property Services (DCS),19,Temporary Staff,2021-09-22,226559,1ST SELECT LIMITED,3635181,469,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Property Services (DCS),19,Temporary Staff,2021-09-08,226559,1ST SELECT LIMITED,3634486,821.5,Temporary Staff
Harrogate Borough Council,Premises,R,Community,Parks & Street Cleansing,163,External Security,2021-09-01,230361,4 SITE SECURITY SERVICES LTD,3632471,1162.20,Claro Road Depot Claro
Harrogate Borough Council,Premises,R,Community,Parks & Street Cleansing,163,External Security,2021-09-01,230361,4 SITE SECURITY SERVICES LTD,3633877,1200.94,Claro Road
Harrogate Borough Council,Premises,R,Community,Parks & Street Cleansing,163,External Security,2021-09-01,230361,4 SITE SECURITY SERVICES LTD,3630972,975,Implementation  Training Costs
Harrogate Borough Council,Premises,R,Community,Bereavement Services,163,External Security,2021-09-01,230361,4 SITE SECURITY SERVICES LTD,3630972,325,Implementation  Training Costs
Harrogate Borough Council,Premises,R,Community,Parks & Street Cleansing,163,External Security,2021-09-15,230361,4 SITE SECURITY SERVICES LTD,3634910,1339.68,Claro Road Depot
Harrogate Borough Council,Premises,R,Community,Bereavement Services,163,External Security,2021-09-15,230361,4 SITE SECURITY SERVICES LTD,3634908,1765.82,Stonefall Cemetery
Harrogate Borough Council,Premises,R,Community,Parks & Street Cleansing,163,External Security,2021-09-15,230361,4 SITE SECURITY SERVICES LTD,3634909,2169.44,Valley Gardens Park
Harrogate Borough Council,Premises,R,HCC,Operations,163,External Security,2021-09-15,230361,4 SITE SECURITY SERVICES LTD,3634905,12621.30,
Harrogate Borough Council,Supplies and Services,R,Community,Housing Needs,327,Security services/costs,2021-09-15,230361,4 SITE SECURITY SERVICES LTD,3634902,5493.38,Security Services/Costs
Harrogate Borough Council,Supplies and Services,R,Community,Housing Needs,327,Security services/costs,2021-09-15,230361,4 SITE SECURITY SERVICES LTD,3634904,10790.46,Security Services/Costs
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,87,Payments to Ext Contractors,2021-09-20,230528,ACCESS DOOR AUTOMATION LTD,3634911,1360.00,
Harrogate Borough Council,Transfer Payments,C,Community,Private Sector Housing,580,Mand Disabled Facilities Grants,2021-09-13,229899,ACCESS INDEPENDENT LIMITED,3634762,490,Disabled facilities grant
Harrogate Borough Council,Supplies and Services,R,HCC,Commercial (HIC General to 31/3/14),171,Equipment,2021-09-29,220895,ACOUSTIC SOLUTIONS (YORKSHIRE),3635753,2550.00,Equipment
Harrogate Borough Council,Supplies and Services,R,Corporate Affairs,Elections,251,External Printing/Typesetting,2021-09-15,207905,ADARE LIMITED,3634907,988.74,External Printing/Typesetting
Harrogate Borough Council,Supplies and Services,R,Corporate Affairs,Elections,301,Postage,2021-09-15,207905,ADARE LIMITED,3634912,3935.14,
Harrogate Borough Council,Supplies and Services,R,Corporate Affairs,Accountancy,292,Credit Card Services,2021-09-01,200179,ADELANTE SOFTWARE LTD,3633767,942.78,ConnectPay Invoice for Period 01072021 to 31072021
Harrogate Borough Council,Supplies and Services,R,Corporate Affairs,Accountancy,292,Credit Card Services,2021-09-27,200179,ADELANTE SOFTWARE LTD,3635621,1108.92,ConnectPay Invoice for Period 01082021 to 31082021
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,283,Credit Card Fees,2021-09-27,227049,ADVAM (UK) LTD,3635021,1668.18,
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-09-08,221350,AEBI SCHMIDT UK LTD,3634487,449.79,Claro Road
Harrogate Borough Council,Transport,R,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-09-06,221350,AEBI SCHMIDT UK LTD,3634216,654.75,Claro Road
Harrogate Borough Council,Premises,R,Economy & Culture,Building Maintenance - DEC,73,Electrical Repairs & Maint,2021-09-22,200199,AIRCO REFRIDGERATION & AIR CONDITIONING LTD,3635154,454.83,HCC Studio 1  and  2
Harrogate Borough Council,Premises,R,Economy & Culture,Building Maintenance - DEC,73,Electrical Repairs & Maint,2021-09-22,200199,AIRCO REFRIDGERATION & AIR CONDITIONING LTD,3635248,457.5,
