Body Name,Expenditure Category(T),Capital/ Revenue,Service Label(T),Service Code(T),Expenditure Code,Expenditure Code(T),Payment Date,Supplier Name,Supplier Name(T),Transaction No.,Net Amount,Narrative
O8,Supplies and Services,A,Community,Arboriculture,440,Miscellaneous Expenditure,2021-12-15,200439,BARCHAM TREES PLC,3638845,1880.00,
O8,Supplies and Services,A,Community,Arboriculture,440,Miscellaneous Expenditure,2021-12-15,200439,BARCHAM TREES PLC,3638845,2560.00,
O8,Supplies and Services,A,Community,Arboriculture,440,Miscellaneous Expenditure,2021-12-15,200439,BARCHAM TREES PLC,3638845,2060.00,
O8,Supplies and Services,A,Community,Arboriculture,440,Miscellaneous Expenditure,2021-12-15,200439,BARCHAM TREES PLC,3638845,1960.00,
O8,Supplies and Services,A,Community,Arboriculture,440,Miscellaneous Expenditure,2021-12-15,200439,BARCHAM TREES PLC,3638845,1960.00,
O8,Supplies and Services,A,Community,Arboriculture,440,Miscellaneous Expenditure,2021-12-15,218737,LANDMARK TRADING (STAMFORD) LTD,3639201,226.20,
O8,Supplies and Services,A,Community,Bereavement Services,276,Medical Referees Fees,2021-12-08,225136,DR CHRISTIAN LACHMANN,3639638,1184.00,PQ Dr C Lachmann November 2021 Monthly payment
O8,Supplies and Services,A,Community,Bereavement Services,276,Medical Referees Fees,2021-12-08,210807,DR R SPENCER,3639636,610.50,PQ Dr R Spencer November 2021 Monthly payment
O8,Supplies and Services,A,Community,Bereavement Services,276,Medical Referees Fees,2021-12-08,227972,DR SOPHIE ELIZABETH LORD,3639639,444.00,PQ Dr S E Lord November 21 Monthly payment
O8,Supplies and Services,A,Community,Bereavement Services,276,Medical Referees Fees,2021-12-08,223395,DR VIVIENNE JAYNE POSKITT,3639637,962.00,PQ DR V Poskitt November 2021 Monthly Payment
O8,Supplies and Services,A,Community,Bereavement Services,214,Plaques,2021-12-29,201423,FALON NAMEPLATES LTD,3639605,854.91,Plaques
O8,Supplies and Services,A,Community,Bereavement Services,214,Plaques,2021-12-29,201423,FALON NAMEPLATES LTD,3639605,19.00,Plaques
O8,Premises,A,Community,Bereavement Services,100,Bldg Mgmt Recharged Works,2021-12-29,214594,GLASDON UK LTD,3640403,790.32,
O8,Supplies and Services,A,Community,Bereavement Services,288,Burial/Mortuary Fees,2021-12-29,225512,NEIL & SONYA MILSTED INDEPENDENT FUNERAL DIRECTORS LTD,3640689,1500.00,
O8,Supplies and Services,C,Community,Building Cleaning Operations,299,Other Services,2021-12-08,200614,BULLOUGHS CLEANING SERVICES LTD,3638187,919.02,Avondale House The Avondale Hostel
O8,Supplies and Services,C,Community,Building Cleaning Operations,299,Other Services,2021-12-08,200614,BULLOUGHS CLEANING SERVICES LTD,3638188,1248.00,Starbeck  Fern House
