Body Name,Expenditure Category(T),Capital/ Revenue,Service Label(T),Service Code(T),Expenditure Code,Expenditure Code(T),Payment Date,Supplier Name,Supplier Name(T),Transaction No.,Net Amount,Narrative
O8,Supplies and Services,C,Community,Building Cleaning Operations,299,Other Services,2021-12-29,200614,BULLOUGHS CLEANING SERVICES LTD,3640260,1248.00,IHMT
O8,Supplies and Services,K,Community,Building Cleaning Operations,206,Cleaning Materials,2021-12-15,230068,JANGRO NETWORK LIMITED,3639437,352.76,
O8,Supplies and Services,K,Community,Building Cleaning Operations,206,Cleaning Materials,2021-12-15,230068,JANGRO NETWORK LIMITED,3639438,361.62,
O8,Supplies and Services,K,Community,Building Cleaning Operations,206,Cleaning Materials,2021-12-06,230068,JANGRO NETWORK LIMITED,3638601,417.60,
O8,Supplies and Services,K,Community,Building Cleaning Operations,206,Cleaning Materials,2021-12-29,230068,JANGRO NETWORK LIMITED,3639542,675.17,
O8,Transport,K,Community,Building Cleaning Operations,461,Hire of Vehicles/Plant,2021-12-20,200249,NORTHGATE VEHICLE HIRE LTD,3640027,215.88,
O8,Transport,K,Community,Building Cleaning Operations,461,Hire of Vehicles/Plant,2021-12-20,200249,NORTHGATE VEHICLE HIRE LTD,3640008,233.80,IHMT
O8,Transport,K,Community,Building Cleaning Operations,461,Hire of Vehicles/Plant,2021-12-20,200249,NORTHGATE VEHICLE HIRE LTD,3640011,233.80,IHMT
O8,Transport,K,Community,Building Cleaning Operations,461,Hire of Vehicles/Plant,2021-12-20,200249,NORTHGATE VEHICLE HIRE LTD,3640014,233.80,IHMT
O8,Transport,K,Community,Building Cleaning Operations,461,Hire of Vehicles/Plant,2021-12-20,200249,NORTHGATE VEHICLE HIRE LTD,3640016,233.80,IHMT
O8,Employees,K,Community,Building Cleaning Operations,019,Temporary Staff,2021-12-20,204317,TRAVAIL EMPLOYMENT GROUP LTD,3639245,327.29,Temporary Staff
O8,Employees,K,Community,Building Cleaning Operations,019,Temporary Staff,2021-12-06,204317,TRAVAIL EMPLOYMENT GROUP LTD,3639390,362.87,Temporary Staff
O8,Employees,K,Community,Building Cleaning Operations,019,Temporary Staff,2021-12-20,204317,TRAVAIL EMPLOYMENT GROUP LTD,3639243,437.61,Temporary Staff
O8,Employees,K,Community,Building Cleaning Operations,019,Temporary Staff,2021-12-06,204317,TRAVAIL EMPLOYMENT GROUP LTD,3639384,526.52,Temporary Staff
O8,Employees,K,Community,Building Cleaning Operations,019,Temporary Staff,2021-12-20,204317,TRAVAIL EMPLOYMENT GROUP LTD,3638684,697.27,Temporary Staff
O8,Supplies and Services,A,Community,Business Development,230,Catering - Vending Purchases,2021-12-15,230574,FCN FROZEN FOODS,3639299,268.18,
O8,Premises,A,Community,Business Development,154,Cleaning & Hygiene Services,2021-12-01,221836,PAUL WHITAKER,3638004,456.00,
O8,Premises,A,Community,Business Development,154,Cleaning & Hygiene Services,2021-12-29,221836,PAUL WHITAKER,3639478,456.00,
O8,Premises,A,Community,Business Development,126,Water & Sewerage,2021-12-13,228467,SCOTTISH WATER BUSINESS STREAM LTD,3638965,-865.49,Sports Ground Pavilion  and
O8,Supplies and Services,A,Community,Business Development,433,Other Supplies & Services,2021-12-01,230712,UK NATIONWIDE CLEANING SERVICES LTD,3639190,2800.00,
O8,Premises,A,Community,Business Development,073,Electrical Repairs & Maint,2021-12-29,204120,YORKSHIRE LIGHTING SERVICES,3640570,17524.00,
O8,Transport,M,Community,Car Parking,451,Fuel/Oil,2021-12-13,200227,ALLSTAR BUSINESS SOLUTIONS LTD,3639392,65.54,AS60046921
O8,Premises,A,Community,Car Parking,102,Reactive Repairs & Maint - F&F,2021-12-13,204635,BOB COWELL,3639680,370.00,
O8,Supplies and Services,A,Community,Car Parking,283,Credit Card Fees,2021-12-08,219386,FLOWBIRD SMART CITY UK LIMITED,3639096,2154.03,
O8,Supplies and Services,A,Community,Car Parking,292,Credit Card Services,2021-12-08,219386,FLOWBIRD SMART CITY UK LIMITED,3639154,286.00,
O8,Supplies and Services,A,Community,Car Parking,292,Credit Card Services,2021-12-01,230271,GO2SIM LTD,3638730,132.00,Various
O8,Supplies and Services,M,Community,Car Parking,241,Uniforms,2021-12-01,204871,KELTIC LTD,3638044,218.65,
O8,Transport,K,Community,Central Transport,451,Fuel/Oil,2021-12-13,200227,ALLSTAR BUSINESS SOLUTIONS LTD,3639392,38.23,AS60046921
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-08,200353,ATLANTIC BEARINGS LTD,3638813,33.90,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-08,200353,ATLANTIC BEARINGS LTD,3638813,5.53,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-08,200353,ATLANTIC BEARINGS LTD,3638813,15.00,Claro Road Depot
O8,GF Balance Movements/Other,M,Community,Central Transport,A71,Stock Purchases,2021-12-08,200353,ATLANTIC BEARINGS LTD,3638813,163.32,Claro Road Depot
O8,Supplies and Services,M,Community,Central Transport,171,Equipment,2021-12-15,200446,BARRY CARTER MOTOR PRODUCTS LTD,3638849,227.45,Claro Road Depot
O8,Supplies and Services,M,Community,Central Transport,171,Equipment,2021-12-01,200446,BARRY CARTER MOTOR PRODUCTS LTD,3638837,322.96,Claro Road Depot
O8,Supplies and Services,M,Community,Central Transport,171,Equipment,2021-12-29,200446,BARRY CARTER MOTOR PRODUCTS LTD,3639489,534.00,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-01,202281,BUCHER MUNICIPAL LTD,3638859,455.22,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-01,202281,BUCHER MUNICIPAL LTD,3638858,496.36,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-15,201012,CROSSROADS TRUCK & BUS,3638894,542.25,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-08,201056,DENNIS EAGLE LTD,3638652,-446.70,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-01,201056,DENNIS EAGLE LTD,3638902,246.38,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-20,201056,DENNIS EAGLE LTD,3640124,284.73,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-29,201056,DENNIS EAGLE LTD,3639499,294.80,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-08,201056,DENNIS EAGLE LTD,3638903,226.78,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-08,201056,DENNIS EAGLE LTD,3638903,155.05,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-29,201056,DENNIS EAGLE LTD,3639507,368.28,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-29,201056,DENNIS EAGLE LTD,3639507,9.96,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-29,201056,DENNIS EAGLE LTD,3639507,2.81,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-29,201056,DENNIS EAGLE LTD,3639507,14.50,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-01,201056,DENNIS EAGLE LTD,3638901,246.38,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-01,201056,DENNIS EAGLE LTD,3638901,184.93,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-22,201056,DENNIS EAGLE LTD,3639295,136.14,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-22,201056,DENNIS EAGLE LTD,3639295,257.64,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-22,201056,DENNIS EAGLE LTD,3639295,435.93,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-15,201056,DENNIS EAGLE LTD,3639274,1567.30,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-06,201056,DENNIS EAGLE LTD,3638745,2114.66,Claro Road Depot
O8,Transport,M,Community,Central Transport,452,Tyres/Tubes,2021-12-29,226519,DIRECT TYRE MANAGEMENT LTD,3639505,6003.61,
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-08,221344,FORD MOTOR COMPANY LTD,3639547,243.63,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-22,201599,GIBSONS GARDEN MACHINERY LTD,3639533,499.03,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-15,202796,MEND A HOSE HYDRAULICS LTD,3639183,540.12,Claro Road Depot
O8,GF Balance Movements/Other,M,Community,Central Transport,A71,Stock Purchases,2021-12-01,224546,RIX PETROLEUM (HULL) LIMITED,3638055,373.70,
O8,GF Balance Movements/Other,M,Community,Central Transport,A71,Stock Purchases,2021-12-08,224546,RIX PETROLEUM (HULL) LIMITED,3638308,391.51,
O8,GF Balance Movements/Other,M,Community,Central Transport,A71,Stock Purchases,2021-12-29,224546,RIX PETROLEUM (HULL) LIMITED,3639599,415.17,
O8,GF Balance Movements/Other,M,Community,Central Transport,A71,Stock Purchases,2021-12-22,224546,RIX PETROLEUM (HULL) LIMITED,3639305,703.00,
O8,GF Balance Movements/Other,M,Community,Central Transport,A71,Stock Purchases,2021-12-15,224546,RIX PETROLEUM (HULL) LIMITED,3639200,725.32,
O8,GF Balance Movements/Other,M,Community,Central Transport,A71,Stock Purchases,2021-12-08,224546,RIX PETROLEUM (HULL) LIMITED,3638307,11897.24,
O8,GF Balance Movements/Other,M,Community,Central Transport,A71,Stock Purchases,2021-12-29,224546,RIX PETROLEUM (HULL) LIMITED,3639598,12033.10,
O8,GF Balance Movements/Other,M,Community,Central Transport,A71,Stock Purchases,2021-12-01,224546,RIX PETROLEUM (HULL) LIMITED,3638131,12051.00,
O8,GF Balance Movements/Other,M,Community,Central Transport,A71,Stock Purchases,2021-12-22,224546,RIX PETROLEUM (HULL) LIMITED,3639306,13740.33,
O8,GF Balance Movements/Other,M,Community,Central Transport,A71,Stock Purchases,2021-12-15,224546,RIX PETROLEUM (HULL) LIMITED,3639199,13939.34,
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-08,216424,S & W SERVICES (YORKSHIRE) LTD,3639033,316.00,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-08,216424,S & W SERVICES (YORKSHIRE) LTD,3639032,484.22,Claro Road Depot
O8,Supplies and Services,M,Community,Central Transport,171,Equipment,2021-12-20,203786,SAFETYKLEEN UK LTD,3640517,227.95,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-01,204118,TERBERG MATEC UK,3638771,221.76,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-08,204118,TERBERG MATEC UK,3639036,256.95,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-29,204118,TERBERG MATEC UK,3640235,265.32,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-29,204118,TERBERG MATEC UK,3640231,316.80,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-08,204118,TERBERG MATEC UK,3639026,369.69,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-29,204118,TERBERG MATEC UK,3640234,417.97,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-08,204118,TERBERG MATEC UK,3639107,426.88,Claro Road Depot
O8,Transport,M,Community,Central Transport,447,Spares/Consumables Direct Purchase,2021-12-29,205683,THE AUTOGLAZIERS,3640246,220.00,Claro Road Depot
O8,Employees,A,Community,Civil Contingencies,054,Non Qualification Training,2021-12-13,201722,HAMBLETON DISTRICT COUNCIL,3640123,500.00,Non qualification training
O8,Employees,A,Community,Commercial Services,019,Temporary Staff,2021-12-29,227245,4 PLANNING DELIVERY LIMITED,3639466,1800.00,Temporary Staff
O8,Employees,A,Community,Commercial Services,057,Professional Subscriptions,2021-12-01,200822,CHARTERED INSTITUTE OF ENVIRONMENTAL HEALTH,3639249,1613.25,
O8,Premises,A,Community,Community Safety,087,Payments to Ext Contractors,2021-12-01,203118,OFCOM,3639172,300.00,1 6L2246
O8,Supplies and Services,A,Community,Community Safety,298,Surveys & Information,2021-12-15,230638,RAW CREATIVE (YORKSHIRE) LTD,3638841,750.00,Surveys and Information
O8,Supplies and Services,A,Community,Community Safety,298,Surveys & Information,2021-12-29,202024,TIG,3639479,245.00,Surveys and Information
O8,Supplies and Services,A,Community,Community Safety,298,Surveys & Information,2021-12-29,202024,TIG,3639480,350.00,Surveys and Information
O8,Premises,A,Community,Community Safety,072,Planned Maintenance,2021-12-29,227085,VIZSEC (UK) LTD T/A VISUAL SECURITY SYSTEMS,3639334,1980.83,Maintenance of CCTV System
O8,Supplies and Services,A,Community,Enviromental Protection,287,Kennelling Fees,2021-12-01,202983,"CE, MJ & CR NELSON T/A NIDDERDALE BOARDING KENNELS",3638855,930.00,
O8,Employees,A,Community,Enviromental Protection,057,Professional Subscriptions,2021-12-01,200822,CHARTERED INSTITUTE OF ENVIRONMENTAL HEALTH,3639249,1434.00,
O8,Premises,A,Community,Footway Lighting,118,Harrogate & Ripon Xmas Lights,2021-12-08,200531,BOROUGHBRIDGE & DISTRICT CHAMBER OF TRADE,3639653,1000.00,PQ Match Grant Boroughbridge Christmas Lights 2122
O8,Premises,A,Community,Footway Lighting,118,Harrogate & Ripon Xmas Lights,2021-12-01,200531,BOROUGHBRIDGE & DISTRICT CHAMBER OF TRADE,3639075,1500.00,PQ Core Grant Boroughbridge Christmas Lights 2122
O8,Premises,A,Community,Footway Lighting,118,Harrogate & Ripon Xmas Lights,2021-12-01,226635,HARROGATE BID LIMITED,3639071,3000.00,PQ Core Grant Harrogate BID Chrismas Lights 2122
O8,Premises,A,Community,Footway Lighting,118,Harrogate & Ripon Xmas Lights,2021-12-01,202416,KNARESBOROUGH TOWN COUNCIL,3639073,3000.00,PQ Core Grant Knaresborough Christmas Lights 2122
O8,Premises,A,Community,Footway Lighting,118,Harrogate & Ripon Xmas Lights,2021-12-01,224551,MASHAM CHRISTMAS LIGHTING APPEAL,3639078,1000.00,PQ Core and Match Grant Masham Christmas Lights 2122
O8,Premises,A,Community,Footway Lighting,118,Harrogate & Ripon Xmas Lights,2021-12-01,224551,MASHAM CHRISTMAS LIGHTING APPEAL,3639078,1500.00,PQ Core and Match Grant Masham Christmas Lights 2122
O8,Premises,A,Community,Footway Lighting,118,Harrogate & Ripon Xmas Lights,2021-12-01,203267,PATELEY BRIDGE TOWN COUNCIL,3639076,1500.00,PQ Core  and  Match Grant Pateley Br Christmas 2122
O8,Premises,A,Community,Footway Lighting,118,Harrogate & Ripon Xmas Lights,2021-12-01,203267,PATELEY BRIDGE TOWN COUNCIL,3639076,1000.00,PQ Core  and  Match Grant Pateley Br Christmas 2122
O8,Premises,A,Community,Footway Lighting,118,Harrogate & Ripon Xmas Lights,2021-12-01,203600,RIPON CITY COUNCIL,3639072,3000.00,PQ Core Grant Ripon Christmas Lights 2122
O8,Premises,A,Community,Footway Lighting,118,Harrogate & Ripon Xmas Lights,2021-12-01,227715,STARBECK CHRISTMAS LIGHTS APPEAL,3639083,1000.00,PQ Match Grant Starbeck Christmas Lights 2021
O8,Premises,A,Community,Footway Lighting,118,Harrogate & Ripon Xmas Lights,2021-12-01,227715,STARBECK CHRISTMAS LIGHTS APPEAL,3639074,1500.00,PQ Core Grant Starbeck Christmas Lights 2122
O8,Premises,M,Community,Highways,102,Reactive Repairs & Maint - F&F,2021-12-01,219386,FLOWBIRD SMART CITY UK LIMITED,3638039,25067.70,
O8,Supplies and Services,M,Community,Highways,283,Credit Card Fees,2021-12-08,219386,FLOWBIRD SMART CITY UK LIMITED,3639096,3768.78,
O8,Supplies and Services,L,Community,Highways,283,Credit Card Fees,2021-12-08,219386,FLOWBIRD SMART CITY UK LIMITED,3639096,268.71,
O8,Supplies and Services,M,Community,Highways,292,Credit Card Services,2021-12-08,219386,FLOWBIRD SMART CITY UK LIMITED,3639153,507.00,
O8,Supplies and Services,M,Community,Highways,292,Credit Card Services,2021-12-01,230271,GO2SIM LTD,3638730,234.00,Various
O8,Supplies and Services,L,Community,Highways,292,Credit Card Services,2021-12-01,230271,GO2SIM LTD,3638730,12.00,Various
O8,Supplies and Services,A,Community,Homelessness,327,Security services/costs,2021-12-29,230361,4 SITE SECURITY SERVICES LTD,3640253,318.40,
O8,Supplies and Services,A,Community,Homelessness,327,Security services/costs,2021-12-29,230361,4 SITE SECURITY SERVICES LTD,3640254,597.00,
O8,Supplies and Services,A,Community,Homelessness,297,Bed & Breakfast Payments,2021-12-01,229250,EBOR MOUNT GUEST HOUSE,3639260,1310.00,
O8,Supplies and Services,A,Community,Homelessness,297,Bed & Breakfast Payments,2021-12-29,229250,EBOR MOUNT GUEST HOUSE,3640707,2350.00,
O8,Employees,A,Community,Homelessness,054,Non Qualification Training,2021-12-01,230729,IGPP LIMITED,3639250,480.00,Non Qualification Training
O8,Employees,A,Community,Homelessness,019,Temporary Staff,2021-12-08,224133,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3639622,210.56,Temporary Staff
O8,Employees,A,Community,Homelessness,019,Temporary Staff,2021-12-15,224133,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3640164,773.30,Temporary Staff
O8,Employees,A,Community,Homelessness,019,Temporary Staff,2021-12-15,224133,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3640165,773.30,Temporary Staff
O8,Employees,A,Community,Homelessness,019,Temporary Staff,2021-12-13,224133,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3640099,781.67,Temporary Staff
O8,Employees,A,Community,Homelessness,019,Temporary Staff,2021-12-06,224133,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3639279,810.30,Temporary Staff
O8,Employees,A,Community,Homelessness,019,Temporary Staff,2021-12-15,224133,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3640166,810.30,Temporary Staff
O8,Employees,A,Community,Homelessness,019,Temporary Staff,2021-12-13,224133,JAMES ANDREWS RECRUITMENT SOLUTIONS LTD,3640147,887.94,Temporary Staff
O8,Supplies and Services,A,Community,Homelessness,429,Misc Expenditure Non-Vatable,2021-12-06,223583,KARL HANOVER PROPERTIES LTD,3638923,525.00,PQ Flat 2
O8,Supplies and Services,A,Community,Homelessness,429,Misc Expenditure Non-Vatable,2021-12-06,223583,KARL HANOVER PROPERTIES LTD,3639291,525.00,PQ Paper bond payment
O8,Supplies and Services,A,Community,Homelessness,429,Misc Expenditure Non-Vatable,2021-12-08,215119,LENTIN SMITH,3639661,923.00,PQ Deposit Payment
O8,Supplies and Services,A,Community,Homelessness,299,Other Services,2021-12-08,213124,MARTIN & CO,3639652,540.00,PQ Rent in advance and bond
O8,Supplies and Services,A,Community,Homelessness,429,Misc Expenditure Non-Vatable,2021-12-08,213124,MARTIN & CO,3639652,807.00,PQ Rent in advance and bond
O8,Employees,A,Community,Homelessness,054,Non Qualification Training,2021-12-01,220216,MELANIE CANT,3639173,300.00,
O8,Employees,A,Community,Homelessness,019,Temporary Staff,2021-12-15,229294,PARK AVENUE RECRUITMENT LTD,3638994,572.00,Temporary Staff
O8,Employees,A,Community,Homelessness,019,Temporary Staff,2021-12-22,229294,PARK AVENUE RECRUITMENT LTD,3639302,572.00,Temporary Staff
O8,Employees,A,Community,Homelessness,019,Temporary Staff,2021-12-08,229294,PARK AVENUE RECRUITMENT LTD,3638484,585.00,Temporary Staff
O8,Employees,A,Community,Homelessness,019,Temporary Staff,2021-12-29,229294,PARK AVENUE RECRUITMENT LTD,3640133,585.00,Temporary Staff
O8,Supplies and Services,A,Community,Homelessness,297,Bed & Breakfast Payments,2021-12-13,220920,THE WHITE HORSE,3639671,462.23,
O8,Supplies and Services,A,Community,Homelessness,299,Other Services,2021-12-20,230764,THIRTEEN HOUSING GROUP LTD,3640529,597.91,PQ Rent in advance
O8,Transport,D,Community,Housing Development,451,Fuel/Oil,2021-12-13,200227,ALLSTAR BUSINESS SOLUTIONS LTD,3639392,21.56,AS60046921
O8,Premises,D,Community,Housing Development,087,Payments to Ext Contractors,2021-12-20,230253,ARK ELECTRICAL PROJECT LTD,3640104,720.00,
O8,Premises,D,Community,Housing Development,087,Payments to Ext Contractors,2021-12-20,230253,ARK ELECTRICAL PROJECT LTD,3640104,300.00,
O8,Premises,D,Community,Housing Development,087,Payments to Ext Contractors,2021-12-20,230253,ARK ELECTRICAL PROJECT LTD,3640104,-300.00,
O8,Supplies and Services,A,Community,Housing Development,361,Subsistence,2021-12-20,218268,CORPORATE TRAVEL MANAGEMENT (NORTH) LTD,3640074,97.55,Redacted - Personal Data
O8,Transport,A,Community,Housing Development,471,Travel,2021-12-20,218268,CORPORATE TRAVEL MANAGEMENT (NORTH) LTD,3640074,64.00,Redacted - Personal Data
O8,Premises,D,Community,Housing Development,087,Payments to Ext Contractors,2021-12-20,228871,CSY HOLDINGS LIMITED,3639618,540.00,Repair Access Scaffolds
O8,Premises,D,Community,Housing Development,087,Payments to Ext Contractors,2021-12-20,228871,CSY HOLDINGS LIMITED,3638925,1150.00,
O8,Supplies and Services,A,Community,Housing Development,433,Other Supplies & Services,2021-12-01,201722,HAMBLETON DISTRICT COUNCIL,3639241,4000.00,Annual contribution to YNYER
O8,Supplies and Services,D,Community,Housing Development,201,Materials,2021-12-22,226851,HOWARTH TIMBER & BUILDING SUPPLIES LTD (HARROGATE),3639536,380.76,IHMT
O8,Supplies and Services,D,Community,Housing Development,201,Materials,2021-12-22,226851,HOWARTH TIMBER & BUILDING SUPPLIES LTD (HARROGATE),3639535,849.48,IHMT
O8,Transport,D,Community,Housing Development,461,Hire of Vehicles/Plant,2021-12-20,200249,NORTHGATE VEHICLE HIRE LTD,3639986,233.80,IHMT
O8,Transport,D,Community,Housing Development,461,Hire of Vehicles/Plant,2021-12-20,200249,NORTHGATE VEHICLE HIRE LTD,3640010,233.80,IHMT
O8,Transport,D,Community,Housing Development,461,Hire of Vehicles/Plant,2021-12-15,200249,NORTHGATE VEHICLE HIRE LTD,3640028,233.80,IHMT
O8,Transport,D,Community,Housing Development,461,Hire of Vehicles/Plant,2021-12-20,200249,NORTHGATE VEHICLE HIRE LTD,3640015,240.24,IHMT
O8,Transport,D,Community,Housing Development,461,Hire of Vehicles/Plant,2021-12-29,200249,NORTHGATE VEHICLE HIRE LTD,3640021,245.24,
O8,Transport,D,Community,Housing Development,461,Hire of Vehicles/Plant,2021-12-20,200249,NORTHGATE VEHICLE HIRE LTD,3639979,258.16,IHMT
O8,Transport,D,Community,Housing Development,461,Hire of Vehicles/Plant,2021-12-20,200249,NORTHGATE VEHICLE HIRE LTD,3640020,258.16,IHMT
O8,Transport,D,Community,Housing Development,461,Hire of Vehicles/Plant,2021-12-20,200249,NORTHGATE VEHICLE HIRE LTD,3640023,258.16,IHMT
O8,Transport,D,Community,Housing Development,461,Hire of Vehicles/Plant,2021-12-20,200249,NORTHGATE VEHICLE HIRE LTD,3639978,425.32,IHMT
O8,Premises,D,Community,Housing Development,087,Payments to Ext Contractors,2021-12-20,227507,R H FULLWOOD & CO LTD,3640171,74886.87,Fairfax Avenue Valuation Nr 6
O8,Supplies and Services,D,Community,Housing Development,339,Fixed Assets greater than 5k,2021-12-01,230147,STONEBRIDGE HOMES LIMITED,3639244,56610.00,
O8,Supplies and Services,D,Community,Housing Development,201,Materials,2021-12-22,204321,TRAVIS PERKINS,3640205,252.14,IHMT
O8,Supplies and Services,D,Community,Housing Development,201,Materials,2021-12-08,204321,TRAVIS PERKINS,3639567,281.87,IHMT
O8,Supplies and Services,D,Community,Housing Development,201,Materials,2021-12-15,204321,TRAVIS PERKINS,3639551,293.40,IHMT
O8,Supplies and Services,D,Community,Housing Development,201,Materials,2021-12-15,204321,TRAVIS PERKINS,3639563,294.04,IHMT
O8,Supplies and Services,D,Community,Housing Development,201,Materials,2021-12-08,204321,TRAVIS PERKINS,3639593,297.58,IHMT
O8,Supplies and Services,D,Community,Housing Development,201,Materials,2021-12-08,204321,TRAVIS PERKINS,3639577,311.33,IHMT
