Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,TransNo,Net Amount,Narrative
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2015-07-29,BEMROSE BOOTH PARAGON LTD,4634428,1083.17,CREDIT TRANS 4634390
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2015-07-01,BEMROSE BOOTH PARAGON LTD,4632040,395.00,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2015-07-01,BEMROSE BOOTH PARAGON LTD,4632040,14.00,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2015-07-29,BEMROSE BOOTH PARAGON LTD,4634390,1128.17,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2015-07-29,BEMROSE BOOTH PARAGON LTD,4634393,1132.80,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2015-07-29,BEMROSE BOOTH PARAGON LTD,4634393,45.00,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2015-07-29,BEMROSE BOOTH PARAGON LTD,4634393,75.00,
Harrogate Borough Council,Premises,R,Community,Car Parking,Pay & Display Parking Machines,2015-07-15,ELECTROMECH ECS LTD,4633026,311.70,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Court Fees,2015-07-29,HER MAJESTY?S COURTS SERVICE,4634678,5000.00,To register cases at the TEC
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Court Fees,2015-07-29,HER MAJESTY?S COURTS SERVICE,4634678,5000.00,To register cases at the TEC
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,Court Fees,2015-07-29,HER MAJESTY?S COURTS SERVICE,4634678,720.00,To register cases at the TEC
Harrogate Borough Council,Premises,R,Community,Car Parking,Pay & Display Parking Machines,2015-07-22,METRIC GROUP LTD,4632974,380.60,
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4633561,287.80,29052013
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4633568,287.80,29052013
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2015-07-06,NORTHGATE VEHICLE HIRE LTD,4633191,19.00,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2015-07-06,NORTHGATE VEHICLE HIRE LTD,4633191,19.00,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634590,532.00,Vehicle Monitoring
Harrogate Borough Council,Transport,R,Community,Car Parking,Hire of Vehicles/Plant,2015-07-29,NORTHGATE VEHICLE HIRE LTD,4634590,532.00,Vehicle Monitoring
Harrogate Borough Council,Premises,R,Community,Car Parking,Rents & Wayleaves,2015-07-15,WHARFEDALE FINANCE CO.,4633430,850.00,Car Park Station Road Pannal
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-27,ALLSTAR BUSINESS SOLUTIONS LTD,4633498,6.85,Jun Fuel
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,66.03,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,21.00,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,169.01,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,21.00,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,35.04,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,14.27,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,24.58,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,14.27,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,227.24,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,1305.01,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,456.14,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,354.03,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,456.14,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,354.03,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,456.14,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,694.12,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,1508.95,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,354.03,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,488.43,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,227.24,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,439.12,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,456.14,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,465.81,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,227.24,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,531.90,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,100.72,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,501.15,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,102.60,ATS TYRES JUNE 2015
Harrogate Borough Council,Transport,R,Community,Central Transport,Tyres/Tubes,2015-07-29,ATS EUROMASTER LTD,4633596,81.18,ATS TYRES JUNE 2015
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2015-07-15,BARRY CARTER MOTOR PRODUCTS LTD,4633482,249.95,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2015-07-22,BARRY CARTER MOTOR PRODUCTS LTD,4633483,253.34,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-22,BARRY CARTER MOTOR PRODUCTS LTD,4633480,129.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-22,BARRY CARTER MOTOR PRODUCTS LTD,4633480,129.00,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Protective Clothing,2015-07-22,BERENDSEN UK LTD,4634013,2642.36,CLARO ROAD DEPOT
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2015-07-22,BRADBURY EQUIPMENT,4634654,474.00,171 5631
Harrogate Borough Council,Employees,R,Community,Central Transport,Staff Advertising,2015-07-08,CIWM ENTERPRISES LTD,4632123,450.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-01,DENNIS EAGLE LTD,4631813,222.40,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,DENNIS EAGLE LTD,4632563,254.78,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-08,DENNIS EAGLE LTD,4632190,457.38,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,DENNIS EAGLE LTD,4632564,457.38,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-08,DENNIS EAGLE LTD,4632567,577.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,DENNIS EAGLE LTD,4632884,1843.65,MONTHLY ORDER
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-29,FUCHS LUBRICANTS (UK) PLC,4634458,325.95,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-01,FUCHS LUBRICANTS (UK) PLC,4633024,2010.00,
Harrogate Borough Council,Supplies and Services,R,Community,Central Transport,Equipment,2015-07-22,GEMCO EQUIPMENT LTD,4633323,495.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-29,GOLF AND TURF MACHINERY,4634464,244.60,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,GOLF AND TURF MACHINERY,4633449,345.09,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-29,HALL FUELS,4633977,239.03,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-01,HALL FUELS,4632177,243.35,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-22,HALL FUELS,4633422,478.48,Claro Road Depot
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-15,HALL FUELS,4632971,487.69,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-08,HALL FUELS,4632486,488.00,Claro Road Depot
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-01,HALL FUELS,4632178,9364.87,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-15,HALL FUELS,4632972,9368.00,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-29,HALL FUELS,4633976,11122.25,
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-22,HALL FUELS,4633440,11133.06,Claro Road Depot
Harrogate Borough Council,GF Balance Movements/Other,R,Community,Central Transport,Stock Purchases,2015-07-08,HALL FUELS,4632623,11295.27,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-08,MIKE WILSON MOTORS,4632029,225.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-08,MIKE WILSON MOTORS,4632214,170.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-08,MIKE WILSON MOTORS,4632214,170.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-08,MIKE WILSON MOTORS,4632028,565.00,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,MITCHELL DIESEL LTD,4633001,8100.59,
Harrogate Borough Council,Transport,R,Community,Central Transport,Spares/Consumables Direct Purchase,2015-07-15,NORTH YORKSHIRE COMMERCIALS LTD,4633783,113.00,MOT TEST
