Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,TransNo,Net Amount,Narrative
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,7.00,206783/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,12.00,206784/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,12.00,206785/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,6.00,206786/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,95.00,206754/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,16.00,206755/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,12.00,206756/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,40.00,206757/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,46.00,206758/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,12.00,206759/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,7.00,206767/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,8.00,206769/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,10.00,206770/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,5.00,206771/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,15.00,206772/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,8.00,206773/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,4.00,206774/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,6.00,206790/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,23.00,206791/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,12.50,206792/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,4.00,206793/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,20.00,206794/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,COXON BROTHERS,1576295,30.00,206795/1
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-20,ELITE SCAFFOLDING YORKSHIRE LTD,4634041,300.00,ihmt
Harrogate Borough Council,Transport,R,Community,Repairs & Maintenance,Hire of Vehicles/Plant,2015-07-20,ELITE SCAFFOLDING YORKSHIRE LTD,4634042,1512.00,ihmt
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-15,GLOBAL ENVIRONMENTAL EXCELLENCE LTD,1576363,225.00,182489/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Electrical Repairs & Maint,2015-07-22,GLOBAL ENVIRONMENTAL EXCELLENCE LTD,1576750,225.00,182490/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206496/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206497/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206498/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206499/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206500/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206501/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206502/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206489/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206490/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206491/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206492/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206493/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206494/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206495/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206482/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206517/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206518/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206519/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206520/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206521/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206522/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206479/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206483/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206484/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206485/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206486/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206487/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206488/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206512/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206515/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206516/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206510/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206511/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206513/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206514/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206503/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206504/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206505/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206506/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206507/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206508/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-15,GREENDALE LTD,1575966,35.00,206509/1
Harrogate Borough Council,Supplies and Services,R,Community,Repairs & Maintenance,Materials,2015-07-29,H BEARDMORE DOBSON & SONS LTD,4633936,225.47,prop serv
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2015-07-27,HACS CIVIL ENGINEERING LLP,4633187,2674.25,
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2015-07-01,HAMBLETON ROOFING LTD,1573028,258.65,204213/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2015-07-22,HAMBLETON ROOFING LTD,1576778,882.90,193897/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Planned Repairs,2015-07-22,HAMBLETON ROOFING LTD,1576776,810.42,190223/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Payments to Ext Contractors,2015-07-01,HAVEN BUILDING & MAINTENANCE,1573029,256.00,201579/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-29,HELP-LINK UK LTD,1577054,297.50,207724/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575971,98.16,201952/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575971,98.16,195421/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575971,98.16,202085/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575971,20.60,201989/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575971,98.16,197917/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575971,98.16,199698/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575971,98.16,202171/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575971,98.16,199678/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575971,98.16,202066/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575971,98.16,192318/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575971,20.60,201991/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575971,98.16,197987/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575971,10.30,201990/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575971,98.16,195403/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,98.16,202093/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,98.16,202090/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,98.16,202033/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,10.30,202213/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,10.30,201995/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,98.16,202194/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,98.16,202097/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,98.16,202070/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,98.16,202095/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,10.30,201996/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,98.16,202094/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,98.16,202069/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,98.16,197876/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,98.16,202088/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,98.16,202177/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,98.16,202004/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,98.16,202116/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,98.16,202077/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,98.16,202089/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,20.60,202211/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575972,98.16,202099/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,204672/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,199795/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,10.30,202212/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,201975/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,20.60,202202/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,197878/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,199661/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,202014/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,202009/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,195339/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,202000/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,206685/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,202087/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,199906/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,202086/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,199887/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,202134/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,199666/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,202129/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,201918/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,202091/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,202154/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575973,98.16,201938/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,202121/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,197775/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,204123/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,199777/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,197802/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,192006/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,199844/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,204235/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,197858/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,202024/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,202013/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,197806/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,202003/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,197678/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,201970/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,204002/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,195187/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,202196/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,198027/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,202137/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,197702/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575974,98.16,201925/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204082/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204190/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204238/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204183/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204240/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204184/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204239/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204081/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204194/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204192/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204091/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204191/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204237/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204189/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,198012/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204244/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204236/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204181/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204083/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204086/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204186/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204242/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-08,HELP-LINK UK LTD,1575985,98.16,204084/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-22,HELP-LINK UK LTD,1576746,98.16,204297/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-22,HELP-LINK UK LTD,1576746,98.16,204296/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-22,HELP-LINK UK LTD,1576746,98.16,204274/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-22,HELP-LINK UK LTD,1576746,98.16,204293/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-22,HELP-LINK UK LTD,1576746,98.16,204247/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-22,HELP-LINK UK LTD,1576746,98.16,204300/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-22,HELP-LINK UK LTD,1576746,98.16,204276/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-22,HELP-LINK UK LTD,1576746,98.16,204299/1
Harrogate Borough Council,Premises,R,Community,Repairs & Maintenance,Heating  Maintenance,2015-07-22,HELP-LINK UK LTD,1576746,98.16,204253/1
