Body Name,Expenditure Category,Capital /Revenue,Service Label,Service Code,Expenditure Code,Expenditure Code,Payment date,Supplier Name,Supplier Name,Transaction No.,Net Amount,Narrative
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,171,Equipment,2022-06-29,204632,ARJO UK LTD,6001084,697.49,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,278,Licence Fees,2022-06-27,226435,BRAMBLE HUB LIMITED,6001171,800.00,Licence Fees
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,212,Purchase of Chemicals,2022-06-06,200207,BRENNTAG UK LIMITED,6000959,221.42,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,212,Purchase of Chemicals,2022-06-08,200207,BRENNTAG UK LIMITED,6000982,388.00,
Brimhams Active,GF Balance Movements/Other,R,Corporate Affairs,Human Resources,A03,Debits,2022-06-08,205926,COMPUTERSHARE VOUCHER SERVICES,6001086,320.00,
Brimhams Active,GF Balance Movements/Other,R,Corporate Affairs,Human Resources,A03,Debits,2022-06-08,205926,COMPUTERSHARE VOUCHER SERVICES,6001086,6.40,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,171,Equipment,2022-06-22,221215,CRYSTAL RADIO SYSTEMS LTD,6001095,367.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,263,Marketing/Promotion,2022-06-01,224171,DANUK INNOVATIVE GIFTS LIMITED,6001052,590.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,231,Catering - Direct Purchases,2022-06-06,225974,DAVID MILLER FROZEN FOODS LTD,6000960,303.32,Catering Direct Purchases
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,201,Materials,2022-06-08,220582,DAVINES UK LTD,6000955,1256.50,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,178,Saleable Items,2022-06-08,220582,DAVINES UK LTD,6000956,864.35,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,243,Laundry,2022-06-22,204247,ELIS UK LIMITED,6001140,13389.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,243,Laundry,2022-06-27,204247,ELIS UK LIMITED,6001141,15215.40,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,201,Materials,2022-06-22,201322,ELLISONS,6001007,252.20,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,178,Saleable Items,2022-06-22,201596,GERRARD INTERNATIONAL LTD,6001059,278.55,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,171,Equipment,2022-06-29,230580,GLADSTONE MRM LTD,6001120,237.50,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,171,Equipment,2022-06-29,230580,GLADSTONE MRM LTD,6001120,209.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,246,Stationery/ Office Consumables,2022-06-29,230580,GLADSTONE MRM LTD,6001120,2250.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,246,Stationery/ Office Consumables,2022-06-29,230580,GLADSTONE MRM LTD,6001120,39.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,246,Stationery/ Office Consumables,2022-06-29,230580,GLADSTONE MRM LTD,6001120,15.00,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,171,Equipment,2022-06-22,202192,J P LENNARD LTD,6001099,279.90,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,178,Saleable Items,2022-06-15,202192,J P LENNARD LTD,6001043,219.56,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,206,Cleaning Materials,2022-06-22,230068,JANGRO NETWORK LIMITED,6001006,314.25,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,206,Cleaning Materials,2022-06-08,230068,JANGRO NETWORK LIMITED,6000967,350.52,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,178,Saleable Items,2022-06-15,204625,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6001102,103.32,
Brimhams Active,Supplies and Services,R,"Economy, Environment & Housing (Economy & Culture to 21/22)",Sport & Leisure,178,Saleable Items,2022-06-15,204625,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6001102,122.40,
