Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Pay date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Arboriculture,Fuel/Oil,2018-03-07,ALLSTAR BUSINESS SOLUTIONS LTD,4692046,24.13,AS60046921
Harrogate Borough Council,Premises,R,Community,Arboriculture,Payments to Ext Contractors,2018-03-21,ASHTEAD PLANT HIRE CO LTD,4693744,255.66,DEINSTALLATION CHARGE
Harrogate Borough Council,Premises,R,Community,Arboriculture,Payments to Ext Contractors,2018-03-14,RADIODETECTION LTD,4692929,238.98,CAT4 Service
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,2018-03-26,ALLSTAR BUSINESS SOLUTIONS LTD,4694981,58.5,AS60046921
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,2018-03-14,BERENDSEN UK LTD,4693527,267.21,HARROGATE BC CEMETERY
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,2018-03-21,BROOK STREET (UK) LTD,4694642,444.12,REDACTED-PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,2018-03-14,BROOK STREET (UK) LTD,4694094,585.43,REDACTED-PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,2018-03-07,BROOK STREET (UK) LTD,4693283,605.62,REDACTED-PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,2018-03-07,BROOK STREET (UK) LTD,4693626,605.62,REDACTED-PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,2018-03-28,BROOK STREET (UK) LTD,4695096,605.62,REDACTED-PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2018-03-07,DR CHRISTIAN LACHMANN,4693956,832.5,DrC Lachmann February 201 8 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2018-03-07,DR R SPENCER,4693948,925,Dr R Spencer Feburary 201 8 monthly payment
