Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Pay date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Miscellaneous Expenditure,2018-02-19,ALLANSOUND COMMUNICATIONS,4692737,285,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,2018-02-14,BERENDSEN UK LTD,4691720,331.65,HARROGATE BC CEMETERY
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Grounds Maintenance Grants,2018-02-19,BOROUGHBRIDGE TOWN COUNCIL,4692761,2999.22,Annual maintenance grants 201617
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,2018-02-12,BROOK STREET (UK) LTD,4692409,484.5,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,2018-02-21,BROOK STREET (UK) LTD,4692834,532.95,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,2018-02-07,BROOK STREET (UK) LTD,4692047,605.62,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,2018-02-14,BROOK STREET (UK) LTD,4692390,605.62,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2018-02-05,DR CHRISTIAN LACHMANN,4691748,1036.00,Dr C Lachmann January 2018 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2018-02-05,DR R SPENCER,4691746,1295.00,Dr R Spencer January 2018 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2018-02-05,DR VIVIENNE JAYNE POSKITT,4691749,1165.50,Dr V Poskitt January 2018 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2018-02-14,FALON NAMEPLATES LTD,4691442,742.85,Cast Bronze
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,2018-02-28,HARROGATE TIMBER LTD,4692248,150,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,2018-02-28,HARROGATE TIMBER LTD,4692248,300,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Subscriptions,2018-02-21,ICCM PAYMENTS,4692551,310,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Hort Materials - Direct Purchase,2018-02-21,SHIRE AGGREGATES BULK LTD,4691831,184.83,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,2018-02-07,TELESHORE UK LTD,4692039,797.85,Stonefall Cemetery
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,2018-02-28,WETHERBY SKIP HIRE SERVICES,4692461,200,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2018-02-28,BULLOUGHS CLEANING SERVICES LTD,4691935,295,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2018-02-28,BULLOUGHS CLEANING SERVICES LTD,4693067,641.33,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2018-02-28,BULLOUGHS CLEANING SERVICES LTD,4692977,775.67,
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2018-02-21,CORDANT PEOPLE LIMITED,4692811,261.51,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2018-02-05,CORDANT PEOPLE LIMITED,4690353,329.09,
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2018-02-26,CORDANT PEOPLE LIMITED,4693312,441.99,
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2018-02-28,CORDANT PEOPLE LIMITED,4693334,558.85,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2018-02-26,CORDANT PEOPLE LIMITED,4692810,588.03,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2018-02-21,CORDANT PEOPLE LIMITED,4692815,591.22,
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2018-02-14,CORDANT PEOPLE LIMITED,4692537,787.66,
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2018-02-07,CORDANT PEOPLE LIMITED,4691974,838.7,
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2018-02-26,NORTHGATE VEHICLE HIRE LTD,4692227,243.8,IHMT supplies
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2018-02-26,NORTHGATE VEHICLE HIRE LTD,4692290,243.8,IHMT supplies
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2018-02-26,NORTHGATE VEHICLE HIRE LTD,4692291,304.81,IHMT supplies
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2018-02-19,NORTHGATE VEHICLE HIRE LTD,4692421,57,Vehicle Monitoring
Harrogate Borough Council,Premises,R,Community,Building Cleaning Operations,Refuse Collection/Removal,2018-02-28,PHS GROUP PLC,4692971,213.76,Public Conveniences
Harrogate Borough Council,Premises,R,Community,Building Cleaning Operations,Refuse Collection/Removal,2018-02-26,PHS GROUP PLC,4692972,219.58,Public Conveniences
Harrogate Borough Council,Premises,R,Community,Building Cleaning Operations,Refuse Collection/Removal,2018-02-26,PHS GROUP PLC,4692973,219.58,Public Conveniences
Harrogate Borough Council,Premises,R,Community,Building Cleaning Operations,Refuse Collection/Removal,2018-02-26,PHS GROUP PLC,4692976,219.58,Public Conveniences
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2018-02-19,PHS GROUP PLC,4689883,379.5,Jubilee Multi Storey Car Park
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2018-02-21,PROFESSIONAL PAPER SUPPLIES LTD,4691815,980.05,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Equipment,2018-02-14,CLAAS EASTERN LTD,4692531,322.5,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Miscellaneous Expenditure,2018-02-14,DTMS LTD,4691514,11490.00,
