Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment Date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Arboriculture,Fuel/Oil,2021-10-18,ALLSTAR BUSINESS SOLUTIONS LTD,3634482,65.11,AS60046921
Harrogate Borough Council,Premises,R,Community,Arboriculture,Payments to Ext Contractors,2021-10-20,HEIGHT FOR HIRE LTD,3636650,648.00,Multitel HX200 EX SelfDrive SG
Harrogate Borough Council,Supplies and Services,R,Community,Arboriculture,Miscellaneous Expenditure,2021-10-04,LANDMARK TRADING (STAMFORD) LTD,3634726,819.20,
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,2021-10-13,ALLSTAR BUSINESS SOLUTIONS LTD,3636174,43.20,AS60046921
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,2021-10-18,ALLSTAR BUSINESS SOLUTIONS LTD,3634482,41.27,AS60046921
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,2021-10-20,ARCO LTD,3636310,414.30,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Stationery/Office Consumables,2021-10-06,BANNER GROUP LTD,3636134,53.76,CONSOLIDATED INVOICE
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2021-10-04,DR CHRISTIAN LACHMANN,3636111,1054.50,PQ Dr C Lachmann September 2021 Monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2021-10-04,DR R SPENCER,3636110,388.50,PQ Dr R Spencer September 2021 Monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2021-10-04,DR VIVIENNE JAYNE POSKITT,3636109,962.00,PQ DR V Poskitt September 2021 Monthly Payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2021-10-04,FALON NAMEPLATES LTD,3636013,19.00,Plaques
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2021-10-04,FALON NAMEPLATES LTD,3636013,366.39,Plaques
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Bldg Mgmt Recharged Works,2021-10-18,HACS CIVIL ENGINEERING LLP,3636471,600.00,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Bldg Mgmt Recharged Works,2021-10-18,HACS CIVIL ENGINEERING LLP,3636473,600.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2021-10-04,HILTON CABINET CO LTD,3636014,71.06,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2021-10-04,HILTON CABINET CO LTD,3636014,350.64,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Payments to Ext Contractors,2021-10-04,KIER SERVICES LTD - KIER SERVICES MAINTENANCE SOUTH,3635799,3989.12,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Hire of Equipment,2021-10-20,KITCHING PLANT HIRE LTD,3636748,240.00,LOADALL BUCKET GPB
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Bldg Mgmt Recharged Works,2021-10-25,MEL GREEN CONSTRUCTION LTD,3636949,2700.00,Oatlands Park Wall
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Miscellaneous Expenditure,2021-10-20,VIVEDIA LTD T/A OBITUS,3636758,8280.00,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2021-10-04,BULLOUGHS CLEANING SERVICES LTD,3635624,735.21,Cavendish House 23 Robert Street
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2021-10-20,BULLOUGHS CLEANING SERVICES LTD,3635628,1248.00,Starbeck  Fern House
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2021-10-20,JANGRO NETWORK LIMITED,3636184,259.25,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2021-10-20,JANGRO NETWORK LIMITED,3636187,259.55,
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2021-10-04,NORTHGATE VEHICLE HIRE LTD,3636050,233.80,IHMT
