Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,2017-05-10,ALLSTAR BUSINESS SOLUTIONS LTD,4674538,26.88,AS60046921
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,2017-05-24,ALLSTAR BUSINESS SOLUTIONS LTD,4675391,92.26,AS60046921
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,2017-05-03,ALLSTAR BUSINESS SOLUTIONS LTD,4674093,16.67,AS60046921
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,2017-05-03,BERENDSEN UK LTD,4673980,240.68,HARROGATE BC CEMETERY
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,2017-05-17,BERENDSEN UK LTD,4674299,300.85,HARROGATE BC CEMETERY
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2017-05-10,DR CHRISTIAN LACHMANN,4674756,573.50,April 2017 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2017-05-10,DR R SPENCER,4674755,721.50,April 2017 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2017-05-10,DR VIVIENNE JAYNE POSKITT,4674754,980.50,April 2017 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,2017-05-10,FACULTATIEVE TECHNOLOGIES LTD,4674050,1614.96,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,2017-05-10,FACULTATIEVE TECHNOLOGIES LTD,4674050,75.00,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Bldg Mgmt Recharged Works,2017-05-08,MEMSAFE LTD,4674668,5015.81,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Burial/Mortuary Fees,2017-05-08,NEIL & SONYA MILSTED,4674476,1550.00,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Grounds Maintenance Grants,2017-05-08,ST CUTHBERTS CHURCH,4674555,352.76,Cemetery maintenance grant 2016  17
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,2017-05-03,TURNSIDE MARKETING LIMITED,4673984,695.00,
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2017-05-31,CORDANT PEOPLE LIMITED,4675804,304.75,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-05-10,PROFESSIONAL PAPER SUPPLIES LTD,4673598,629.90,Claro Rd
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2017-05-03,EDEN FARM LTD,4673171,333.86,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2017-05-10,EDEN FARM LTD,4673658,497.84,Valley Gardens Hut
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2017-05-10,EDEN FARM LTD,4673646,538.24,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2017-05-24,EDEN FARM LTD,4674326,541.88,Valley Gardens Games Hut
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2017-05-17,EDEN FARM LTD,4673953,564.64,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,2017-05-03,EDEN FARM LTD,4673860,592.82,Valley Gardens Games Hut
