Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment Date,Supplier Name,Transaction No,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Arboriculture,Fuel/Oil,2017-11-20,ALLSTAR BUSINESS SOLUTIONS LTD,4686884,24.99,AS60046921
Harrogate Borough Council,Premises,R,Community,Arboriculture,Payments to Ext Contractors,2017-11-29,ROB PEAKER,4687745,250,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Payments to Ext Contractors,2017-11-29,A A FOSTER,4686726,615,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,2017-11-15,BERENDSEN UK LTD,4686662,331.65,HARROGATE BC CEMETERY
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,2017-11-15,BROOK STREET (UK) LTD,4686641,484.5,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,2017-11-13,BROOK STREET (UK) LTD,4686644,605.62,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,2017-11-22,BROOK STREET (UK) LTD,4687256,605.62,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,2017-11-29,BROOK STREET (UK) LTD,4687606,605.62,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Computer Consumables,2017-11-22,CLEAR SKIES SOFTWARE LTD,4686730,3050.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2017-11-01,DR CHRISTIAN LACHMANN,4685991,980.5,Payment for medical referee signing cremation papers
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2017-11-01,DR R SPENCER,4686018,592,signing cremation papers Oct 17
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,2017-11-01,DR VIVIENNE JAYNE POSKITT,4685989,1239.50,Dr V Poskitt October 2017 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,2017-11-29,FACULTATIEVE TECHNOLOGIES LTD,4686981,882.48,CARBON REAGENT FACTIVATE
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2017-11-15,FALON NAMEPLATES LTD,4685735,390.8,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2017-11-15,FALON NAMEPLATES LTD,4685735,18,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2017-11-15,HARROGATE TOOL & BOLT LTD,4685737,239.8,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2017-11-15,HARROGATE TOOL & BOLT LTD,4685737,17.12,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2017-11-15,HARROGATE TOOL & BOLT LTD,4685737,5,
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Other Premises Related Costs,2017-11-15,MOOR & VALLEY LTD,4686843,9037.12,Knars and Stonefall cems also installing
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Bldg Mgmt Recharged Works,2017-11-01,SP DAVIS MEMORIALS LIMITED,4685996,342,Refund of Memorial fees K 106 Ripon cemetery
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2017-11-29,STEPHENSONS MEMORIAL WORKS,4687414,261.45,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,2017-11-08,STEPHENSONS MEMORIAL WORKS,4685793,303.6,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2017-11-29,BULLOUGHS CLEANING SERVICES LTD,4686212,295,HBC  Blossomgate Hostel Blossomgate
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2017-11-29,BULLOUGHS CLEANING SERVICES LTD,4686213,641.33,HBC  Cavendish House 23 Robert Street
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,2017-11-29,BULLOUGHS CLEANING SERVICES LTD,4686214,775.67,HBC  Avondale House The Avondale Hostel
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2017-11-13,CORDANT PEOPLE LIMITED,4686542,261.39,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2017-11-15,CORDANT PEOPLE LIMITED,4686658,366.11,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2017-11-15,CORDANT PEOPLE LIMITED,4686657,392.03,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2017-11-13,CORDANT PEOPLE LIMITED,4686556,426.51,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,2017-11-01,CORDANT PEOPLE LIMITED,4685725,470.37,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-11-20,CORDANT PEOPLE LIMITED,4686554,274.28,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-11-20,CORDANT PEOPLE LIMITED,4686627,500,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-11-27,CORDANT PEOPLE LIMITED,4687244,750,REDACTED - PERSONAL DATA
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2017-11-29,NORTHGATE VEHICLE HIRE LTD,4687923,268.21,NV640LB
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2017-11-29,NORTHGATE VEHICLE HIRE LTD,4687924,268.21,NU65 EBK
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,2017-11-29,NORTHGATE VEHICLE HIRE LTD,4687925,268.21,NU65 EBF
Harrogate Borough Council,Premises,R,Community,Building Cleaning Operations,Refuse Collection/Removal,2017-11-13,PHS GROUP PLC,4686619,224.09,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-11-15,PHS GROUP PLC,4686514,230,3827
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-11-15,PHS GROUP PLC,4686515,379.5,3827
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-11-01,PROFESSIONAL PAPER SUPPLIES LTD,4685106,214.6,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-11-08,PROFESSIONAL PAPER SUPPLIES LTD,4685112,219.5,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,2017-11-08,PROFESSIONAL PAPER SUPPLIES LTD,4685107,1091.75,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Hort Materials - Direct Purchase,2017-11-29,BOB COWELL,4687535,287,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Purchase of Garden Waste Sacks,2017-11-08,CROMWELL POLYTHENE LTD,4685057,3973.48,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Waste Disposal Charges,2017-11-22,NORTH YORKSHIRE COUNTY COUNCIL,4686882,40551.83,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Waste Disposal Charges,2017-11-29,NORTH YORKSHIRE COUNTY COUNCIL,4686886,45247.98,
Harrogate Borough Council,Premises,R,Community,Business Development,Cleaning & Hygiene Services,2017-11-29,PAUL WHITAKER,4686297,456,
Harrogate Borough Council,Premises,R,Community,Business Development,Cleaning & Hygiene Services,2017-11-01,PAUL WHITAKER,4684297,684,
Harrogate Borough Council,Premises,R,Community,Business Development,Grounds Maintenance Other,2017-11-29,RAY SKELTON (HARROGATE) LTD,4686468,475,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Miscellaneous Expenditure,2017-11-29,TUNSTON CONSTRUCTION LTD,4687178,4815.00,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Purchase of Bulk Containers,2017-11-08,UK CONTAINER MAINTENANCE LTD,4684987,3106.48,
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-11-20,ALLSTAR BUSINESS SOLUTIONS LTD,4686884,117.09,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-11-20,ALLSTAR BUSINESS SOLUTIONS LTD,4686884,60.24,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-11-20,ALLSTAR BUSINESS SOLUTIONS LTD,4686884,117.09,AS60046921
Harrogate Borough Council,Transport,R,Community,Car Parking,Fuel/Oil,2017-11-20,ALLSTAR BUSINESS SOLUTIONS LTD,4686884,60.24,AS60046921
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2017-11-08,BEMROSE BOOTH PARAGON LTD,4684697,45,
Harrogate Borough Council,Supplies and Services,R,Community,Car Parking,External Printing/Typesetting,2017-11-08,BEMROSE BOOTH PARAGON LTD,4685003,1185.60,
