Body Name,Expenditure Category,Capital / Revenue,Service Label,Service Code,Expenditure Code,Payment Date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Supplies and Services,R,Community,Enviromental Protection,Kennelling Fees,2022-08-31,"CE, MJ & CR NELSON T/A NIDDERDALE BOARDING KENNELS",3654178,930,
Harrogate Borough Council,Premises,R,Community,Enviromental Protection,Payments to Ext Contractors,2022-08-15,PERFORMANCE IN EDUCATION LLP,3653329,3200.00,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Reactive Repairs & Maint - F&F,2022-08-10,ROBINSONS LIGHTING LTD,3653954,307.35,
Harrogate Borough Council,Premises,R,Community,Footway Lighting,Reactive Repairs & Maint - F&F,2022-08-10,ROBINSONS LIGHTING LTD,3653957,750,
Harrogate Borough Council,Supplies and Services,R,Community,Highways,Equipment,2022-08-24,ESE DIRECT LTD,3653350,1798.00,
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Storage,2022-08-15,ANDREW BURLEY T/A A2B REMOVABLES HARROGATE,3654132,480,Storage
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2022-08-22,D HIRST,3654216,625,Redacted  Personal Data
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2022-08-22,D HIRST,3654218,625,Redacted  Personal Data
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2022-08-10,DAVIS LUND LETTING AGENTS,3653774,900,Redacted  Personal Data
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2022-08-31,EBOR MOUNT GUEST HOUSE,3654911,630,
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2022-08-31,EBOR MOUNT GUEST HOUSE,3654824,910,
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2022-08-10,EBOR MOUNT GUEST HOUSE,3654030,1150.00,
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2022-08-10,EBOR MOUNT GUEST HOUSE,3654040,2220.00,
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Furniture,2022-08-01,ESSENTIAL NEEDS,3653287,262.6,
