Body Name,Expenditure Category,Capital / Revenue,Service Label,Service Code,Expenditure Code,Payment Date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-17,PARK AVENUE RECRUITMENT LTD,3653321,1326.00,Temporary Staff
Harrogate Borough Council,Employees,R,Community,Homelessness,Temporary Staff,2022-08-17,PARK AVENUE RECRUITMENT LTD,3653321,1343.00,Temporary Staff
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Outreach Services - Roughsleeper,2022-08-31,PATHFINDER GTM LIMITED,3653896,250,Outreach Services - Roughsleeper
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2022-08-22,REDACTED  PERSONAL DATA,3654360,575,Redacted  Personal Data
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2022-08-15,STUART GELDART,3654050,850,Redacted  Personal Data
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2022-08-01,THE WHITE HORSE,3653170,262.5,
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2022-08-01,THE WHITE HORSE,3653290,262.5,
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Bed & Breakfast Payments,2022-08-03,THE WHITE HORSE,3653312,262.5,
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2022-08-10,VERITY FREARSON LTD,3653781,586.75,Redacted  Personal Data
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2022-08-10,VERITY FREARSON LTD,3653781,663,Redacted  Personal Data
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Other Services,2022-08-22,YORKSHIRE HOUSING LTD,3654361,639.99,Redacted  Personal Data
Harrogate Borough Council,Supplies and Services,R,Community,Homelessness,Misc Expenditure Non-Vatable,2022-08-15,YORKSHIRE HOUSING LTD,3654057,513.52,Redacted  Personal Data
Harrogate Borough Council,Supplies and Services,C,Community,Housing Development,Materials,2022-08-10,ALTERNATIVE WINDOWS (LEEDS) LTD,3652910,540,
Harrogate Borough Council,Supplies and Services,C,Community,Housing Development,Materials,2022-08-10,ALTERNATIVE WINDOWS (LEEDS) LTD,3652911,1251.44,
Harrogate Borough Council,Premises,C,Community,Housing Development,Payments to Ext Contractors,2022-08-24,ARK ELECTRICAL PROJECT LTD,3653382,245,
Harrogate Borough Council,Premises,C,Community,Housing Development,Payments to Ext Contractors,2022-08-17,ARK ELECTRICAL PROJECT LTD,3653381,490,
Harrogate Borough Council,Premises,C,Community,Housing Development,Payments to Ext Contractors,2022-08-17,ARK ELECTRICAL PROJECT LTD,3653380,4175.00,
Harrogate Borough Council,Supplies and Services,C,Community,Housing Development,Waste Disposal Charges,2022-08-17,BIFFA WASTE SERVICES LTD,3653221,225,
Harrogate Borough Council,Premises,C,Community,Housing Development,Gas,2022-08-15,BRITISH GAS,3654176,260.46,SPRINGFIELD DR BOROUGHBRIDGE
Harrogate Borough Council,Employees,C,Community,Housing Development,Non Qualification Training,2022-08-15,CITRUS TRAINING LIMITED,3653842,300,2358250 correct ID 230998
Harrogate Borough Council,Premises,C,Community,Housing Development,Payments to Ext Contractors,2022-08-08,CSY HOLDINGS LIMITED,3653538,270,
Harrogate Borough Council,Premises,C,Community,Housing Development,Payments to Ext Contractors,2022-08-08,CSY HOLDINGS LIMITED,3653537,900,
Harrogate Borough Council,Supplies and Services,C,Community,Housing Development,Materials,2022-08-31,DUFTON PLUMBING AND HEATING,3654018,996.42,IHMT
Harrogate Borough Council,Supplies and Services,C,Community,Housing Development,Materials,2022-08-31,DUFTON PLUMBING AND HEATING,3654021,1255.06,IHMT
Harrogate Borough Council,Supplies and Services,C,Community,Housing Development,Materials,2022-08-31,DUFTON PLUMBING AND HEATING,3654019,1393.92,IHMT
Harrogate Borough Council,Supplies and Services,C,Community,Housing Development,Waste Disposal Charges,2022-08-10,HACS CIVIL ENGINEERING LLP,3653551,225,
Harrogate Borough Council,Supplies and Services,C,Community,Housing Development,Waste Disposal Charges,2022-08-31,HACS CIVIL ENGINEERING LLP,3654960,225,
Harrogate Borough Council,Supplies and Services,C,Community,Housing Development,Materials,2022-08-10,HOWARTH TIMBER & BUILDING SUPPLIES LTD (HARROGATE),3653009,380.51,IHMT
Harrogate Borough Council,Premises,C,Community,Housing Development,Payments to Ext Contractors,2022-08-17,K & L PLASTERING LTD T/A INVICTA INTERIORS,3653726,-780,Holmfield Road Valuation
Harrogate Borough Council,Premises,C,Community,Housing Development,Payments to Ext Contractors,2022-08-17,K & L PLASTERING LTD T/A INVICTA INTERIORS,3653726,10588.18,Holmfield Road Valuation
Harrogate Borough Council,Premises,C,Community,Housing Development,Payments to Ext Contractors,2022-08-31,NORTHERN POWERGRID (NORTHEAST) LTD,3654907,1273.30,
Harrogate Borough Council,Transport,C,Community,Housing Development,Hire of Vehicles/Plant,2022-08-24,NORTHGATE VEHICLE HIRE LTD,3654303,215.88,IHMT
Harrogate Borough Council,Transport,C,Community,Housing Development,Hire of Vehicles/Plant,2022-08-17,NORTHGATE VEHICLE HIRE LTD,3654269,235.2,IHMT
Harrogate Borough Council,Transport,C,Community,Housing Development,Hire of Vehicles/Plant,2022-08-17,NORTHGATE VEHICLE HIRE LTD,3654272,235.2,IHMT
Harrogate Borough Council,Transport,C,Community,Housing Development,Hire of Vehicles/Plant,2022-08-31,NORTHGATE VEHICLE HIRE LTD,3654343,235.2,IHMT
Harrogate Borough Council,Transport,C,Community,Housing Development,Hire of Vehicles/Plant,2022-08-17,NORTHGATE VEHICLE HIRE LTD,3654252,240.24,IHMT
Harrogate Borough Council,Transport,C,Community,Housing Development,Hire of Vehicles/Plant,2022-08-17,NORTHGATE VEHICLE HIRE LTD,3654294,240.24,IHMT
Harrogate Borough Council,Transport,C,Community,Housing Development,Hire of Vehicles/Plant,2022-08-31,NORTHGATE VEHICLE HIRE LTD,3654311,240.24,IHMT
Harrogate Borough Council,Transport,C,Community,Housing Development,Hire of Vehicles/Plant,2022-08-24,NORTHGATE VEHICLE HIRE LTD,3654305,255.08,IHMT
