Body Name,Expenditure Category,Capital /Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Purchase of Chemicals,2021-10-27,BRENNTAG UK LIMITED,6000170,221.60,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Purchase of Chemicals,2021-10-11,BRENNTAG UK LIMITED,6000105,240.00,Starbeck Pool
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Purchase of Chemicals,2021-10-25,BRENNTAG UK LIMITED,6000180,260.00,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Purchase of Chemicals,2021-10-27,BRENNTAG UK LIMITED,6000187,260.00,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Purchase of Chemicals,2021-10-25,BRENNTAG UK LIMITED,6000169,261.00,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Purchase of Chemicals,2021-10-25,BRENNTAG UK LIMITED,6000186,401.23,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Purchase of Chemicals,2021-10-25,BRENNTAG UK LIMITED,6000182,510.00,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Purchase of Chemicals,2021-10-18,BRENNTAG UK LIMITED,6000154,667.70,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Miscellaneous Expenditure,2021-10-25,CARELINE SECURITY LTD,6000191,213.75,Turkish Baths
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2021-10-11,DEFIBSTORE LTD,6000078,325.20,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2021-10-11,DEFIBSTORE LTD,6000076,1000.80,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Laundry,2021-10-27,ELIS UK LIMITED,6000201,4121.60,1st -31st August 2021 Turkish Baths
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Laundry,2021-10-27,ELIS UK LIMITED,6000202,4793.76,1st - 30th Sept 2021 Turkish Baths
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Stationery/Office Consumables,2021-10-13,ENID TAYLOR LTD,6000063,310.00,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Marketing/Promotion,2021-10-11,FSEG LTD T/A WE DESIGNS MAPS,6000053,499.00,2 Years Advertising - Hgte Map
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2021-10-18,GERRARD INTERNATIONAL LTD,6000158,400.43,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Materials,2021-08-09,GERRARD INTERNATIONAL LTD,6000032,343.30,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Materials,2021-10-11,GERRARD INTERNATIONAL LTD,6000083,353.80,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Catering - Direct Purchases,2021-10-04,HARROGATE TEA ROOMS,6000033,311.80,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2021-10-11,INFLATABLE TESTING & REPAIRING,6000124,203.18,Knaresborough Pool
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2021-10-13,INFLATABLE TESTING & REPAIRING,6000123,326.18,Nidderdale PLC
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Miscellaneous Expenditure,2021-10-11,INFLATABLE TESTING & REPAIRING,6000125,301.18,Knaresborough CC
Harrogate Borough Council,Employees,R,Brimhams Active Ltd,Sport & Leisure,Qualification Training,2021-10-20,INSTITUTE OF SWIMMING,6000106,1360.00,Level 2 Face to face Lv2 Teacher
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2021-10-11,J P LENNARD LTD,6000119,221.93,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2021-10-13,J P LENNARD LTD,6000129,237.39,Hydro
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2021-10-11,J P LENNARD LTD,6000086,258.34,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2021-10-11,J P LENNARD LTD,6000088,240.20,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2021-10-11,J P LENNARD LTD,6000088,23.30,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2021-10-20,J P LENNARD LTD,6000115,351.85,Knaresborough Pool
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2021-10-20,J P LENNARD LTD,6000080,188.75,Hydro
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2021-10-13,J P LENNARD LTD,6000121,298.15,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2021-10-20,J P LENNARD LTD,6000080,188.80,Hydro
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Materials,2021-10-11,JANGRO NETWORK LIMITED,6000132,-56.00,Turkish Baths Credit Transaction 6000098
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Materials,2021-10-20,JANGRO NETWORK LIMITED,6000098,378.06,Turkish Baths supplies
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Cleaning Materials,2021-10-20,JANGRO NETWORK LIMITED,6000099,218.09,Nidderdale PLC
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Cleaning Materials,2021-10-11,JANGRO NETWORK LIMITED,6000056,301.10,Hydro
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Cleaning Materials,2021-10-11,JANGRO NETWORK LIMITED,6000055,356.38,Turkish Baths
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Cleaning Materials,2021-10-13,JANGRO NETWORK LIMITED,6000100,434.15,Hydro
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Laundry,2021-10-11,LEEDS ROAD LAUNDRY,6000084,2462.50,Aug-21
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Laundry,2021-10-25,LEEDS ROAD LAUNDRY,6000188,3248.50,Sept 21 Laundry
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2021-10-18,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000081,167.45,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2021-10-18,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000081,174.42,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2021-10-20,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000109,453.66,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2021-10-20,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000109,-27.72,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2021-10-20,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000109,27.72,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2021-10-11,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000074,453.84,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2021-10-18,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000159,718.98,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2021-10-11,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000075,805.68,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2021-10-18,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000071,511.23,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2021-10-18,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000071,504.90,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2021-10-11,MARES S.P.A T/A ZOGGS INTERNATIONAL LIMITED,6000079,1071.30,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Other Consultants Fees,2021-09-08,MR DAVID WEAKLEY,6000006,1400.00,Work Undertaken August 2021
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2021-10-18,NEOM LIMITED,6000151,429.00,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2021-10-18,NEOM LIMITED,6000152,1732.27,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Materials,2021-10-18,NEOM LIMITED,6000150,568.00,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Materials,2021-10-20,NEOM LIMITED,6000153,642.90,
Harrogate Borough Council,Employees,R,Brimhams Active Ltd,Sport & Leisure,Qualification Training,2021-10-13,NUCO TRAINING,6000136,456.60,First Aid at Work Work Books
Harrogate Borough Council,Employees,R,Brimhams Active Ltd,Sport & Leisure,Qualification Training,2021-10-13,NUCO TRAINING,6000136,-267.50,First Aid at Work Work Books
Harrogate Borough Council,Employees,R,Brimhams Active Ltd,Sport & Leisure,Qualification Training,2021-10-13,NUCO TRAINING,6000136,267.50,First Aid at Work Work Books
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Marketing/Promotion,2021-10-20,PLATINUM PRINT LTD,6000110,584.00,BA Strategy Broucher
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Marketing/Promotion,2021-10-20,PLATINUM PRINT LTD,6000112,671.00,Feather Flags
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Marketing/Promotion,2021-10-20,PLATINUM PRINT LTD,6000111,921.00,Medi Banners
Harrogate Borough Council,Employees,R,Brimhams Active Ltd,Sport & Leisure,Qualification Training,2021-10-25,POOL TRAINING SERVICES,6000192,300.00,Pool Plant Traning
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Marketing/Promotion,2021-10-20,TIG,6000149,395.00,Turkish Baths Postcards
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Marketing/Promotion,2021-10-20,TIG,6000133,4350.00,Turkish Brochures
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Marketing/Promotion,2021-10-20,WORKWEAR EXPRESS LTD,6000096,210.00,
Harrogate Borough Council,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Marketing/Promotion,2021-10-18,XL DISPLAYS LIMITED,6000164,594.00,
