Body Name,Expenditure Category(T),Capital/ Revenue,Service Label(T),Service Code(T),Expenditure Code,Expenditure Code(T),Payment Date,Supplier Name,Supplier Name(T),Transaction No.,Net Amount,Narrative
O8,Transport,A,Community,Arboriculture,451,Fuel/Oil,2019-03-25,200227,ALLSTAR BUSINESS SOLUTIONS LTD,3578819,25.99,AS60046921
O8,Supplies and Services,A,Community,Bereavement Services,288,Burial/Mortuary Fees,2019-03-06,200290,ARCO LTD,3577265,327.61,
O8,Premises,A,Community,Bereavement Services,85,Grounds Maintenance Grants,2019-03-27,200536,BOROUGHBRIDGE TOWN COUNCIL,3580107,2999.22,ACCR1819 PQ maintenance grants 201819
O8,Supplies and Services,A,Community,Bereavement Services,276,Medical Referees Fees,2019-03-06,225136,DR CHRISTIAN LACHMANN,3578725,573.5,PQ Dr S E Lord February 2019 Monthly payment
O8,Supplies and Services,A,Community,Bereavement Services,276,Medical Referees Fees,2019-03-06,210807,DR R SPENCER,3578724,869.5,PQ Dr R Spencer February 2019 Monthly payment
O8,Supplies and Services,A,Community,Bereavement Services,276,Medical Referees Fees,2019-03-06,223395,DR VIVIENNE JAYNE POSKITT,3578726,666,PQ Dr V Poskitt February 2019 Monthly payment
O8,Supplies and Services,A,Community,Bereavement Services,433,Other Supplies & Services,2019-03-20,204645,FACULTATIEVE TECHNOLOGIES LTD,3577901,866.47,
O8,Supplies and Services,A,Community,Bereavement Services,214,Plaques,2019-03-20,201423,FALON NAMEPLATES LTD,3578693,221.45,
O8,Supplies and Services,A,Community,Bereavement Services,214,Plaques,2019-03-13,201423,FALON NAMEPLATES LTD,3577895,326.1,Plaques
O8,Supplies and Services,A,Community,Bereavement Services,214,Plaques,2019-03-13,201423,FALON NAMEPLATES LTD,3577895,18,Plaques
O8,Supplies and Services,A,Community,Bereavement Services,171,Equipment,2019-03-27,201804,HARROGATE TIMBER LTD,3578927,300,Equipment
O8,Supplies and Services,A,Community,Bereavement Services,171,Equipment,2019-03-25,226267,KD CARPETS (KNARESBOROUGH),3579871,900,Equipment
O8,Supplies and Services,A,Community,Bereavement Services,171,Equipment,2019-03-25,226267,KD CARPETS (KNARESBOROUGH),3579871,3550.00,Equipment
