Body Name,Expenditure Category,Capital /Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,Transaction No.,Net Amount,Narrative
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2022-02-23,AVERY WEIGH-TRONIX LTD,6000615,638.14,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Other Consultants Fees,2022-02-09,BRAMBLE HUB LIMITED,6000581,2333.33,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,ICT Rechargeables,2022-02-09,BRAMBLE HUB LIMITED,6000582,3698.89,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,ICT Rechargeables,2022-02-09,BRAMBLE HUB LIMITED,6000553,7407.39,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Purchase of Chemicals,2022-02-23,BRENNTAG UK LIMITED,6000600,-28.00,Credit Nidd Pool
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Purchase of Chemicals,2022-02-23,BRENNTAG UK LIMITED,6000414,326.51,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Purchase of Chemicals,2022-02-14,BRENNTAG UK LIMITED,6000495,360.40,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Purchase of Chemicals,2022-02-09,BRENNTAG UK LIMITED,6000496,361.40,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Purchase of Chemicals,2022-02-16,BRENNTAG UK LIMITED,6000579,608.00,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Miscellaneous Expenditure,2022-02-16,CHAPELCROFT LTD T/A ARK,6000595,520.00,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Materials,2022-02-23,DALESAUNA LTD,6000563,316.55,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Catering - Direct Purchases,2022-02-14,DAVID MILLER FROZEN FOODS LTD,6000590,189.02,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Catering - Direct Purchases,2022-02-14,DAVID MILLER FROZEN FOODS LTD,6000590,94.56,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Catering - Direct Purchases,2022-02-14,DAVID MILLER FROZEN FOODS LTD,6000591,189.02,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Catering - Direct Purchases,2022-02-14,DAVID MILLER FROZEN FOODS LTD,6000591,94.56,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Catering - Direct Purchases,2022-02-14,DAVID MILLER FROZEN FOODS LTD,6000587,227.27,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Catering - Direct Purchases,2022-02-14,DAVID MILLER FROZEN FOODS LTD,6000587,186.50,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Catering - Direct Purchases,2022-02-09,DAVID MILLER FROZEN FOODS LTD,6000564,253.49,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Catering - Direct Purchases,2022-02-09,DAVID MILLER FROZEN FOODS LTD,6000564,230.63,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Catering - Direct Purchases,2022-02-14,DAVID MILLER FROZEN FOODS LTD,6000592,345.06,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Catering - Direct Purchases,2022-02-14,DAVID MILLER FROZEN FOODS LTD,6000592,199.04,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2022-02-28,DAVINES UK LTD,6000608,379.00,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2022-02-28,DAVINES UK LTD,6000606,570.45,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Materials,2022-02-21,DAVINES UK LTD,6000602,632.70,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Laundry,2022-02-21,ELIS UK LIMITED,6000573,7245.50,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Materials,2022-02-02,ELLISONS,6000490,280.35,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2022-02-23,GERRARD INTERNATIONAL LTD,6000499,265.00,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2022-02-09,HARROGATE SULPHUR SOAP CO,6000494,701.00,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Catering - Direct Purchases,2022-02-09,HARROGATE TEA ROOMS,6000530,351.00,Turkish Catering 20/12 to 09/01
Brimhams Active Ltd,Employees,R,Brimhams Active Ltd,Sport & Leisure,Non Qualification Training,2022-02-09,IQL UK LTD,6000493,462.00,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2022-02-16,J H ROLPH & SON,6000547,2695.00,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2022-02-23,J P LENNARD LTD,6000559,15.80,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2022-02-23,J P LENNARD LTD,6000559,269.42,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2022-02-07,J P LENNARD LTD,6000481,2778.65,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Cleaning Materials,2022-02-23,JANGRO NETWORK LIMITED,6000543,265.25,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Cleaning Materials,2022-02-09,JANGRO NETWORK LIMITED,6000533,277.46,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Cleaning Materials,2022-02-16,JANGRO NETWORK LIMITED,6000534,305.96,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Laundry,2022-02-09,LEEDS ROAD LAUNDRY,6000575,409.50,
Brimhams Active Ltd,Employees,R,Brimhams Active Ltd,Sport & Leisure,Temporary Staff,2022-02-16,MR ADAM LEE WOOD CONSULTANT,6000597,880.00,
Brimhams Active Ltd,Employees,R,Brimhams Active Ltd,Sport & Leisure,Temporary Staff,2022-02-09,MR DAVID WEAKLEY,6000545,1600.00,Work undertaken January 2022
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Saleable Items,2022-02-16,NEOM LIMITED,6000561,815.40,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Materials,2022-02-16,NEOM LIMITED,6000560,811.76,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Materials,2022-02-09,PROFILE MARKETING SERVICES,6000566,345.99,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2022-02-09,QUALSAFE.COM,6000451,285.00,
Brimhams Active Ltd,Employees,R,Brimhams Active Ltd,Sport & Leisure,Qualification Training,2022-02-09,SPECTRUM TRAINING & CONSULTANCY SERVICES,6000577,1800.00,
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2022-02-09,TECHNOGYM UK LTD,6000515,247.14,Call Out Hydro
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2022-02-09,TECHNOGYM UK LTD,6000514,520.12,Group Cycle Hydro
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2022-02-09,TECHNOGYM UK LTD,6000516,753.61,Call out Hydro
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2022-02-09,TECHNOGYM UK LTD,6000512,762.56,Telecom Care Hydro 1/12/21-31/12/21
Brimhams Active Ltd,Supplies and Services,R,Brimhams Active Ltd,Sport & Leisure,Equipment,2022-02-09,TECHNOGYM UK LTD,6000529,762.56,Technogym Care 1/01/22-31/01/22
