Supplier Name,Category Family,Invoice GL Date,Spend
AECOM Infrastructure & Environment UK Ltd,Track,2021-04-01,62499.15
AECOM Ltd,General Civils,2021-04-01,593650.00
AECOM Ltd,Professional Services Direct,2021-04-01,373763.54
AECOM Ltd,Track,2021-04-01,52526.90
AECOM Ltd,Track,2021-04-01,297528.00
AECOM Ltd,Track,2021-04-01,529339.00
AECOM Ltd,Track,2021-04-01,175793.34
AECOM Ltd,Track,2021-04-01,59125.66
AECOM Ltd,Track,2021-04-06,88987.20
AECOM Ltd,Track,2021-04-16,47093.06
AECOM Ltd,Track,2021-04-26,37534.05
AECOM Ltd,Track,2021-04-26,69666.70
AECOM Ltd,Track,2021-04-26,88113.01
AECOM Ltd,Track,2021-04-26,31125.47
AECOM Ltd,Track,2021-04-26,61528.41
AECOM Ltd,Track,2021-04-29,31976.76
AECOM Ltd,Track,2021-04-29,227828.53
Addleshaw Goddard LLP,Land & Property Acquisitions (incl. Business Consultancy),2021-04-14,45480.00
Addleshaw Goddard LLP,Land & Property Acquisitions (incl. Business Consultancy),2021-04-22,33900.00
Alstom Transport UK Ltd,Professional Services Direct,2021-04-13,1275645.17
Alstom Transport UK Ltd,Professional Services Direct,2021-04-20,46504.94
Alstom Transport UK Ltd,Signalling,2021-04-15,652177.83
Alstom Transport UK Ltd,Signalling,2021-04-15,301212.98
Alstom Transport UK Ltd,Signalling,2021-04-16,149922.97
Alstom Transport UK Ltd,Signalling,2021-04-19,56571.04
Alstom Transport UK Ltd,Signalling,2021-04-20,286020.21
Alstom Transport UK Ltd,Signalling,2021-04-21,1004118.01
Alstom Transport UK Ltd,Signalling,2021-04-21,65566.47
Alstom Transport UK Ltd,Signalling,2021-04-21,175631.40
Alstom Transport UK Ltd,Signalling,2021-04-21,55757.08
Alstom Transport UK Ltd,Signalling,2021-04-22,563960.48
Alstom Transport UK Ltd,Signalling,2021-04-23,276523.75
Alstom Transport UK Ltd,Signalling,2021-04-26,235178.08
Alstom Transport UK Ltd,Signalling,2021-04-29,90079.22
Alun Griffiths (Contractors) Ltd,Buildings,2021-04-16,992325.59
Alun Griffiths (Contractors) Ltd,General Civils,2021-04-07,31586.66
Alun Griffiths (Contractors) Ltd,General Civils,2021-04-12,167530.04
Alun Griffiths (Contractors) Ltd,General Civils,2021-04-12,75952.93
Alun Griffiths (Contractors) Ltd,General Civils,2021-04-14,435741.30
Alun Griffiths (Contractors) Ltd,General Civils,2021-04-15,315298.14
Alun Griffiths (Contractors) Ltd,General Civils,2021-04-16,81462.74
Alun Griffiths (Contractors) Ltd,General Civils,2021-04-16,29457.54
Alun Griffiths (Contractors) Ltd,General Civils,2021-04-20,25334.56
Amalgamated Construction Ltd,Buildings,2021-04-01,88656.51
Amalgamated Construction Ltd,Buildings,2021-04-01,56012.87
Amalgamated Construction Ltd,Buildings,2021-04-08,176007.97
Amalgamated Construction Ltd,Buildings,2021-04-11,55775.96
Amalgamated Construction Ltd,Buildings,2021-04-12,121626.96
Amalgamated Construction Ltd,Buildings,2021-04-13,833517.69
Amalgamated Construction Ltd,Buildings,2021-04-13,538380.25
Amalgamated Construction Ltd,Buildings,2021-04-16,34679.50
Amalgamated Construction Ltd,Buildings,2021-04-20,32120.65
Amalgamated Construction Ltd,Buildings,2021-04-20,48000.00
Amalgamated Construction Ltd,Buildings,2021-04-22,41418.74
Amalgamated Construction Ltd,Buildings,2021-04-23,136596.76
Amalgamated Construction Ltd,Buildings,2021-04-23,28495.45
Amalgamated Construction Ltd,Buildings,2021-04-23,45813.92
Amalgamated Construction Ltd,Buildings,2021-04-26,95803.89
Amalgamated Construction Ltd,Buildings,2021-04-26,71064.91
Amalgamated Construction Ltd,Buildings,2021-04-26,27282.00
Amalgamated Construction Ltd,Buildings,2021-04-26,30559.31
Amalgamated Construction Ltd,Electrification and Fixed Plant,2021-04-14,29111.81
Amalgamated Construction Ltd,Electrification and Fixed Plant,2021-04-19,244563.59
Amalgamated Construction Ltd,Electrification and Fixed Plant,2021-04-19,252180.05
Amalgamated Construction Ltd,General Civils,2021-04-01,251387.49
Amalgamated Construction Ltd,General Civils,2021-04-01,124945.68
Amalgamated Construction Ltd,General Civils,2021-04-01,351637.65
Amalgamated Construction Ltd,General Civils,2021-04-01,87409.27
Amalgamated Construction Ltd,General Civils,2021-04-01,29766.35
Amalgamated Construction Ltd,General Civils,2021-04-01,40807.11
Amalgamated Construction Ltd,General Civils,2021-04-09,286362.10
Amalgamated Construction Ltd,General Civils,2021-04-09,28967.26
Amalgamated Construction Ltd,General Civils,2021-04-09,184392.71
Amalgamated Construction Ltd,General Civils,2021-04-09,822929.47
Amalgamated Construction Ltd,General Civils,2021-04-09,42799.44
Amalgamated Construction Ltd,General Civils,2021-04-09,180510.60
Amalgamated Construction Ltd,General Civils,2021-04-09,320919.40
Amalgamated Construction Ltd,General Civils,2021-04-09,638914.33
Amalgamated Construction Ltd,General Civils,2021-04-09,43859.54
Amalgamated Construction Ltd,General Civils,2021-04-09,150305.42
Amalgamated Construction Ltd,General Civils,2021-04-09,179485.00
Amalgamated Construction Ltd,General Civils,2021-04-09,229531.11
Amalgamated Construction Ltd,General Civils,2021-04-09,36341.28
Amalgamated Construction Ltd,General Civils,2021-04-09,65420.95
Amalgamated Construction Ltd,General Civils,2021-04-09,27070.86
Amalgamated Construction Ltd,General Civils,2021-04-09,25909.32
Amalgamated Construction Ltd,General Civils,2021-04-12,513743.05
Amalgamated Construction Ltd,General Civils,2021-04-13,110476.02
Amalgamated Construction Ltd,General Civils,2021-04-13,474253.95
Amalgamated Construction Ltd,General Civils,2021-04-13,143907.42
Amalgamated Construction Ltd,General Civils,2021-04-13,28467.60
Amalgamated Construction Ltd,General Civils,2021-04-13,137295.78
Amalgamated Construction Ltd,General Civils,2021-04-13,34132.91
Amalgamated Construction Ltd,General Civils,2021-04-13,59229.57
Amalgamated Construction Ltd,General Civils,2021-04-14,56782.36
Amalgamated Construction Ltd,General Civils,2021-04-14,37621.95
Amalgamated Construction Ltd,General Civils,2021-04-14,39979.38
Amalgamated Construction Ltd,General Civils,2021-04-14,133779.16
Amalgamated Construction Ltd,General Civils,2021-04-14,55852.64
Amalgamated Construction Ltd,General Civils,2021-04-14,127866.61
Amalgamated Construction Ltd,General Civils,2021-04-14,53125.95
Amalgamated Construction Ltd,General Civils,2021-04-14,36113.91
Amalgamated Construction Ltd,General Civils,2021-04-14,44542.20
Amalgamated Construction Ltd,General Civils,2021-04-14,83974.17
Amalgamated Construction Ltd,General Civils,2021-04-14,172098.77
Amalgamated Construction Ltd,General Civils,2021-04-14,147605.24
Amalgamated Construction Ltd,General Civils,2021-04-14,236992.18
Amalgamated Construction Ltd,General Civils,2021-04-14,162821.60
Amalgamated Construction Ltd,General Civils,2021-04-14,27475.52
Amalgamated Construction Ltd,General Civils,2021-04-14,56376.66
Amalgamated Construction Ltd,General Civils,2021-04-14,72505.43
Amalgamated Construction Ltd,General Civils,2021-04-14,39747.62
Amalgamated Construction Ltd,General Civils,2021-04-14,25036.39
Amalgamated Construction Ltd,General Civils,2021-04-15,38786.57
Amalgamated Construction Ltd,General Civils,2021-04-15,258513.67
Amalgamated Construction Ltd,General Civils,2021-04-15,30799.43
Amalgamated Construction Ltd,General Civils,2021-04-16,245550.97
Amalgamated Construction Ltd,General Civils,2021-04-16,247805.70
Amalgamated Construction Ltd,General Civils,2021-04-16,521556.92
Amalgamated Construction Ltd,General Civils,2021-04-19,29214.14
Amalgamated Construction Ltd,General Civils,2021-04-19,119998.50
Amalgamated Construction Ltd,General Civils,2021-04-19,28601.29
Amalgamated Construction Ltd,General Civils,2021-04-20,104425.08
Amalgamated Construction Ltd,General Civils,2021-04-20,209176.51
