Supplier Name,Category Family,Invoice GL Date,Spend
1Spatial Group Ltd,Information Technology,2018-05-30,35085.00
1st Inrail Ltd,Track,2018-05-27,33791.99
ABB Ltd,Electrification and Fixed Plant,2018-05-17,514420.78
ABC Electrification Ltd,Electrification and Fixed Plant,2018-05-14,1034505.78
ABC Electrification Ltd,Electrification and Fixed Plant,2018-05-30,105779.75
ABC Electrification Ltd,Electrification and Fixed Plant,2018-05-14,549066.99
ABC Electrification Ltd,Electrification and Fixed Plant,2018-05-15,800000.00
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-05-12,62464.05
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-05-07,29291.99
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-05-12,28526.62
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-05-20,28771.32
AECOM Infrastructure & Environment UK Ltd,Track,2018-05-15,25174.05
AECOM Infrastructure & Environment UK Ltd,Track,2018-05-17,439610.38
AECOM Infrastructure & Environment UK Ltd,Track,2018-05-15,34746.64
AECOM Infrastructure & Environment UK Ltd,Track,2018-05-15,54463.52
AECOM Infrastructure & Environment UK Ltd,Track,2018-05-15,115202.42
AECOM Infrastructure & Environment UK Ltd,Track,2018-05-18,38000.00
AECOM Infrastructure & Environment UK Ltd,Track,2018-05-15,69337.38
AECOM Infrastructure & Environment UK Ltd,Track,2018-05-23,46000.00
AECOM Infrastructure & Environment UK Ltd,Track,2018-05-18,57904.00
AECOM Infrastructure & Environment UK Ltd,Track,2018-05-17,138000.00
AECOM Infrastructure & Environment UK Ltd,Track,2018-05-15,105471.82
AECOM Infrastructure & Environment UK Ltd,Track,2018-05-15,221543.82
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-05-16,26139.07
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-05-20,32245.96
AECOM Infrastructure & Environment UK Ltd,Professional Services Direct,2018-05-20,29363.04
AECOM Ltd,Professional Services Direct,2018-05-15,28270.10
AECOM Ltd,General Civils,2018-05-25,215330.07
AECOM Ltd,Professional Services Direct,2018-05-14,28069.63
ANT Telecommunications Ltd,Telecoms,2018-05-18,90173.20
APB Group Ltd,General Civils,2018-05-14,36035.64
APCOA Parking (UK) Ltd,Facilities - Soft Services,2018-05-02,188431.32
ASE Corporate Eyecare Ltd,HR and Training,2018-05-09,39718.40
AXA PPP Healthcare Admin Services Ltd T/A PPP Healthcare,HR and Training,2018-05-27,166598.37
